"Contract Type","Contract Name","Min.Bid Price (TL/MWh)","Max. Bid Price (TL/MWh)"
"Block","PB19010322-01","243.00","253.89"
"Hourly","PH19010322","160.00","258.00"
"Block","PB19010323-01","97.03","98.99"
"Hourly","PH19010323","10.00","110.00"
"Hourly","PH19010400","20.00","250.00"
"Block","PB19010400-01","103.66","103.66"
"Hourly","PH19010401","11.00","95.00"
"Block","PB19010401-01","76.97","78.98"
"Block","PB19010402-01","14.01","20.49"
"Hourly","PH19010402","1.10","30.00"
"Hourly","PH19010403","0.01","7.00"
"Block","PB19010403-01","1.21","1.21"
"Block","PB19010404-01","1.21","1.21"
"Hourly","PH19010404","0.21","8.87"
"Block","PB19010404-02","6.66","6.66"
"Block","PB19010405-01","11.90","12.11"
"Hourly","PH19010405","1.00","26.00"
"Block","PB19010406-01","96.99","99.99"
"Hourly","PH19010406","10.00","99.99"
"Block","PB19010407-01","179.11","200.00"
"Hourly","PH19010407","45.00","200.00"
"Hourly","PH19010408","120.00","293.77"
"Block","PB19010408-01","269.00","285.21"
"Block","PB19010409-01","274.00","290.25"
"Hourly","PH19010409","120.00","295.00"
"Block","PB19010410-01","285.01","289.88"
"Hourly","PH19010410","200.00","298.58"
"Hourly","PH19010411","200.00","308.50"
"Block","PB19010411-01","293.38","298.01"
"Hourly","PH19010412","200.00","296.85"
"Block","PB19010412-01","283.79","288.20"
"Block","PB19010413-01","288.00","288.32"
"Hourly","PH19010413","201.00","296.00"
"Hourly","PH19010414","92.71","297.99"
"Block","PB19010414-01","281.99","292.71"
"Block","PB19010414-03","296.00","296.00"
"Block","PB19010415-01","275.49","293.60"
"Hourly","PH19010415","0.00","297.95"
"Block","PB19010416-01","274.91","295.72"
"Hourly","PH19010416","0.00","304.53"
"Hourly","PH19010417","0.00","308.19"
"Block","PB19010417-01","269.99","299.21"
"Block","PB19010417-02","299.00","299.00"
"Block","PB19010418-04","270.00","270.00"
"Block","PB19010418-02","293.49","293.49"
"Block","PB19010418-05","0.00","0.00"
