"Contract Type","Contract Name","Min.Bid Price (TL/MWh)","Max. Bid Price (TL/MWh)"
"Block","PB19032607-01","301.00","301.65"
"Block","PB19032608-01","308.81","308.81"
"Hourly","PH19032608","0.02","328.01"
"Hourly","PH19032609","200.00","323.94"
"Block","PB19032609-01","308.51","308.51"
"Block","PB19032610-01","307.37","316.02"
"Hourly","PH19032610","200.00","337.00"
"Block","PB19032611-01","307.00","317.27"
"Hourly","PH19032611","200.00","329.99"
"Block","PB19032612-01","71.73","301.12"
"Hourly","PH19032612","200.00","340.99"
"Block","PB19032613-01","76.54","300.43"
"Hourly","PH19032613","200.00","330.00"
"Hourly","PH19032614","200.00","327.29"
"Block","PB19032614-01","74.81","301.00"
"Block","PB19032615-01","77.40","300.00"
"Hourly","PH19032615","200.00","320.00"
"Block","PB19032615-02","305.00","305.00"
"Block","PB19032616-01","81.36","301.00"
"Hourly","PH19032616","201.00","320.00"
"Block","PB19032617-01","70.58","305.00"
"Hourly","PH19032617","205.00","320.00"
"Hourly","PH19032618","206.00","325.00"
"Block","PB19032618-01","70.72","307.00"
"Hourly","PH19032619","211.00","330.00"
"Block","PB19032619-01","71.52","310.41"
"Hourly","PH19032620","211.00","325.00"
"Block","PB19032620-01","73.56","310.06"
"Block","PB19032621-01","72.41","307.00"
"Hourly","PH19032621","207.00","320.00"
"Hourly","PH19032622","206.00","322.00"
"Block","PB19032622-01","70.97","305.20"
"Hourly","PH19032623","201.00","318.00"
"Block","PB19032623-01","72.86","300.35"
"Block","PB19032700-04","257.67","257.67"
"Block","PB19032700-01","73.98","297.00"
"Hourly","PH19032700","1.00","304.36"
"Block","PB19032701-01","70.20","300.00"
"Hourly","PH19032701","1.00","306.60"
"Block","PB19032702-01","73.68","276.00"
"Hourly","PH19032702","2.00","280.25"
"Block","PB19032703-01","77.04","161.37"
"Hourly","PH19032703","2.00","161.78"
"Block","PB19032704-01","70.84","252.51"
"Hourly","PH19032704","2.00","253.57"
"Block","PB19032705-01","73.59","296.00"
"Hourly","PH19032705","2.00","297.00"
"Block","PB19032706-01","73.95","299.95"
"Hourly","PH19032706","2.00","300.00"
"Block","PB19032707-01","70.98","300.09"
"Hourly","PH19032707","2.00","300.09"
"Block","PB19032708-01","71.69","306.49"
"Hourly","PH19032708","100.00","306.49"
"Block","PB19032709-02","308.00","308.00"
"Block","PB19032709-01","74.28","307.78"
"Hourly","PH19032709","150.00","307.78"
"Block","PB19032710-01","76.56","308.04"
"Hourly","PH19032710","150.00","308.04"
"Block","PB19032711-01","71.59","308.27"
"Hourly","PH19032711","209.00","309.99"
"Block","PB19032712-01","70.22","301.68"
"Hourly","PH19032712","202.00","307.68"
"Block","PB19032713-01","78.45","301.63"
"Hourly","PH19032713","0.01","301.99"
"Block","PB19032714-01","75.48","303.14"
"Hourly","PH19032714","204.00","303.48"
"Block","PB19032715-01","72.67","302.64"
"Hourly","PH19032715","203.00","303.14"
"Block","PB19032716-01","71.17","302.03"
"Hourly","PH19032716","203.00","303.00"
"Block","PB19032717-01","74.13","303.77"
"Hourly","PH19032717","204.00","304.60"
"Block","PB19032718-06","305.00","305.00"
"Hourly","PH19032718","204.00","304.89"
"Block","PB19032718-01","70.53","303.48"
"Block","PB19032719-01","72.56","308.79"
"Hourly","PH19032719","209.00","308.79"
"Block","PB19032720-01","70.23","308.74"
"Hourly","PH19032720","209.00","309.00"
"Block","PB19032721-01","70.22","305.66"
"Hourly","PH19032721","206.00","306.00"
"Block","PB19032722-01","71.56","303.66"
"Hourly","PH19032722","204.00","307.06"
"Block","PB19032723-01","71.51","300.00"
"Hourly","PH19032723","1.00","301.24"
"Block","PB19032800-01","70.36","274.00"
"Hourly","PH19032800","170.00","278.96"
"Hourly","PH19032801","50.00","299.58"
"Block","PB19032801-01","74.12","296.00"
"Block","PB19032802-04","157.57","157.57"
"Block","PB19032802-01","76.47","235.00"
"Hourly","PH19032802","30.00","244.30"
"Block","PB19032803-01","83.37","140.00"
"Hourly","PH19032803","40.00","168.00"
"Block","PB19032804-01","71.80","140.15"
"Hourly","PH19032804","2.00","110.00"
"Block","PB19032805-01","77.38","157.74"
"Hourly","PH19032805","2.00","166.00"
"Hourly","PH19032806","20.00","255.35"
"Block","PB19032806-01","74.98","260.00"
"Block","PB19032807-01","83.21","296.00"
"Hourly","PH19032807","26.00","296.00"
"Block","PB19032808-01","70.15","305.15"
"Hourly","PH19032808","100.00","309.91"
"Hourly","PH19032809","100.00","308.40"
"Block","PB19032809-01","71.77","305.80"
"Block","PB19032810-01","75.06","305.10"
"Hourly","PH19032810","200.00","309.60"
"Hourly","PH19032811","100.00","319.14"
"Block","PB19032811-08","284.00","284.00"
"Block","PB19032811-01","81.11","303.94"
"Block","PB19032812-01","78.19","240.45"
"Hourly","PH19032812","140.00","247.66"
"Block","PB19032813-01","72.62","235.99"
"Hourly","PH19032813","0.00","324.00"
"Block","PB19032814-01","70.98","299.94"
"Hourly","PH19032814","200.00","308.93"
"Block","PB19032815-01","70.79","290.01"
"Hourly","PH19032815","190.00","298.71"
"Block","PB19032816-01","70.20","299.69"
"Hourly","PH19032816","190.00","308.68"
"Hourly","PH19032817","100.00","305.76"
"Block","PB19032817-01","83.19","301.30"
"Block","PB19032818-01","70.02","299.99"
"Block","PB19032818-06","285.00","285.00"
"Hourly","PH19032818","199.00","308.27"
"Block","PB19032819-01","71.53","304.49"
"Hourly","PH19032819","200.00","311.07"
"Block","PB19032820-01","71.45","304.54"
"Hourly","PH19032820","200.00","309.29"
"Block","PB19032821-01","76.06","303.01"
"Hourly","PH19032821","200.00","309.99"
"Block","PB19032822-01","70.29","300.87"
"Hourly","PH19032822","200.00","310.00"
"Hourly","PH19032823","17.36","218.99"
"Block","PB19032823-01","71.37","200.00"
"Block","PB19032900-01","80.14","140.44"
"Hourly","PH19032900","2.00","118.00"
"Block","PB19032900-08","145.58","145.58"
"Block","PB19032900-02","110.00","110.00"
"Block","PB19032901-01","70.93","133.74"
"Hourly","PH19032901","2.00","118.00"
"Hourly","PH19032902","10.00","245.00"
"Block","PB19032902-01","73.19","230.00"
"Block","PB19032903-01","70.51","140.35"
"Hourly","PH19032903","2.00","129.90"
"Block","PB19032904-01","70.56","126.69"
"Hourly","PH19032904","2.00","140.00"
"Block","PB19032905-01","70.84","139.83"
"Hourly","PH19032905","2.00","138.01"
"Hourly","PH19032906","2.00","175.00"
"Block","PB19032906-01","72.48","150.10"
"Block","PB19032907-01","79.23","200.00"
"Hourly","PH19032907","2.00","200.00"
"Block","PB19032908-01","76.87","302.53"
"Hourly","PH19032908","100.00","311.70"
"Hourly","PH19032909","100.00","311.00"
"Block","PB19032909-01","76.75","305.00"
"Block","PB19032910-01","70.52","321.00"
"Hourly","PH19032910","203.00","317.00"
"Hourly","PH19032911","203.00","316.00"
"Block","PB19032911-01","76.84","317.00"
"Block","PB19032912-01","73.80","210.98"
"Block","PB19032912-02","135.00","135.00"
"Hourly","PH19032912","100.00","210.00"
"Block","PB19032913-01","63.99","80.33"
"Hourly","PH19032913","1.00","80.00"
"Hourly","PH19032914","25.50","270.00"
"Block","PB19032914-01","72.98","261.00"
"Block","PB19032915-01","72.61","205.00"
"Hourly","PH19032915","101.00","218.00"
"Hourly","PH19032916","58.00","200.00"
"Block","PB19032916-01","71.25","160.00"
"Hourly","PH19032917","101.00","215.00"
"Block","PB19032917-01","73.34","200.00"
"Block","PB19032918-01","82.25","138.26"
"Hourly","PH19032918","36.00","117.99"
"Block","PB19032919-01","78.66","300.00"
"Hourly","PH19032919","197.00","315.00"
"Block","PB19032920-01","84.44","311.01"
"Hourly","PH19032920","197.00","316.20"
"Block","PB19032921-02","240.00","240.00"
"Hourly","PH19032921","153.00","272.00"
"Block","PB19032921-01","79.87","252.90"
"Block","PB19032922-01","71.58","228.00"
"Hourly","PH19032922","129.00","305.02"
"Hourly","PH19032923","1.00","27.78"
"Block","PB19032923-01","17.00","17.35"
"Hourly","PH19033000","240.00","280.00"
"Block","PB19033000-01","72.08","262.89"
"Hourly","PH19033001","245.00","286.90"
"Block","PB19033001-01","72.62","273.01"
"Block","PB19033002-01","75.37","139.19"
"Hourly","PH19033002","2.00","131.00"
"Hourly","PH19033003","2.00","150.00"
"Block","PB19033003-01","71.68","140.00"
"Hourly","PH19033004","1.20","136.00"
"Block","PB19033004-01","72.56","129.58"
"Hourly","PH19033005","1.30","144.00"
"Block","PB19033005-01","71.30","140.38"
"Block","PB19033006-01","75.65","200.00"
"Hourly","PH19033006","2.00","209.90"
"Block","PB19033007-01","71.31","198.73"
"Hourly","PH19033007","0.02","200.00"
"Hourly","PH19033008","100.00","300.00"
"Block","PB19033008-01","83.37","300.00"
"Hourly","PH19033009","100.00","301.53"
"Block","PB19033009-01","70.95","301.63"
"Block","PB19033010-01","79.14","303.33"
"Hourly","PH19033010","1.00","303.33"
"Hourly","PH19033011","204.70","304.63"
"Block","PB19033011-01","74.68","304.63"
"Hourly","PH19033012","201.00","315.02"
"Block","PB19033012-01","74.37","300.02"
"Hourly","PH19033013","190.00","300.00"
"Block","PB19033013-01","71.33","289.10"
"Hourly","PH19033014","189.00","298.96"
"Block","PB19033014-01","80.67","288.88"
"Hourly","PH19033015","153.00","258.92"
"Block","PB19033015-01","71.47","252.51"
"Block","PB19033016-01","71.56","252.00"
"Hourly","PH19033016","86.00","207.00"
"Block","PB19033016-04","252.00","252.00"
"Block","PB19033017-01","70.58","225.00"
"Hourly","PH19033017","118.00","235.00"
"Block","PB19033018-01","74.56","300.00"
"Hourly","PH19033018","186.00","313.42"
"Hourly","PH19033019","207.00","316.04"
"Block","PB19033019-01","71.66","307.00"
"Hourly","PH19033020","207.00","315.87"
"Block","PB19033020-04","297.00","297.00"
"Block","PB19033020-01","70.08","310.00"
"Hourly","PH19033021","204.00","318.86"
"Block","PB19033021-01","71.61","304.00"
"Block","PB19033022-01","72.02","301.98"
"Hourly","PH19033022","202.00","320.00"
"Block","PB19033023-01","70.08","275.00"
"Hourly","PH19033023","175.00","290.00"
"Block","PB19033100-01","70.69","178.74"
"Block","PB19033100-02","180.00","180.00"
"Hourly","PH19033100","160.00","187.68"
"Block","PB19033101-01","72.59","178.74"
"Hourly","PH19033101","173.38","186.00"
"Block","PB19033102-01","79.34","140.32"
"Hourly","PH19033102","1.00","135.00"
"Block","PB19033103-01","77.36","140.60"
"Hourly","PH19033103","2.00","1,271.00"
"Hourly","PH19033104","2.00","140.00"
"Block","PB19033104-01","71.27","132.22"
"Block","PB19033105-01","72.78","140.11"
"Hourly","PH19033105","1.00","136.00"
"Block","PB19033106-01","64.00","137.34"
"Hourly","PH19033106","2.00","140.00"
"Block","PB19033107-01","64.00","65.00"
"Hourly","PH19033107","2.00","89.00"
"Block","PB19033108-02","10.00","10.00"
"Hourly","PH19033108","0.10","10.00"
"Block","PB19033108-01","5.00","5.00"
"Hourly","PH19033109","1.10","27.00"
"Block","PB19033109-01","20.01","20.01"
"Block","PB19033110-01","73.14","135.44"
"Hourly","PH19033110","2.00","123.20"
"Block","PB19033111-01","72.64","136.34"
"Hourly","PH19033111","2.00","127.00"
"Block","PB19033112-01","70.81","135.87"
"Hourly","PH19033112","1.00","125.00"
"Block","PB19033113-01","80.89","136.26"
"Hourly","PH19033113","20.00","125.00"
"Block","PB19033114-01","70.40","138.36"
"Block","PB19033114-02","75.00","75.00"
"Hourly","PH19033114","21.00","107.50"
"Block","PB19033115-01","50.00","58.00"
"Hourly","PH19033115","10.00","77.00"
"Hourly","PH19033116","0.00","28.50"
"Block","PB19033116-01","20.00","20.01"
"Block","PB19033117-02","141.00","141.00"
"Block","PB19033117-01","73.78","138.01"
"Hourly","PH19033117","17.00","120.00"
"Block","PB19033118-01","74.56","162.01"
"Hourly","PH19033118","100.00","167.91"
"Block","PB19033119-01","70.64","301.18"
"Hourly","PH19033119","150.00","305.00"
"Hourly","PH19033120","150.00","305.00"
"Block","PB19033120-01","70.67","303.81"
"Block","PB19033121-01","75.98","301.91"
"Block","PB19033121-03","281.53","281.53"
"Hourly","PH19033121","150.00","305.00"
"Block","PB19033122-01","71.65","300.96"
"Hourly","PH19033122","150.00","300.00"
"Block","PB19033123-01","73.98","242.00"
"Hourly","PH19033123","150.00","242.00"
"Block","PB19040100-01","71.76","149.99"
"Block","PB19040100-24","259.79","259.79"
"Hourly","PH19040100","1.20","152.40"
"Block","PB19040101-01","73.03","135.94"
"Hourly","PH19040101","2.00","80.80"
"Block","PB19040102-01","79.77","214.00"
"Hourly","PH19040102","24.00","220.00"
"Block","PB19040103-01","82.50","170.00"
"Hourly","PH19040103","2.00","175.87"
"Block","PB19040104-01","71.04","170.00"
"Hourly","PH19040104","2.00","188.00"
"Block","PB19040105-01","73.61","170.01"
"Hourly","PH19040105","2.00","180.00"
"Block","PB19040106-01","71.17","270.00"
"Hourly","PH19040106","2.00","270.00"
"Block","PB19040107-01","72.00","301.04"
"Hourly","PH19040107","20.00","301.04"
"Block","PB19040108-01","74.81","308.64"
"Hourly","PH19040108","100.00","349.90"
"Block","PB19040109-01","77.40","309.09"
"Hourly","PH19040109","30.00","317.59"
"Block","PB19040110-01","73.23","307.90"
"Hourly","PH19040110","208.00","317.14"
"Block","PB19040111-01","72.68","307.07"
"Hourly","PH19040111","208.00","326.00"
"Block","PB19040112-03","291.20","291.20"
"Hourly","PH19040112","188.00","389.00"
"Block","PB19040112-01","71.40","287.01"
"Block","PB19040113-01","72.25","287.00"
"Hourly","PH19040113","187.00","302.00"
"Block","PB19040114-01","78.05","289.11"
"Hourly","PH19040114","190.00","301.00"
"Block","PB19040115-01","76.86","270.00"
"Hourly","PH19040115","170.00","363.00"
"Block","PB19040116-01","73.84","280.00"
"Hourly","PH19040116","0.01","295.00"
"Block","PB19040117-01","289.10","289.10"
"Block","PB19040117-03","294.18","294.18"
"Hourly","PH19040117","190.00","321.50"
"Block","PB19040118-01","289.10","289.10"
"Hourly","PH19040118","190.00","359.00"
"Block","PB19040119-01","304.35","305.00"
"Hourly","PH19040119","205.00","375.00"
"Block","PB19040120-01","304.48","304.48"
"Hourly","PH19040120","205.00","358.00"
"Block","PB19040121-01","301.32","301.32"
"Block","PB19040121-02","295.00","295.00"
"Hourly","PH19040121","200.00","352.00"
"Block","PB19040122-01","289.10","289.10"
"Hourly","PH19040122","190.00","321.00"
"Block","PB19040123-01","287.01","287.01"
"Hourly","PH19040123","188.00","314.00"
"Hourly","PH19040200","0.00","259.98"
"Block","PB19040200-08","256.57","256.57"
"Block","PB19040200-24","271.58","271.58"
"Block","PB19040200-01","254.55","256.57"
"Block","PB19040201-01","280.00","289.11"
"Hourly","PH19040201","31.00","290.00"
"Block","PB19040202-16","264.16","264.16"
"Hourly","PH19040202","23.00","292.75"
"Block","PB19040202-01","285.00","289.11"
"Hourly","PH19040203","2.00","284.49"
"Block","PB19040203-01","235.00","238.01"
"Block","PB19040204-01","199.99","200.00"
"Hourly","PH19040204","2.00","200.00"
"Hourly","PH19040205","2.00","254.55"
"Block","PB19040205-01","254.54","254.54"
"Block","PB19040206-01","254.54","254.54"
"Hourly","PH19040206","2.00","254.54"
"Block","PB19040207-01","272.73","272.73"
"Block","PB19040207-05","299.32","299.32"
"Hourly","PH19040207","2.00","273.60"
"Hourly","PH19040208","30.78","307.87"
"Block","PB19040208-04","305.85","305.85"
"Block","PB19040208-01","297.00","307.87"
"Block","PB19040209-01","308.14","308.14"
"Hourly","PH19040209","30.81","308.14"
"Hourly","PH19040210","30.47","313.68"
"Block","PB19040210-01","304.00","304.75"
"Hourly","PH19040211","30.26","311.90"
"Block","PB19040211-01","70.23","302.67"
"Block","PB19040212-01","78.89","254.54"
"Hourly","PH19040212","22.00","261.97"
"Block","PB19040213-01","71.78","200.00"
"Hourly","PH19040213","20.00","210.00"
"Hourly","PH19040214","26.00","275.00"
"Block","PB19040214-04","259.93","259.93"
"Block","PB19040214-01","74.17","260.00"
"Block","PB19040215-01","72.02","254.54"
"Block","PB19040215-03","259.91","259.91"
"Hourly","PH19040215","25.45","264.00"
"Hourly","PH19040216","25.24","258.72"
"Block","PB19040216-01","71.20","252.46"
"Block","PB19040217-01","72.36","272.73"
"Hourly","PH19040217","27.27","289.00"
"Block","PB19040218-01","72.31","289.11"
"Hourly","PH19040218","28.91","305.01"
"Hourly","PH19040219","30.49","308.00"
"Block","PB19040219-01","72.31","304.99"
"Block","PB19040219-03","304.00","304.00"
"Block","PB19040220-01","72.62","305.62"
"Hourly","PH19040220","30.56","310.00"
"Hourly","PH19040221","30.19","305.90"
"Block","PB19040221-01","74.73","301.96"
"Hourly","PH19040222","29.60","309.99"
"Block","PB19040222-01","72.79","296.01"
"Hourly","PH19040223","24.99","260.00"
"Block","PB19040223-01","75.95","250.00"
"Block","PB19040300-01","74.44","173.00"
"Block","PB19040300-05","223.40","223.40"
"Block","PB19040300-24","282.17","282.17"
"Hourly","PH19040300","17.00","196.00"
"Hourly","PH19040301","2.00","285.00"
"Block","PB19040301-01","71.38","269.99"
"Hourly","PH19040302","2.00","287.70"
"Block","PB19040302-01","70.64","274.00"
"Hourly","PH19040303","2.00","181.11"
"Block","PB19040303-01","73.18","170.01"
"Block","PB19040304-01","75.37","230.01"
"Hourly","PH19040304","2.00","245.00"
"Block","PB19040305-01","70.98","288.01"
"Hourly","PH19040305","2.00","303.00"
"Block","PB19040306-01","71.14","288.01"
"Hourly","PH19040306","2.00","302.41"
"Block","PB19040307-01","79.54","260.00"
"Hourly","PH19040307","2.00","270.00"
"Block","PB19040308-01","71.64","304.24"
"Hourly","PH19040308","100.00","405.51"
"Block","PB19040309-01","90.24","305.23"
"Hourly","PH19040309","100.00","314.39"
"Hourly","PH19040310","204.00","312.28"
"Block","PB19040310-01","76.50","305.00"
"Block","PB19040310-14","300.68","300.68"
"Hourly","PH19040311","207.00","315.74"
"Block","PB19040311-01","74.39","306.54"
"Block","PB19040312-02","290.00","290.00"
"Block","PB19040312-01","72.59","289.11"
"Hourly","PH19040312","190.00","297.44"
"Block","PB19040313-01","75.62","289.11"
"Hourly","PH19040313","190.00","293.88"
"Hourly","PH19040314","202.00","306.00"
"Block","PB19040314-01","77.41","301.77"
"Block","PB19040314-05","301.00","301.00"
"Block","PB19040315-01","70.41","300.00"
"Hourly","PH19040315","150.00","309.00"
"Hourly","PH19040316","201.00","308.81"
"Block","PB19040316-01","70.73","300.87"
"Block","PB19040317-01","70.65","302.56"
"Hourly","PH19040317","203.00","310.00"
"Block","PB19040318-01","71.16","302.22"
"Hourly","PH19040318","203.00","317.00"
"Hourly","PH19040319","209.00","312.00"
"Block","PB19040319-01","70.76","308.73"
"Hourly","PH19040320","209.00","314.58"
"Block","PB19040320-01","72.81","308.93"
"Block","PB19040321-03","295.10","295.10"
"Hourly","PH19040321","205.00","314.00"
"Block","PB19040321-01","81.44","305.00"
"Block","PB19040322-01","70.77","302.18"
"Hourly","PH19040322","203.00","317.00"
"Block","PB19040323-01","72.65","289.11"
"Hourly","PH19040323","1.01","314.00"
"Block","PB19040400-24","277.23","277.23"
"Block","PB19040400-01","71.45","289.11"
"Hourly","PH19040400","270.00","290.00"
"Block","PB19040401-01","73.83","290.00"
"Hourly","PH19040401","1.00","305.00"
"Hourly","PH19040402","2.00","260.00"
"Block","PB19040402-01","73.37","238.15"
"Hourly","PH19040403","2.00","185.00"
"Block","PB19040403-01","84.51","179.00"
"Block","PB19040404-01","70.47","286.00"
"Hourly","PH19040404","2.00","195.00"
"Hourly","PH19040405","81.00","294.31"
"Block","PB19040405-01","76.63","294.99"
"Block","PB19040406-01","73.48","181.19"
"Hourly","PH19040406","0.02","185.00"
"Hourly","PH19040407","0.02","202.00"
"Block","PB19040407-01","76.22","203.00"
"Hourly","PH19040408","100.00","329.00"
"Block","PB19040408-01","70.30","320.99"
"Block","PB19040409-01","72.86","309.50"
"Hourly","PH19040409","100.00","310.00"
"Hourly","PH19040410","205.00","322.00"
"Block","PB19040410-01","70.81","315.99"
"Block","PB19040411-01","70.92","308.30"
"Hourly","PH19040411","209.00","322.00"
"Block","PB19040412-01","73.05","300.24"
"Hourly","PH19040412","201.00","319.00"
"Hourly","PH19040413","201.00","312.00"
"Block","PB19040413-01","74.34","300.09"
"Hourly","PH19040414","202.00","311.00"
"Block","PB19040414-01","75.44","301.96"
"Block","PB19040415-01","82.68","300.00"
"Hourly","PH19040415","201.00","373.00"
"Hourly","PH19040416","190.00","300.00"
"Block","PB19040416-01","79.72","289.10"
"Block","PB19040417-01","77.76","300.74"
"Hourly","PH19040417","201.00","311.00"
"Block","PB19040418-01","75.23","320.99"
"Hourly","PH19040418","201.00","331.00"
"Hourly","PH19040419","208.00","330.00"
"Block","PB19040419-01","72.23","349.99"
"Hourly","PH19040420","209.00","329.00"
"Block","PB19040420-01","75.53","308.88"
"Block","PB19040421-01","70.38","303.73"
"Hourly","PH19040421","204.00","325.00"
"Hourly","PH19040422","202.00","320.00"
"Block","PB19040422-01","71.69","301.55"
"Hourly","PH19040423","181.00","310.61"
"Block","PB19040423-01","70.58","280.03"
"Block","PB19040500-01","72.45","267.02"
"Hourly","PH19040500","2.00","275.03"
"Block","PB19040501-01","70.97","255.05"
"Block","PB19040501-23","279.36","279.36"
"Hourly","PH19040501","2.00","265.00"
"Block","PB19040502-01","73.67","275.00"
"Hourly","PH19040502","2.00","283.00"
"Block","PB19040502-02","253.00","253.00"
"Block","PB19040503-01","74.14","230.00"
"Hourly","PH19040503","2.00","236.91"
"Block","PB19040504-01","78.81","190.00"
"Hourly","PH19040504","2.00","194.99"
"Block","PB19040505-01","71.20","275.01"
"Hourly","PH19040505","2.00","288.00"
"Block","PB19040506-01","77.81","288.00"
"Hourly","PH19040506","2.00","302.45"
"Block","PB19040507-01","77.68","300.96"
"Block","PB19040507-03","304.00","304.00"
"Hourly","PH19040507","2.00","319.98"
"Block","PB19040508-01","72.13","305.70"
"Hourly","PH19040508","100.00","308.99"
"Block","PB19040508-02","306.00","306.00"
"Block","PB19040509-01","73.20","306.28"
"Hourly","PH19040509","100.00","315.38"
"Block","PB19040510-01","76.78","304.99"
"Hourly","PH19040510","205.00","313.56"
"Block","PB19040511-01","83.32","303.96"
"Hourly","PH19040511","204.00","311.50"
"Block","PB19040512-01","72.79","274.00"
"Hourly","PH19040512","175.00","279.15"
"Block","PB19040513-01","73.09","179.99"
"Hourly","PH19040513","80.00","181.12"
"Block","PB19040514-01","77.22","275.00"
"Hourly","PH19040514","175.00","285.00"
"Block","PB19040515-01","70.77","275.00"
"Hourly","PH19040515","175.00","288.01"
"Block","PB19040516-01","73.00","288.00"
"Hourly","PH19040516","188.00","295.00"
"Block","PB19040517-01","70.61","295.01"
"Hourly","PH19040517","196.00","302.65"
"Block","PB19040518-01","73.01","300.85"
"Hourly","PH19040518","201.00","304.07"
"Block","PB19040519-05","300.00","300.00"
"Block","PB19040519-01","73.53","306.30"
"Hourly","PH19040519","207.00","315.49"
"Block","PB19040520-01","71.93","307.76"
"Hourly","PH19040520","208.00","312.00"
"Block","PB19040521-01","79.37","303.55"
"Hourly","PH19040521","204.00","308.99"
"Block","PB19040522-01","71.39","300.73"
"Hourly","PH19040522","100.00","306.85"
"Block","PB19040523-01","76.89","289.10"
"Hourly","PH19040523","100.00","290.00"
"Block","PB19040600-01","74.06","284.99"
"Hourly","PH19040600","272.00","294.90"
"Hourly","PH19040601","275.00","298.20"
"Block","PB19040601-01","73.03","290.00"
"Block","PB19040601-23","249.69","249.69"
"Block","PB19040602-01","70.75","290.00"
"Hourly","PH19040602","280.43","299.99"
"Hourly","PH19040603","21.00","290.30"
"Block","PB19040603-01","83.00","289.10"
"Block","PB19040604-01","70.27","238.15"
"Hourly","PH19040604","21.00","283.00"
"Block","PB19040605-01","71.45","238.15"
"Hourly","PH19040605","21.00","250.00"
"Block","PB19040606-01","72.34","185.01"
"Hourly","PH19040606","10.00","194.99"
"Block","PB19040607-03","279.00","279.00"
"Block","PB19040607-01","76.95","260.00"
"Hourly","PH19040607","10.00","270.00"
"Hourly","PH19040608","20.00","298.88"
"Block","PB19040608-01","76.68","289.11"
"Hourly","PH19040609","20.00","297.10"
"Block","PB19040609-01","76.14","289.11"
"Block","PB19040610-01","72.33","294.68"
"Hourly","PH19040610","20.00","305.79"
"Hourly","PH19040611","100.00","317.00"
"Block","PB19040611-01","72.52","300.63"
"Hourly","PH19040612","123.00","239.00"
"Block","PB19040612-01","70.09","229.42"
"Hourly","PH19040613","103.00","204.79"
"Block","PB19040613-01","83.57","199.98"
"Hourly","PH19040614","71.00","717.99"
"Block","PB19040614-01","70.38","170.01"
"Hourly","PH19040615","71.00","175.00"
"Block","PB19040615-01","72.36","172.00"
"Block","PB19040616-01","70.11","170.00"
"Hourly","PH19040616","71.00","175.00"
"Block","PB19040617-01","70.59","143.28"
"Hourly","PH19040617","42.00","154.90"
"Hourly","PH19040618","161.00","264.79"
"Block","PB19040618-01","74.00","260.00"
"Block","PB19040619-01","87.92","305.23"
"Block","PB19040619-02","300.00","300.00"
"Hourly","PH19040619","206.00","313.35"
"Block","PB19040620-01","71.05","305.57"
"Hourly","PH19040620","0.00","308.00"
"Block","PB19040621-01","71.87","301.26"
"Hourly","PH19040621","202.00","305.00"
"Hourly","PH19040622","190.00","291.39"
"Block","PB19040622-01","71.40","288.88"
"Hourly","PH19040623","141.00","245.00"
"Block","PB19040623-01","74.31","240.42"
"Block","PB19040700-01","87.78","140.37"
"Hourly","PH19040700","80.00","96.00"
"Block","PB19040700-24","123.00","123.00"
"Block","PB19040701-01","70.79","161.00"
"Hourly","PH19040701","30.00","160.00"
"Block","PB19040702-01","71.92","224.89"
"Block","PB19040702-07","122.79","122.79"
"Hourly","PH19040702","118.00","228.90"
"Block","PB19040703-01","71.48","140.88"
"Hourly","PH19040703","0.10","96.00"
"Hourly","PH19040704","100.00","172.00"
"Block","PB19040704-01","71.28","165.00"
"Block","PB19040705-01","75.75","177.02"
"Hourly","PH19040705","75.00","189.99"
"Hourly","PH19040706","100.00","187.00"
"Block","PB19040706-01","73.03","180.90"
"Hourly","PH19040707","0.29","39.98"
"Block","PB19040707-01","29.99","37.00"
"Block","PB19040708-01","23.78","28.99"
"Hourly","PH19040708","3.78","30.00"
"Hourly","PH19040709","9.00","14.80"
"Block","PB19040709-01","10.00","12.00"
"Block","PB19040710-01","34.99","36.02"
"Hourly","PH19040710","20.01","37.08"
"Block","PB19040711-01","70.06","139.07"
"Hourly","PH19040711","20.00","201.50"
"Block","PB19040712-01","54.99","70.00"
"Hourly","PH19040712","2.00","59.99"
"Hourly","PH19040713","2.00","47.00"
"Block","PB19040713-01","30.00","34.00"
"Hourly","PH19040714","2.00","45.00"
"Block","PB19040714-01","34.65","39.00"
"Block","PB19040715-01","29.99","30.00"
"Block","PB19040715-02","10.00","10.00"
"Hourly","PH19040715","1.00","40.00"
"Block","PB19040716-01","5.01","5.01"
"Hourly","PH19040716","0.01","15.01"
"Block","PB19040717-01","71.37","140.24"
"Hourly","PH19040717","2.00","120.00"
"Block","PB19040718-06","241.34","241.34"
"Block","PB19040718-01","70.45","175.00"
"Hourly","PH19040718","2.00","185.00"
"Hourly","PH19040719","201.00","310.00"
"Block","PB19040719-01","72.44","300.00"
"Block","PB19040720-04","243.79","243.79"
"Block","PB19040720-01","74.64","301.16"
"Hourly","PH19040720","202.00","310.00"
"Block","PB19040721-01","71.78","294.00"
"Hourly","PH19040721","195.00","300.00"
"Block","PB19040722-01","71.68","279.99"
"Hourly","PH19040722","180.00","285.00"
"Hourly","PH19040723","20.00","108.00"
"Block","PB19040723-01","84.52","136.18"
"Block","PB19040800-07","148.00","148.00"
"Block","PB19040800-08","163.46","163.46"
"Block","PB19040800-24","230.50","230.50"
"Hourly","PH19040800","2.00","172.58"
"Block","PB19040800-01","73.27","169.96"
