"Contract Type","Contract Name","Clearing Quantity (MWh)"
"Block","PB19010415-01","68.30"
"Hourly","PH19010415","935.80"
"Block","PB19010416-01","71.50"
"Hourly","PH19010416","827.90"
"Hourly","PH19010417","900.40"
"Block","PB19010417-01","108.70"
"Block","PB19010417-02","20.00"
"Block","PB19010418-04","6.00"
"Block","PB19010418-02","4.40"
"Block","PB19010418-05","0.00"
"Block","PB19010418-01","114.60"
"Hourly","PH19010418","680.90"
"Hourly","PH19010419","720.20"
"Block","PB19010419-01","105.50"
"Block","PB19010419-05","0.30"
"Block","PB19010419-02","1.20"
"Hourly","PH19010420","659.10"
"Block","PB19010420-02","4.00"
"Block","PB19010420-01","112.30"
"Block","PB19010420-03","2.00"
"Block","PB19010421-03","19.00"
"Block","PB19010421-01","165.10"
"Hourly","PH19010421","667.60"
"Hourly","PH19010422","507.50"
"Block","PB19010422-02","0.10"
"Block","PB19010422-01","203.80"
"Block","PB19010423-01","227.90"
"Hourly","PH19010423","508.90"
"Block","PB19010500-01","78.30"
"Block","PB19010500-10","3.00"
"Block","PB19010500-24","0.40"
"Hourly","PH19010500","196.90"
"Block","PB19010501-01","81.20"
"Block","PB19010501-09","1.50"
"Hourly","PH19010501","202.80"
"Block","PB19010502-01","91.20"
"Block","PB19010502-22","0.20"
"Hourly","PH19010502","202.40"
"Block","PB19010503-01","96.60"
"Hourly","PH19010503","188.90"
"Block","PB19010504-01","83.50"
"Hourly","PH19010504","268.70"
"Block","PB19010505-01","59.50"
"Hourly","PH19010505","194.40"
"Block","PB19010506-01","86.00"
"Hourly","PH19010506","430.20"
"Block","PB19010507-01","112.80"
"Hourly","PH19010507","380.20"
"Block","PB19010508-16","0.10"
"Hourly","PH19010508","236.20"
"Block","PB19010508-15","0.00"
"Block","PB19010508-01","136.20"
"Block","PB19010508-04","0.00"
"Block","PB19010509-01","191.80"
"Block","PB19010509-02","6.00"
"Hourly","PH19010509","203.20"
"Hourly","PH19010510","236.60"
"Block","PB19010510-01","96.40"
"Block","PB19010511-03","40.00"
"Block","PB19010511-13","0.10"
"Block","PB19010511-08","1.40"
"Block","PB19010511-01","98.60"
"Hourly","PH19010511","247.10"
"Block","PB19010512-12","0.00"
"Block","PB19010512-04","0.00"
"Block","PB19010512-06","5.00"
"Block","PB19010512-01","126.90"
"Hourly","PH19010512","250.80"
"Block","PB19010513-01","173.30"
"Block","PB19010513-02","10.00"
"Block","PB19010513-11","0.00"
"Hourly","PH19010513","345.30"
"Hourly","PH19010514","482.40"
"Block","PB19010514-10","0.00"
"Block","PB19010514-01","107.20"
"Block","PB19010515-09","10.00"
"Hourly","PH19010515","523.60"
"Block","PB19010515-01","134.00"
"Block","PB19010516-04","0.00"
"Block","PB19010516-01","113.50"
"Hourly","PH19010516","529.00"
"Hourly","PH19010517","356.60"
"Block","PB19010517-01","81.50"
"Block","PB19010517-06","6.00"
"Block","PB19010517-03","1.50"
"Block","PB19010518-01","92.80"
"Hourly","PH19010518","365.40"
"Block","PB19010519-01","124.90"
"Hourly","PH19010519","367.70"
"Hourly","PH19010520","370.80"
"Block","PB19010520-01","104.70"
"Block","PB19010520-04","0.00"
"Block","PB19010521-01","85.80"
"Hourly","PH19010521","448.30"
"Block","PB19010522-01","94.40"
"Hourly","PH19010522","428.40"
"Block","PB19010522-02","4.30"
"Hourly","PH19010523","375.70"
"Block","PB19010523-01","162.30"
"Hourly","PH19010600","286.80"
"Block","PB19010600-01","127.20"
"Block","PB19010601-01","133.80"
"Hourly","PH19010601","233.80"
"Block","PB19010602-01","75.40"
"Hourly","PH19010602","334.70"
"Block","PB19010603-01","74.90"
"Hourly","PH19010603","389.20"
"Block","PB19010604-01","75.20"
"Hourly","PH19010604","367.50"
"Hourly","PH19010605","238.90"
"Block","PB19010605-01","77.90"
"Block","PB19010606-01","73.90"
"Hourly","PH19010606","223.50"
"Hourly","PH19010607","253.80"
"Block","PB19010607-01","75.70"
"Block","PB19010608-01","64.20"
"Hourly","PH19010608","188.10"
"Hourly","PH19010609","328.70"
"Block","PB19010609-01","61.70"
"Block","PB19010610-01","47.70"
"Hourly","PH19010610","261.90"
"Block","PB19010611-01","60.70"
"Hourly","PH19010611","299.10"
"Block","PB19010611-03","1.00"
