"Contract Type","Contract Name","Clearing Quantity (MWh)"
"Block","PB19032711-01","318.20"
"Hourly","PH19032711","384.10"
"Block","PB19032712-01","325.30"
"Hourly","PH19032712","302.60"
"Block","PB19032713-01","339.40"
"Hourly","PH19032713","358.30"
"Block","PB19032714-01","337.70"
"Hourly","PH19032714","331.10"
"Block","PB19032715-01","399.80"
"Hourly","PH19032715","299.30"
"Block","PB19032716-01","326.90"
"Hourly","PH19032716","306.70"
"Block","PB19032717-01","294.90"
"Hourly","PH19032717","322.00"
"Block","PB19032718-06","1.00"
"Hourly","PH19032718","301.80"
"Block","PB19032718-01","225.40"
"Block","PB19032719-01","254.70"
"Hourly","PH19032719","219.70"
"Block","PB19032720-01","246.10"
"Hourly","PH19032720","255.70"
"Block","PB19032721-01","282.50"
"Hourly","PH19032721","329.90"
"Block","PB19032722-01","283.70"
"Hourly","PH19032722","262.00"
"Block","PB19032723-01","309.50"
"Hourly","PH19032723","751.60"
"Block","PB19032800-01","234.50"
"Hourly","PH19032800","215.50"
"Hourly","PH19032801","229.90"
"Block","PB19032801-01","245.30"
"Block","PB19032802-04","0.80"
"Block","PB19032802-01","253.60"
"Hourly","PH19032802","249.70"
"Block","PB19032803-01","234.10"
"Hourly","PH19032803","240.90"
"Block","PB19032804-01","202.50"
"Hourly","PH19032804","264.80"
"Block","PB19032805-01","194.00"
"Hourly","PH19032805","175.70"
"Hourly","PH19032806","128.80"
"Block","PB19032806-01","198.00"
"Block","PB19032807-01","217.70"
"Hourly","PH19032807","165.50"
"Block","PB19032808-01","229.10"
"Hourly","PH19032808","214.10"
"Hourly","PH19032809","209.60"
"Block","PB19032809-01","230.30"
"Block","PB19032810-01","257.30"
"Hourly","PH19032810","211.80"
"Hourly","PH19032811","318.80"
"Block","PB19032811-08","0.80"
"Block","PB19032811-01","254.10"
"Block","PB19032812-01","244.10"
"Hourly","PH19032812","354.00"
"Block","PB19032813-01","270.70"
"Hourly","PH19032813","362.50"
"Block","PB19032814-01","230.80"
"Hourly","PH19032814","505.20"
"Block","PB19032815-01","225.20"
"Hourly","PH19032815","470.10"
"Block","PB19032816-01","203.20"
"Hourly","PH19032816","543.80"
"Hourly","PH19032817","522.70"
"Block","PB19032817-01","225.20"
"Block","PB19032818-01","257.60"
"Block","PB19032818-06","1.00"
"Hourly","PH19032818","427.20"
"Block","PB19032819-01","205.10"
"Hourly","PH19032819","583.60"
"Block","PB19032820-01","257.40"
"Hourly","PH19032820","444.20"
"Block","PB19032821-01","208.10"
"Hourly","PH19032821","477.40"
"Block","PB19032822-01","201.00"
"Hourly","PH19032822","537.40"
"Hourly","PH19032823","419.40"
"Block","PB19032823-01","224.00"
"Block","PB19032900-01","194.60"
"Hourly","PH19032900","241.70"
"Block","PB19032900-08","0.80"
"Block","PB19032900-02","4.00"
"Block","PB19032901-01","219.00"
"Hourly","PH19032901","264.50"
"Hourly","PH19032902","282.80"
"Block","PB19032902-01","194.70"
"Block","PB19032903-01","209.40"
"Hourly","PH19032903","161.40"
"Block","PB19032904-01","210.20"
"Hourly","PH19032904","177.70"
"Block","PB19032905-01","198.80"
"Hourly","PH19032905","154.00"
"Hourly","PH19032906","166.30"
"Block","PB19032906-01","214.90"
"Block","PB19032907-01","243.50"
"Hourly","PH19032907","411.40"
"Block","PB19032908-01","259.90"
"Hourly","PH19032908","327.40"
"Hourly","PH19032909","216.30"
"Block","PB19032909-01","226.70"
"Block","PB19032910-01","194.60"
"Hourly","PH19032910","310.90"
"Hourly","PH19032911","540.10"
"Block","PB19032911-01","166.50"
"Block","PB19032912-01","166.20"
"Block","PB19032912-02","7.00"
"Hourly","PH19032912","680.80"
"Block","PB19032913-01","189.80"
"Hourly","PH19032913","414.70"
"Hourly","PH19032914","791.10"
"Block","PB19032914-01","253.70"
"Block","PB19032915-01","187.50"
"Hourly","PH19032915","812.90"
"Hourly","PH19032916","936.40"
"Block","PB19032916-01","246.20"
"Hourly","PH19032917","787.00"
"Block","PB19032917-01","178.50"
"Block","PB19032918-01","174.80"
"Hourly","PH19032918","433.80"
"Block","PB19032919-01","205.40"
"Hourly","PH19032919","893.80"
"Block","PB19032920-01","196.20"
"Hourly","PH19032920","778.10"
"Block","PB19032921-02","1.50"
"Hourly","PH19032921","703.80"
"Block","PB19032921-01","205.30"
"Block","PB19032922-01","231.20"
"Hourly","PH19032922","884.90"
"Hourly","PH19032923","513.00"
"Block","PB19032923-01","232.90"
"Hourly","PH19033000","254.50"
"Block","PB19033000-01","149.80"
"Hourly","PH19033001","174.20"
"Block","PB19033001-01","173.80"
"Block","PB19033002-01","176.80"
"Hourly","PH19033002","188.30"
"Hourly","PH19033003","190.80"
"Block","PB19033003-01","183.40"
"Hourly","PH19033004","160.10"
"Block","PB19033004-01","172.60"
"Hourly","PH19033005","152.50"
"Block","PB19033005-01","189.50"
"Block","PB19033006-01","188.60"
"Hourly","PH19033006","196.00"
"Block","PB19033007-01","191.40"
"Hourly","PH19033007","291.10"
"Hourly","PH19033008","195.60"
"Block","PB19033008-01","224.30"
"Hourly","PH19033009","245.30"
"Block","PB19033009-01","214.70"
"Block","PB19033010-01","214.40"
"Hourly","PH19033010","349.70"
"Hourly","PH19033011","373.40"
"Block","PB19033011-01","177.10"
"Hourly","PH19033012","416.70"
"Block","PB19033012-01","210.60"
"Hourly","PH19033013","500.30"
"Block","PB19033013-01","222.10"
"Hourly","PH19033014","542.30"
"Block","PB19033014-01","229.20"
"Hourly","PH19033015","786.20"
"Block","PB19033015-01","229.40"
"Block","PB19033016-01","256.70"
"Hourly","PH19033016","522.60"
"Block","PB19033016-04","1.00"
"Block","PB19033017-01","240.90"
"Hourly","PH19033017","431.70"
"Block","PB19033018-01","227.30"
"Hourly","PH19033018","651.10"
"Hourly","PH19033019","558.80"
"Block","PB19033019-01","202.60"
"Hourly","PH19033020","526.50"
"Block","PB19033020-04","1.00"
"Block","PB19033020-01","207.10"
"Hourly","PH19033021","474.20"
"Block","PB19033021-01","202.10"
"Block","PB19033022-01","220.20"
"Hourly","PH19033022","493.20"
"Block","PB19033023-01","235.80"
"Hourly","PH19033023","571.80"
"Block","PB19033100-01","185.20"
"Block","PB19033100-02","1.00"
"Hourly","PH19033100","200.90"
"Block","PB19033101-01","183.30"
"Hourly","PH19033101","203.50"
"Block","PB19033102-01","254.40"
"Hourly","PH19033102","119.30"
"Block","PB19033103-01","273.80"
"Hourly","PH19033103","169.30"
"Hourly","PH19033104","161.50"
"Block","PB19033104-01","257.40"
"Block","PB19033105-01","280.30"
"Hourly","PH19033105","129.30"
"Block","PB19033106-01","283.40"
"Hourly","PH19033106","138.00"
"Block","PB19033107-01","301.50"
"Hourly","PH19033107","162.20"
"Block","PB19033108-02","13.00"
"Hourly","PH19033108","282.10"
"Block","PB19033108-01","284.50"
"Hourly","PH19033109","291.80"
"Block","PB19033109-01","293.00"
"Block","PB19033110-01","270.10"
"Hourly","PH19033110","209.40"
"Block","PB19033111-01","277.90"
"Hourly","PH19033111","250.40"
"Block","PB19033112-01","240.70"
"Hourly","PH19033112","294.40"
"Block","PB19033113-01","269.10"
"Hourly","PH19033113","314.60"
"Block","PB19033114-01","277.90"
"Block","PB19033114-02","7.00"
"Hourly","PH19033114","411.10"
"Block","PB19033115-01","286.00"
"Hourly","PH19033115","351.80"
"Hourly","PH19033116","383.50"
"Block","PB19033116-01","269.40"
"Block","PB19033117-02","8.00"
"Block","PB19033117-01","273.30"
"Hourly","PH19033117","307.70"
"Block","PB19033118-01","271.40"
"Hourly","PH19033118","359.10"
"Block","PB19033119-01","284.70"
"Hourly","PH19033119","204.70"
"Hourly","PH19033120","201.20"
"Block","PB19033120-01","258.90"
"Block","PB19033121-01","268.90"
"Block","PB19033121-03","12.00"
"Hourly","PH19033121","251.00"
"Block","PB19033122-01","275.40"
"Hourly","PH19033122","248.90"
"Block","PB19033123-01","331.00"
"Hourly","PH19033123","245.10"
"Block","PB19040100-01","272.90"
"Block","PB19040100-24","0.50"
"Hourly","PH19040100","80.90"
"Block","PB19040101-01","255.50"
"Hourly","PH19040101","132.80"
"Block","PB19040102-01","256.20"
"Hourly","PH19040102","167.00"
"Block","PB19040103-01","223.10"
"Hourly","PH19040103","110.10"
"Block","PB19040104-01","246.40"
"Hourly","PH19040104","110.60"
"Block","PB19040105-01","285.80"
"Hourly","PH19040105","94.80"
"Block","PB19040106-01","265.00"
"Hourly","PH19040106","198.40"
"Block","PB19040107-01","287.20"
"Hourly","PH19040107","260.00"
"Block","PB19040108-01","268.70"
"Hourly","PH19040108","161.00"
"Block","PB19040109-01","239.30"
"Hourly","PH19040109","106.00"
"Block","PB19040110-01","241.10"
"Hourly","PH19040110","341.50"
"Block","PB19040111-01","223.90"
"Hourly","PH19040111","448.30"
"Block","PB19040112-03","20.00"
"Hourly","PH19040112","306.40"
"Block","PB19040112-01","199.80"
"Block","PB19040113-01","226.70"
"Hourly","PH19040113","505.00"
"Block","PB19040114-01","230.50"
"Hourly","PH19040114","381.50"
"Block","PB19040115-01","234.60"
"Hourly","PH19040115","483.80"
"Block","PB19040116-01","280.50"
"Hourly","PH19040116","691.00"
"Block","PB19040117-01","54.40"
"Block","PB19040117-03","10.50"
"Hourly","PH19040117","570.60"
"Block","PB19040118-01","43.00"
"Hourly","PH19040118","542.40"
"Block","PB19040119-01","44.10"
"Hourly","PH19040119","351.40"
"Block","PB19040120-01","55.60"
"Hourly","PH19040120","391.40"
"Block","PB19040121-01","55.70"
"Block","PB19040121-02","4.00"
"Hourly","PH19040121","299.30"
"Block","PB19040122-01","85.20"
"Hourly","PH19040122","467.40"
"Block","PB19040123-01","148.20"
"Hourly","PH19040123","650.10"
"Hourly","PH19040200","253.60"
"Block","PB19040200-08","0.30"
"Block","PB19040200-24","0.50"
"Block","PB19040200-01","68.10"
"Block","PB19040201-01","92.30"
"Hourly","PH19040201","294.30"
"Block","PB19040202-16","2.50"
"Hourly","PH19040202","296.00"
"Block","PB19040202-01","72.30"
"Hourly","PH19040203","251.60"
"Block","PB19040203-01","79.70"
"Block","PB19040204-01","73.70"
"Hourly","PH19040204","213.30"
"Hourly","PH19040205","185.70"
"Block","PB19040205-01","56.80"
"Block","PB19040206-01","48.80"
"Hourly","PH19040206","408.90"
"Block","PB19040207-01","78.10"
"Block","PB19040207-05","11.00"
"Hourly","PH19040207","223.10"
"Hourly","PH19040208","154.90"
"Block","PB19040208-04","7.00"
"Block","PB19040208-01","57.80"
"Block","PB19040209-01","55.50"
"Hourly","PH19040209","98.80"
"Hourly","PH19040210","394.10"
"Block","PB19040210-01","61.90"
"Hourly","PH19040211","550.00"
"Block","PB19040211-01","251.30"
"Block","PB19040212-01","264.00"
"Hourly","PH19040212","718.30"
"Block","PB19040213-01","243.90"
"Hourly","PH19040213","679.40"
"Hourly","PH19040214","630.10"
"Block","PB19040214-04","11.00"
"Block","PB19040214-01","229.80"
"Block","PB19040215-01","244.70"
"Block","PB19040215-03","7.00"
"Hourly","PH19040215","705.70"
"Hourly","PH19040216","729.60"
"Block","PB19040216-01","237.70"
"Block","PB19040217-01","261.90"
"Hourly","PH19040217","1,109.70"
"Block","PB19040218-01","291.60"
"Hourly","PH19040218","575.20"
"Hourly","PH19040219","421.80"
"Block","PB19040219-01","317.00"
"Block","PB19040219-03","1.00"
"Block","PB19040220-01","316.20"
"Hourly","PH19040220","448.30"
"Hourly","PH19040221","428.70"
"Block","PB19040221-01","301.00"
"Hourly","PH19040222","363.80"
"Block","PB19040222-01","260.20"
"Hourly","PH19040223","671.60"
"Block","PB19040223-01","261.20"
"Block","PB19040300-01","231.60"
"Block","PB19040300-05","0.30"
"Block","PB19040300-24","0.50"
"Hourly","PH19040300","193.10"
"Hourly","PH19040301","117.60"
"Block","PB19040301-01","203.40"
"Hourly","PH19040302","182.10"
"Block","PB19040302-01","183.30"
"Hourly","PH19040303","128.90"
"Block","PB19040303-01","174.00"
"Block","PB19040304-01","152.70"
"Hourly","PH19040304","131.90"
"Block","PB19040305-01","159.40"
"Hourly","PH19040305","198.40"
"Block","PB19040306-01","172.00"
"Hourly","PH19040306","269.10"
"Block","PB19040307-01","171.20"
"Hourly","PH19040307","411.90"
"Block","PB19040308-01","179.70"
"Hourly","PH19040308","207.70"
"Block","PB19040309-01","150.80"
"Hourly","PH19040309","201.10"
"Hourly","PH19040310","291.90"
"Block","PB19040310-01","120.30"
"Block","PB19040310-14","155.00"
"Hourly","PH19040311","433.30"
"Block","PB19040311-01","129.40"
"Block","PB19040312-02","0.50"
"Block","PB19040312-01","121.30"
"Hourly","PH19040312","622.50"
"Block","PB19040313-01","178.10"
"Hourly","PH19040313","520.80"
"Hourly","PH19040314","609.50"
"Block","PB19040314-01","162.40"
"Block","PB19040314-05","0.50"
"Block","PB19040315-01","187.20"
"Hourly","PH19040315","654.50"
"Hourly","PH19040316","594.30"
"Block","PB19040316-01","189.00"
"Block","PB19040317-01","224.50"
"Hourly","PH19040317","561.20"
"Block","PB19040318-01","238.50"
"Hourly","PH19040318","383.90"
"Hourly","PH19040319","280.90"
"Block","PB19040319-01","150.70"
"Hourly","PH19040320","340.10"
"Block","PB19040320-01","140.70"
"Block","PB19040321-03","155.00"
"Hourly","PH19040321","310.70"
"Block","PB19040321-01","136.10"
"Block","PB19040322-01","180.10"
"Hourly","PH19040322","305.10"
"Block","PB19040323-01","192.50"
"Hourly","PH19040323","448.50"
"Block","PB19040400-24","0.60"
"Block","PB19040400-01","109.50"
"Hourly","PH19040400","77.60"
"Block","PB19040401-01","106.80"
"Hourly","PH19040401","153.60"
"Hourly","PH19040402","77.90"
"Block","PB19040402-01","115.90"
"Hourly","PH19040403","149.40"
"Block","PB19040403-01","116.60"
"Block","PB19040404-01","121.80"
"Hourly","PH19040404","92.40"
"Hourly","PH19040405","166.90"
"Block","PB19040405-01","110.20"
"Block","PB19040406-01","108.30"
"Hourly","PH19040406","84.80"
"Hourly","PH19040407","228.00"
"Block","PB19040407-01","120.10"
"Hourly","PH19040408","113.10"
"Block","PB19040408-01","113.80"
"Block","PB19040409-01","98.80"
"Hourly","PH19040409","217.10"
"Hourly","PH19040410","283.50"
"Block","PB19040410-01","83.70"
"Block","PB19040411-01","112.40"
"Hourly","PH19040411","607.20"
"Block","PB19040412-01","149.20"
"Hourly","PH19040412","585.00"
"Hourly","PH19040413","592.60"
"Block","PB19040413-01","143.50"
"Hourly","PH19040414","653.10"
"Block","PB19040414-01","157.30"
"Block","PB19040415-01","153.60"
"Hourly","PH19040415","634.10"
"Hourly","PH19040416","577.30"
"Block","PB19040416-01","115.90"
"Block","PB19040417-01","174.60"
"Hourly","PH19040417","554.50"
"Block","PB19040418-01","182.90"
"Hourly","PH19040418","350.30"
"Hourly","PH19040419","393.70"
"Block","PB19040419-01","159.40"
"Hourly","PH19040420","247.80"
"Block","PB19040420-01","200.70"
"Block","PB19040421-01","196.80"
"Hourly","PH19040421","173.20"
"Hourly","PH19040422","208.80"
"Block","PB19040422-01","226.50"
"Hourly","PH19040423","456.60"
"Block","PB19040423-01","176.90"
"Block","PB19040500-01","144.90"
"Hourly","PH19040500","284.00"
"Block","PB19040501-01","144.10"
"Block","PB19040501-23","0.80"
"Hourly","PH19040501","298.50"
"Block","PB19040502-01","126.20"
"Hourly","PH19040502","288.80"
"Block","PB19040502-02","1.00"
"Block","PB19040503-01","110.10"
"Hourly","PH19040503","307.70"
"Block","PB19040504-01","116.20"
"Hourly","PH19040504","295.10"
"Block","PB19040505-01","142.60"
"Hourly","PH19040505","287.50"
"Block","PB19040506-01","134.20"
"Hourly","PH19040506","243.90"
"Block","PB19040507-01","125.60"
"Block","PB19040507-03","1.00"
"Hourly","PH19040507","338.90"
"Block","PB19040508-01","110.20"
"Hourly","PH19040508","208.80"
"Block","PB19040508-02","0.50"
"Block","PB19040509-01","128.00"
"Hourly","PH19040509","219.60"
"Block","PB19040510-01","134.80"
"Hourly","PH19040510","316.30"
"Block","PB19040511-01","163.90"
"Hourly","PH19040511","228.50"
"Block","PB19040512-01","153.40"
"Hourly","PH19040512","223.30"
"Block","PB19040513-01","157.20"
"Hourly","PH19040513","571.20"
"Block","PB19040514-01","155.10"
"Hourly","PH19040514","506.30"
"Block","PB19040515-01","183.50"
"Hourly","PH19040515","586.00"
"Block","PB19040516-01","158.50"
"Hourly","PH19040516","551.00"
"Block","PB19040517-01","194.40"
"Hourly","PH19040517","559.30"
"Block","PB19040518-01","184.30"
"Hourly","PH19040518","450.70"
"Block","PB19040519-05","3.00"
"Block","PB19040519-01","175.40"
"Hourly","PH19040519","507.80"
"Block","PB19040520-01","157.40"
"Hourly","PH19040520","385.30"
"Block","PB19040521-01","149.40"
"Hourly","PH19040521","340.90"
"Block","PB19040522-01","133.80"
"Hourly","PH19040522","366.20"
"Block","PB19040523-01","149.40"
"Hourly","PH19040523","309.70"
"Block","PB19040600-01","154.00"
"Hourly","PH19040600","178.90"
"Hourly","PH19040601","173.10"
"Block","PB19040601-01","138.10"
"Block","PB19040601-23","0.80"
"Block","PB19040602-01","130.60"
"Hourly","PH19040602","216.80"
"Hourly","PH19040603","324.90"
"Block","PB19040603-01","142.90"
"Block","PB19040604-01","164.30"
"Hourly","PH19040604","204.10"
"Block","PB19040605-01","164.80"
"Hourly","PH19040605","146.00"
"Block","PB19040606-01","146.80"
"Hourly","PH19040606","162.30"
"Block","PB19040607-03","1.00"
"Block","PB19040607-01","148.00"
"Hourly","PH19040607","182.30"
"Hourly","PH19040608","186.90"
"Block","PB19040608-01","165.30"
"Hourly","PH19040609","212.00"
"Block","PB19040609-01","170.30"
"Block","PB19040610-01","157.80"
"Hourly","PH19040610","213.00"
"Hourly","PH19040611","288.60"
"Block","PB19040611-01","184.20"
"Hourly","PH19040612","256.20"
"Block","PB19040612-01","230.80"
"Hourly","PH19040613","333.70"
"Block","PB19040613-01","242.70"
"Hourly","PH19040614","409.50"
"Block","PB19040614-01","274.70"
"Hourly","PH19040615","618.70"
"Block","PB19040615-01","269.10"
"Block","PB19040616-01","315.00"
"Hourly","PH19040616","788.50"
"Block","PB19040617-01","367.10"
"Hourly","PH19040617","429.20"
"Hourly","PH19040618","580.50"
"Block","PB19040618-01","409.30"
"Block","PB19040619-01","399.50"
"Block","PB19040619-02","16.50"
"Hourly","PH19040619","594.90"
"Block","PB19040620-01","384.70"
"Hourly","PH19040620","610.00"
"Block","PB19040621-01","430.90"
"Hourly","PH19040621","533.00"
"Hourly","PH19040622","828.50"
"Block","PB19040622-01","422.90"
"Hourly","PH19040623","647.50"
"Block","PB19040623-01","333.10"
"Block","PB19040700-01","289.40"
"Hourly","PH19040700","288.30"
"Block","PB19040700-24","0.80"
"Block","PB19040701-01","245.40"
"Hourly","PH19040701","555.10"
"Block","PB19040702-01","252.90"
"Block","PB19040702-07","1.00"
"Hourly","PH19040702","490.90"
"Block","PB19040703-01","262.30"
"Hourly","PH19040703","421.20"
"Hourly","PH19040704","441.30"
"Block","PB19040704-01","228.10"
"Block","PB19040705-01","211.80"
"Hourly","PH19040705","316.60"
"Hourly","PH19040706","299.10"
"Block","PB19040706-01","225.60"
"Hourly","PH19040707","344.10"
"Block","PB19040707-01","231.30"
"Block","PB19040708-01","214.40"
"Hourly","PH19040708","360.00"
"Hourly","PH19040709","420.30"
"Block","PB19040709-01","215.10"
"Block","PB19040710-01","241.90"
"Hourly","PH19040710","427.70"
"Block","PB19040711-01","207.30"
"Hourly","PH19040711","479.20"
"Block","PB19040712-01","221.50"
"Hourly","PH19040712","397.70"
"Hourly","PH19040713","509.20"
"Block","PB19040713-01","229.70"
"Hourly","PH19040714","437.90"
"Block","PB19040714-01","223.50"
"Block","PB19040715-01","287.00"
"Block","PB19040715-02","17.50"
"Hourly","PH19040715","477.50"
"Block","PB19040716-01","325.40"
"Hourly","PH19040716","510.10"
"Block","PB19040717-01","368.10"
"Hourly","PH19040717","381.70"
"Block","PB19040718-06","2.00"
"Block","PB19040718-01","341.40"
"Hourly","PH19040718","357.60"
"Hourly","PH19040719","701.60"
"Block","PB19040719-01","333.80"
"Block","PB19040720-04","1.00"
"Block","PB19040720-01","347.70"
"Hourly","PH19040720","594.60"
"Block","PB19040721-01","296.10"
"Hourly","PH19040721","582.10"
"Block","PB19040722-01","292.00"
"Hourly","PH19040722","618.90"
"Hourly","PH19040723","558.20"
"Block","PB19040723-01","308.10"
"Block","PB19040800-07","12.80"
"Block","PB19040800-08","1.00"
"Block","PB19040800-24","0.60"
"Hourly","PH19040800","141.40"
"Block","PB19040800-01","182.90"
"Hourly","PH19040801","209.70"
"Block","PB19040801-01","189.70"
"Hourly","PH19040802","215.10"
"Block","PB19040802-01","168.10"
"Block","PB19040803-01","178.00"
"Hourly","PH19040803","238.50"
"Hourly","PH19040804","193.60"
"Block","PB19040804-01","167.30"
"Block","PB19040805-01","188.00"
"Hourly","PH19040805","170.10"
"Hourly","PH19040806","180.70"
"Block","PB19040806-01","209.10"
"Block","PB19040807-01","204.10"
"Hourly","PH19040807","149.70"
"Block","PB19040808-01","166.80"
"Hourly","PH19040808","162.80"
"Block","PB19040809-01","176.10"
"Hourly","PH19040809","174.20"
"Block","PB19040810-01","199.10"
"Block","PB19040810-08","2.00"
"Hourly","PH19040810","364.50"
"Block","PB19040811-01","200.00"
"Hourly","PH19040811","603.10"
"Block","PB19040812-01","250.80"
"Hourly","PH19040812","613.30"
"Hourly","PH19040813","679.00"
"Block","PB19040813-01","253.30"
"Block","PB19040814-01","273.90"
"Hourly","PH19040814","608.10"
"Block","PB19040815-01","236.30"
"Hourly","PH19040815","477.30"
"Hourly","PH19040816","549.40"
"Block","PB19040816-01","237.70"
"Block","PB19040817-01","284.10"
"Hourly","PH19040817","512.40"
"Hourly","PH19040818","440.40"
"Block","PB19040818-01","291.20"
"Block","PB19040818-06","2.00"
"Block","PB19040819-02","3.00"
"Block","PB19040819-01","278.60"
"Hourly","PH19040819","626.70"
"Block","PB19040820-01","322.40"
"Hourly","PH19040820","622.20"
"Hourly","PH19040821","390.90"
"Block","PB19040821-01","310.80"
"Block","PB19040822-01","289.30"
"Hourly","PH19040822","997.50"
"Hourly","PH19040823","491.30"
"Block","PB19040823-01","334.20"
"Block","PB19040900-01","320.70"
"Block","PB19040900-24","7.00"
"Hourly","PH19040900","236.70"
"Hourly","PH19040901","269.10"
"Block","PB19040901-01","290.50"
"Hourly","PH19040902","284.10"
"Block","PB19040902-01","305.90"
"Hourly","PH19040903","113.30"
"Block","PB19040903-01","306.90"
"Block","PB19040904-01","271.50"
"Hourly","PH19040904","152.60"
"Block","PB19040905-01","279.40"
"Hourly","PH19040905","149.80"
"Block","PB19040906-01","321.00"
"Hourly","PH19040906","157.00"
"Block","PB19040907-01","255.00"
"Hourly","PH19040907","285.40"
"Block","PB19040907-03","9.50"
"Block","PB19040908-01","301.40"
"Hourly","PH19040908","300.20"
"Hourly","PH19040909","418.40"
"Block","PB19040909-01","281.40"
"Hourly","PH19040910","540.80"
"Block","PB19040910-01","277.70"
"Block","PB19040911-01","293.00"
"Hourly","PH19040911","699.70"
"Hourly","PH19040912","954.30"
"Block","PB19040912-02","20.00"
"Block","PB19040912-01","384.60"
"Block","PB19040912-05","91.00"
"Block","PB19040913-01","290.60"
"Hourly","PH19040913","943.60"
"Block","PB19040914-02","7.50"
"Block","PB19040914-03","35.00"
"Block","PB19040914-01","280.90"
"Hourly","PH19040914","860.30"
"Block","PB19040915-01","266.50"
"Hourly","PH19040915","1,014.50"
"Block","PB19040916-01","363.10"
"Block","PB19040916-02","3.50"
"Hourly","PH19040916","1,047.50"
"Hourly","PH19040917","912.30"
"Block","PB19040917-01","392.70"
"Block","PB19040918-01","393.90"
"Hourly","PH19040918","915.20"
"Block","PB19040919-01","379.80"
"Block","PB19040919-03","4.50"
"Hourly","PH19040919","950.80"
"Block","PB19040920-01","390.20"
"Hourly","PH19040920","699.40"
"Block","PB19040921-01","423.40"
"Hourly","PH19040921","800.10"
"Block","PB19040922-01","737.20"
"Hourly","PH19040922","867.50"
"Hourly","PH19040923","1,020.50"
"Block","PB19040923-01","408.40"
"Block","PB19041000-24","0.80"
"Block","PB19041000-01","300.30"
"Hourly","PH19041000","203.00"
"Block","PB19041001-01","227.70"
"Hourly","PH19041001","301.30"
"Block","PB19041002-01","295.00"
"Hourly","PH19041002","237.40"
"Block","PB19041003-01","287.30"
"Hourly","PH19041003","227.70"
"Block","PB19041004-01","309.50"
"Hourly","PH19041004","205.60"
"Block","PB19041005-01","283.60"
"Block","PB19041005-06","0.00"
"Hourly","PH19041005","111.20"
"Block","PB19041005-02","2.00"
"Block","PB19041006-01","321.30"
"Hourly","PH19041006","102.20"
"Block","PB19041007-01","279.30"
"Hourly","PH19041007","155.90"
"Block","PB19041008-01","243.60"
"Hourly","PH19041008","191.90"
"Block","PB19041009-01","290.60"
"Hourly","PH19041009","174.30"
"Block","PB19041010-01","280.10"
"Hourly","PH19041010","306.50"
"Block","PB19041011-01","282.30"
"Block","PB19041011-06","3.00"
"Hourly","PH19041011","581.90"
"Block","PB19041012-04","0.50"
"Block","PB19041012-01","247.00"
"Hourly","PH19041012","595.50"
"Block","PB19041013-01","299.20"
"Hourly","PH19041013","679.90"
"Block","PB19041014-01","320.10"
"Hourly","PH19041014","518.20"
"Block","PB19041015-01","286.00"
"Hourly","PH19041015","525.50"
"Block","PB19041016-02","0.50"
"Block","PB19041016-01","305.80"
"Hourly","PH19041016","769.90"
"Block","PB19041017-01","283.30"
"Block","PB19041017-02","11.00"
"Hourly","PH19041017","862.30"
"Block","PB19041018-01","253.00"
"Hourly","PH19041018","1,072.50"
"Block","PB19041019-01","99.20"
"Block","PB19041019-05","10.00"
"Hourly","PH19041019","933.20"
"Block","PB19041020-01","128.00"
"Hourly","PH19041020","958.30"
"Block","PB19041021-01","324.70"
"Hourly","PH19041021","668.50"
"Block","PB19041022-01","349.20"
"Hourly","PH19041022","679.30"
"Block","PB19041023-01","331.70"
"Hourly","PH19041023","813.30"
"Block","PB19041100-01","260.50"
"Block","PB19041100-24","27.80"
"Hourly","PH19041100","410.90"
"Block","PB19041101-01","267.80"
"Hourly","PH19041101","257.00"
"Hourly","PH19041102","271.30"
"Block","PB19041102-01","245.10"
"Block","PB19041103-01","275.60"
"Hourly","PH19041103","406.90"
"Block","PB19041104-01","271.70"
"Hourly","PH19041104","422.80"
"Hourly","PH19041105","387.20"
"Block","PB19041105-01","299.50"
"Hourly","PH19041106","246.90"
"Block","PB19041106-01","264.20"
"Block","PB19041107-01","261.00"
"Hourly","PH19041107","455.80"
"Block","PB19041108-01","270.80"
"Hourly","PH19041108","150.40"
"Hourly","PH19041109","176.70"
"Block","PB19041109-01","257.40"
"Hourly","PH19041110","219.90"
"Block","PB19041110-06","20.00"
"Block","PB19041110-01","297.60"
"Block","PB19041111-03","10.00"
"Block","PB19041111-07","500.00"
"Block","PB19041111-01","394.20"
"Hourly","PH19041111","289.40"
"Block","PB19041112-01","319.20"
"Hourly","PH19041112","543.50"
"Block","PB19041113-03","6.00"
"Block","PB19041113-05","30.00"
"Hourly","PH19041113","572.90"
"Block","PB19041113-01","294.90"
"Block","PB19041114-03","3.00"
"Block","PB19041114-10","0.00"
"Block","PB19041114-01","274.70"
"Hourly","PH19041114","332.90"
"Hourly","PH19041115","436.00"
"Block","PB19041115-01","278.10"
"Block","PB19041116-01","329.50"
"Hourly","PH19041116","734.10"
"Block","PB19041116-02","6.00"
"Hourly","PH19041117","700.00"
"Block","PB19041117-01","296.60"
"Block","PB19041118-01","311.90"
"Hourly","PH19041118","1,042.30"
"Block","PB19041119-01","262.80"
"Hourly","PH19041119","961.50"
"Hourly","PH19041120","1,051.40"
"Block","PB19041120-01","369.70"
"Hourly","PH19041121","859.30"
"Block","PB19041121-01","338.70"
"Block","PB19041122-01","312.70"
