"Contract Type","Contract Name","Min. Matching Price (TL/MWh)","Max. Matching Price (TL/MWh)"
"Hourly","PH19030317","225.00","245.65"
"Block","PB19030317-01","104.41","241.86"
"Block","PB19030318-01","104.85","323.00"
"Hourly","PH19030318","300.00","330.00"
"Hourly","PH19030319","310.00","328.00"
"Block","PB19030319-01","107.93","328.00"
"Block","PB19030320-01","100.42","328.33"
"Hourly","PH19030320","315.00","328.30"
"Hourly","PH19030321","301.04","329.90"
"Block","PB19030321-01","104.25","325.00"
"Block","PB19030322-01","102.67","323.31"
"Hourly","PH19030322","303.25","322.90"
"Block","PB19030323-01","134.79","331.00"
"Hourly","PH19030323","309.61","330.00"
"Hourly","PH19030400","120.55","128.00"
"Block","PB19030400-01","100.61","198.50"
"Block","PB19030401-01","101.44","231.36"
"Hourly","PH19030401","223.04","248.99"
"Block","PB19030402-01","111.73","197.30"
"Hourly","PH19030402","155.00","164.79"
"Hourly","PH19030403","121.00","134.99"
"Block","PB19030403-01","124.19","187.01"
"Hourly","PH19030404","125.00","144.99"
"Block","PB19030404-01","101.03","163.32"
"Hourly","PH19030405","150.10","160.00"
"Block","PB19030405-01","102.41","198.47"
"Block","PB19030406-01","104.24","289.48"
"Hourly","PH19030406","265.65","285.00"
"Block","PB19030407-01","116.18","300.04"
"Hourly","PH19030407","281.00","295.00"
"Hourly","PH19030408","250.00","323.99"
"Block","PB19030408-01","107.09","324.44"
"Block","PB19030409-02","330.00","330.00"
"Block","PB19030409-01","101.18","331.61"
"Hourly","PH19030409","318.00","327.91"
"Block","PB19030410-01","100.15","330.65"
"Hourly","PH19030410","319.73","328.99"
"Hourly","PH19030411","321.95","342.00"
"Block","PB19030411-01","112.58","331.91"
"Hourly","PH19030412","251.00","328.00"
"Block","PB19030412-01","106.66","327.13"
"Block","PB19030413-01","107.27","328.05"
"Block","PB19030413-04","326.80","326.80"
"Hourly","PH19030413","300.00","333.00"
"Block","PB19030414-01","113.73","343.38"
"Hourly","PH19030414","300.10","342.00"
"Block","PB19030415-01","105.16","330.00"
"Hourly","PH19030415","300.00","341.25"
"Block","PB19030416-01","102.97","335.88"
"Hourly","PH19030416","314.31","336.54"
"Hourly","PH19030417","310.00","334.47"
"Block","PB19030417-01","131.93","328.33"
"Hourly","PH19030418","310.00","339.79"
"Block","PB19030418-01","112.76","345.99"
"Block","PB19030419-01","108.85","331.89"
"Hourly","PH19030419","321.30","341.85"
"Block","PB19030420-01","106.30","330.59"
"Hourly","PH19030420","319.55","339.31"
"Block","PB19030421-03","324.56","324.56"
"Hourly","PH19030421","314.02","337.52"
"Block","PB19030421-01","106.58","325.79"
"Hourly","PH19030422","314.00","330.00"
"Block","PB19030422-01","102.03","325.63"
"Block","PB19030423-01","108.75","323.00"
"Hourly","PH19030423","312.59","325.00"
"Block","PB19030500-04","286.00","286.00"
"Hourly","PH19030500","250.00","288.74"
"Block","PB19030500-01","101.61","288.48"
"Block","PB19030501-01","102.68","290.49"
"Hourly","PH19030501","280.00","299.20"
"Hourly","PH19030502","200.11","289.99"
"Block","PB19030502-01","103.54","284.63"
"Hourly","PH19030503","269.00","284.00"
"Block","PB19030503-01","108.17","280.00"
"Hourly","PH19030504","221.32","243.00"
"Block","PB19030504-01","102.03","230.01"
"Hourly","PH19030505","288.30","299.98"
"Block","PB19030505-01","120.87","300.00"
"Block","PB19030506-01","105.95","287.49"
"Hourly","PH19030506","286.00","296.10"
"Block","PB19030507-01","111.06","320.60"
"Hourly","PH19030507","303.34","323.00"
"Hourly","PH19030508","316.01","331.75"
"Block","PB19030508-01","105.73","325.75"
"Hourly","PH19030509","223.00","332.78"
"Block","PB19030509-01","113.09","327.38"
"Hourly","PH19030510","228.00","336.00"
"Block","PB19030510-01","106.78","326.34"
"Block","PB19030511-01","119.32","327.28"
"Hourly","PH19030511","252.00","332.00"
"Block","PB19030512-01","112.22","299.97"
"Block","PB19030512-03","",""
"Hourly","PH19030512","260.17","303.99"
"Block","PB19030513-01","109.32","500.00"
"Hourly","PH19030513","250.05","288.02"
"Block","PB19030514-02","280.00","280.00"
"Block","PB19030514-01","299.00","299.98"
"Hourly","PH19030514","269.99","301.03"
"Block","PB19030515-01","114.39","285.49"
"Hourly","PH19030515","260.50","287.00"
"Hourly","PH19030516","255.00","280.00"
"Block","PB19030516-01","101.26","279.00"
"Block","PB19030517-01","107.13","321.02"
"Hourly","PH19030517","301.35","322.00"
"Block","PB19030518-01","103.82","322.49"
"Hourly","PH19030518","303.00","327.00"
"Block","PB19030519-01","105.26","325.36"
"Hourly","PH19030519","310.00","335.10"
"Block","PB19030520-01","102.60","325.00"
"Hourly","PH19030520","305.18","333.50"
"Hourly","PH19030521","299.82","310.00"
"Block","PB19030521-01","105.44","309.09"
"Hourly","PH19030522","299.77","309.09"
"Block","PB19030522-01","104.48","309.04"
"Block","PB19030523-01","101.72","281.08"
"Hourly","PH19030523","223.00","286.00"
"Block","PB19030600-01","108.90","311.00"
"Hourly","PH19030600","270.00","310.77"
"Block","PB19030601-01","104.09","311.00"
"Hourly","PH19030601","290.20","319.00"
"Block","PB19030602-01","118.93","220.00"
"Hourly","PH19030602","220.00","231.99"
"Hourly","PH19030603","125.10","139.99"
"Block","PB19030603-01","118.58","195.57"
"Hourly","PH19030604","126.03","140.00"
"Block","PB19030604-01","110.23","181.58"
"Block","PB19030605-01","100.48","199.73"
"Hourly","PH19030605","156.01","175.00"
"Hourly","PH19030606","251.01","265.00"
"Block","PB19030606-01","116.57","257.50"
"Hourly","PH19030607","251.10","265.00"
"Block","PB19030607-01","118.27","257.48"
"Block","PB19030608-01","103.82","313.02"
"Hourly","PH19030608","313.03","322.49"
"Block","PB19030609-01","105.73","317.27"
"Hourly","PH19030609","313.00","326.03"
"Hourly","PH19030610","312.39","325.75"
"Block","PB19030610-01","101.13","312.39"
"Block","PB19030611-05","284.01","284.01"
"Hourly","PH19030611","304.20","325.00"
"Block","PB19030611-01","107.97","312.99"
"Block","PB19030612-01","109.47","269.24"
"Hourly","PH19030612","261.70","275.00"
"Block","PB19030613-01","103.85","269.24"
"Hourly","PH19030613","245.00","274.00"
"Block","PB19030614-01","105.76","286.99"
"Hourly","PH19030614","278.00","293.17"
"Block","PB19030615-01","110.78","285.00"
"Hourly","PH19030615","276.00","384.00"
"Block","PB19030616-01","100.81","310.59"
"Hourly","PH19030616","305.02","320.00"
"Block","PB19030617-01","109.17","315.00"
"Hourly","PH19030617","310.00","322.00"
"Hourly","PH19030618","310.02","325.89"
"Block","PB19030618-01","135.80","322.76"
"Block","PB19030618-06","312.33","312.33"
"Block","PB19030619-01","106.37","326.25"
"Hourly","PH19030619","317.00","331.00"
"Block","PB19030620-01","100.90","323.72"
"Block","PB19030620-04","309.77","309.77"
"Block","PB19030620-03","314.04","314.04"
"Hourly","PH19030620","307.00","329.90"
"Block","PB19030621-01","103.10","323.37"
"Hourly","PH19030621","305.20","328.00"
"Block","PB19030621-02","312.70","312.70"
"Block","PB19030622-01","105.98","311.44"
"Hourly","PH19030622","302.11","321.99"
"Block","PB19030623-01","101.75","297.00"
"Hourly","PH19030623","287.11","307.00"
"Block","PB19030700-01","110.00","308.97"
"Hourly","PH19030700","280.00","307.90"
"Block","PB19030701-01","104.78","309.01"
"Hourly","PH19030701","280.01","308.00"
"Block","PB19030702-01","114.28","305.00"
"Hourly","PH19030702","250.11","305.00"
"Block","PB19030703-01","106.67","230.00"
"Hourly","PH19030703","230.00","249.99"
"Block","PB19030704-01","109.02","198.38"
"Hourly","PH19030704","157.46","165.00"
"Block","PB19030705-01","104.93","274.00"
"Hourly","PH19030705","230.00","261.00"
"Block","PB19030706-01","107.00","286.01"
"Hourly","PH19030706","260.00","286.00"
"Block","PB19030707-01","103.72","304.01"
"Hourly","PH19030707","200.00","304.00"
"Block","PB19030708-01","113.24","316.23"
"Hourly","PH19030708","284.61","317.99"
"Block","PB19030709-01","109.85","317.00"
"Hourly","PH19030709","250.00","321.03"
"Block","PB19030710-01","101.19","315.00"
"Hourly","PH19030710","282.00","318.99"
"Block","PB19030711-01","109.55","313.25"
"Hourly","PH19030711","250.02","311.96"
"Block","PB19030712-01","104.07","260.00"
"Hourly","PH19030712","230.00","258.98"
"Block","PB19030713-01","106.60","260.00"
"Hourly","PH19030713","230.00","258.99"
"Hourly","PH19030714","238.10","268.11"
"Block","PB19030714-01","110.71","268.14"
"Block","PB19030715-01","104.90","268.13"
"Hourly","PH19030715","238.10","268.08"
"Block","PB19030716-02","305.54","305.54"
"Hourly","PH19030716","231.00","299.99"
"Block","PB19030716-01","106.24","300.00"
"Block","PB19030717-01","109.26","311.09"
"Block","PB19030717-02","312.50","312.50"
"Hourly","PH19030717","280.00","311.09"
"Block","PB19030718-01","120.09","314.97"
"Block","PB19030718-02","316.69","316.69"
"Hourly","PH19030718","275.01","314.17"
"Block","PB19030719-01","102.86","319.22"
"Hourly","PH19030719","272.01","319.22"
"Block","PB19030720-03","315.17","315.17"
"Block","PB19030720-01","128.47","317.82"
"Hourly","PH19030720","271.01","317.82"
"Block","PB19030721-03","307.00","307.00"
"Hourly","PH19030721","278.00","334.00"
"Block","PB19030721-01","112.29","314.85"
"Block","PB19030722-01","107.50","312.85"
"Hourly","PH19030722","265.00","312.85"
"Block","PB19030723-01","114.55","294.49"
"Hourly","PH19030723","256.00","302.00"
"Block","PB19030800-01","112.77","293.00"
"Hourly","PH19030800","285.00","300.00"
"Block","PB19030800-03","280.60","280.60"
"Hourly","PH19030801","297.00","320.00"
"Block","PB19030801-01","118.38","310.00"
"Hourly","PH19030802","160.00","180.00"
"Block","PB19030802-01","110.71","191.09"
"Hourly","PH19030803","200.00","220.00"
"Block","PB19030803-01","113.83","200.00"
"Hourly","PH19030804","156.00","166.00"
"Block","PB19030804-01","103.26","200.15"
"Hourly","PH19030805","260.42","266.16"
"Block","PB19030805-01","103.22","260.42"
"Block","PB19030805-02","273.00","273.00"
"Hourly","PH19030806","277.75","303.00"
"Block","PB19030806-01","106.70","287.01"
"Block","PB19030807-01","113.53","309.85"
"Hourly","PH19030807","304.51","312.00"
"Block","PB19030808-01","112.03","315.00"
"Hourly","PH19030808","305.00","320.04"
"Hourly","PH19030809","305.00","333.90"
"Block","PB19030809-01","101.19","324.85"
"Block","PB19030810-01","110.01","313.09"
"Hourly","PH19030810","303.70","323.00"
"Block","PB19030811-01","100.14","313.00"
"Hourly","PH19030811","305.01","325.00"
"Hourly","PH19030812","262.01","278.00"
"Block","PB19030812-01","101.92","274.00"
"Hourly","PH19030813","194.00","215.00"
"Block","PB19030813-01","111.65","206.00"
"Block","PB19030813-11","290.00","290.00"
"Block","PB19030813-05","",""
"Block","PB19030814-01","110.19","275.00"
"Hourly","PH19030814","262.01","280.00"
"Hourly","PH19030815","262.01","277.90"
"Block","PB19030815-01","102.76","270.00"
"Block","PB19030816-01","103.78","287.50"
"Hourly","PH19030816","278.88","296.14"
"Hourly","PH19030817","285.00","320.00"
"Block","PB19030817-01","104.35","309.99"
"Hourly","PH19030818","303.27","322.03"
"Block","PB19030818-01","100.58","312.65"
"Block","PB19030819-01","101.10","320.00"
"Hourly","PH19030819","306.31","325.78"
"Hourly","PH19030820","305.38","330.00"
"Block","PB19030820-01","101.95","324.26"
"Block","PB19030820-04","315.74","315.74"
"Block","PB19030821-01","104.86","312.00"
"Block","PB19030821-03","305.00","305.00"
"Hourly","PH19030821","302.15","323.00"
"Hourly","PH19030822","300.86","329.99"
"Block","PB19030822-01","107.38","310.16"
"Block","PB19030822-02","300.32","300.32"
"Hourly","PH19030823","281.77","308.99"
"Block","PB19030823-01","101.09","291.00"
"Block","PB19030900-01","108.60","295.02"
"Block","PB19030900-02","295.00","295.00"
"Hourly","PH19030900","281.21","298.62"
"Block","PB19030901-01","107.72","295.03"
"Hourly","PH19030901","286.16","298.00"
"Hourly","PH19030902","199.01","210.00"
"Block","PB19030902-01","102.35","200.00"
"Hourly","PH19030903","260.99","273.00"
"Block","PB19030903-01","110.54","270.00"
"Block","PB19030904-01","103.54","192.82"
"Hourly","PH19030904","126.50","140.00"
"Block","PB19030905-01","107.87","198.20"
"Hourly","PH19030905","182.23","210.00"
"Hourly","PH19030906","230.01","260.00"
"Block","PB19030906-01","101.43","250.00"
"Block","PB19030907-01","109.27","277.49"
"Hourly","PH19030907","269.17","285.97"
"Block","PB19030908-01","136.12","311.04"
"Hourly","PH19030908","308.01","318.94"
"Block","PB19030909-01","102.44","310.08"
"Hourly","PH19030909","300.78","320.10"
"Block","PB19030910-01","101.55","305.01"
"Hourly","PH19030910","300.00","309.96"
"Hourly","PH19030911","290.00","310.76"
"Block","PB19030911-01","110.94","310.76"
"Block","PB19030912-01","102.62","274.02"
"Hourly","PH19030912","255.00","276.00"
"Block","PB19030913-01","100.75","250.00"
"Hourly","PH19030913","230.01","250.00"
"Block","PB19030914-01","114.66","250.00"
"Hourly","PH19030914","222.00","249.99"
"Hourly","PH19030915","131.51","161.99"
"Block","PB19030915-01","110.52","193.63"
"Block","PB19030916-01","104.91","249.99"
"Block","PB19030916-03","274.35","274.35"
"Hourly","PH19030916","151.12","249.99"
"Block","PB19030917-01","105.25","260.00"
"Hourly","PH19030917","240.10","260.00"
"Block","PB19030918-01","106.36","313.07"
"Hourly","PH19030918","293.00","313.07"
"Block","PB19030919-01","119.29","316.47"
"Hourly","PH19030919","281.10","316.30"
"Block","PB19030920-01","108.98","315.54"
"Hourly","PH19030920","260.11","315.54"
"Block","PB19030921-01","101.14","307.01"
"Hourly","PH19030921","297.80","350.00"
"Block","PB19030921-03","295.00","295.00"
"Hourly","PH19030922","291.00","307.70"
"Block","PB19030922-01","105.72","300.00"
"Block","PB19030923-01","103.47","277.49"
"Hourly","PH19030923","230.01","289.26"
"Block","PB19031000-02","308.00","308.00"
"Hourly","PH19031000","294.17","306.49"
"Block","PB19031000-01","118.77","307.00"
"Hourly","PH19031001","295.00","309.87"
"Block","PB19031001-01","114.29","310.04"
"Block","PB19031002-01","112.80","272.89"
"Hourly","PH19031002","270.00","279.99"
"Hourly","PH19031003","296.10","309.00"
"Block","PB19031003-01","102.67","310.00"
"Block","PB19031004-01","107.54","270.99"
"Hourly","PH19031004","261.88","280.00"
"Hourly","PH19031005","261.01","279.99"
"Block","PB19031005-01","107.29","278.16"
"Block","PB19031006-01","108.69","309.84"
"Hourly","PH19031006","209.00","318.01"
"Hourly","PH19031007","230.05","299.99"
"Block","PB19031007-01","101.81","240.01"
"Block","PB19031008-02","95.00","95.00"
"Block","PB19031008-01","106.89","189.10"
"Hourly","PH19031008","128.01","150.00"
"Hourly","PH19031009","62.08","80.00"
"Block","PB19031009-01","64.00","64.00"
"Block","PB19031010-01","102.95","190.73"
"Hourly","PH19031010","115.00","150.00"
"Hourly","PH19031011","181.01","200.85"
"Block","PB19031011-01","111.80","197.60"
"Block","PB19031012-01","110.08","196.88"
"Hourly","PH19031012","78.00","180.25"
"Block","PB19031013-01","101.38","194.47"
"Hourly","PH19031013","140.00","165.46"
"Hourly","PH19031014","105.00","144.66"
"Block","PB19031014-01","102.32","197.25"
"Block","PB19031014-02","151.00","151.00"
"Block","PB19031015-01","121.62","188.19"
"Hourly","PH19031015","105.00","157.39"
"Hourly","PH19031016","221.01","262.00"
"Block","PB19031016-02","271.00","271.00"
"Block","PB19031016-01","109.13","260.00"
"Block","PB19031017-01","102.75","282.47"
"Hourly","PH19031017","241.50","281.98"
"Hourly","PH19031018","214.20","322.43"
"Block","PB19031018-01","108.42","313.04"
"Block","PB19031019-01","100.19","317.75"
"Hourly","PH19031019","292.01","327.28"
"Hourly","PH19031020","300.10","326.09"
"Block","PB19031020-01","101.64","318.00"
"Hourly","PH19031021","290.00","315.43"
"Block","PB19031021-01","110.01","315.43"
"Hourly","PH19031022","293.10","323.27"
"Block","PB19031022-01","106.53","314.00"
"Block","PB19031023-01","105.68","310.40"
"Hourly","PH19031023","285.00","319.71"
"Block","PB19031100-01","118.37","300.00"
"Hourly","PH19031100","240.00","300.15"
"Block","PB19031101-01","106.60","305.00"
"Hourly","PH19031101","280.00","304.98"
"Block","PB19031102-01","102.12","196.34"
"Hourly","PH19031102","99.00","132.99"
"Block","PB19031103-01","101.30","197.35"
"Hourly","PH19031103","100.00","132.00"
"Block","PB19031104-01","103.36","190.24"
"Hourly","PH19031104","114.00","133.99"
"Block","PB19031105-01","102.39","199.69"
"Hourly","PH19031105","100.01","132.99"
"Block","PB19031106-01","131.07","190.12"
"Hourly","PH19031106","10.00","193.97"
"Block","PB19031107-01","109.30","270.11"
"Hourly","PH19031107","230.00","269.69"
"Block","PB19031108-01","102.22","313.00"
"Hourly","PH19031108","101.00","309.99"
"Block","PB19031109-01","114.47","313.00"
"Hourly","PH19031109","290.00","307.49"
"Block","PB19031110-02","311.00","311.00"
"Block","PB19031110-01","122.35","311.02"
"Hourly","PH19031110","220.00","315.00"
"Block","PB19031111-01","108.66","312.00"
"Hourly","PH19031111","211.00","324.00"
"Block","PB19031112-01","103.02","251.00"
"Hourly","PH19031112","235.01","263.00"
"Block","PB19031113-01","101.76","192.99"
"Hourly","PH19031113","152.78","177.00"
"Block","PB19031114-01","100.93","253.64"
"Hourly","PH19031114","240.00","265.40"
"Block","PB19031115-01","102.90","191.87"
"Hourly","PH19031115","157.50","177.00"
"Block","PB19031116-01","100.56","278.16"
"Hourly","PH19031116","269.80","298.00"
"Block","PB19031117-01","117.39","299.84"
"Hourly","PH19031117","290.10","308.85"
"Block","PB19031118-01","111.66","312.81"
"Hourly","PH19031118","300.00","325.00"
"Block","PB19031119-01","100.39","320.00"
"Hourly","PH19031119","313.00","329.00"
"Block","PB19031120-01","119.07","311.89"
"Hourly","PH19031120","296.00","326.00"
"Block","PB19031121-01","101.40","309.84"
"Hourly","PH19031121","308.12","324.99"
"Block","PB19031122-01","102.52","309.50"
"Hourly","PH19031122","286.00","310.00"
"Block","PB19031123-01","102.73","282.50"
"Hourly","PH19031123","260.00","287.87"
"Hourly","PH19031200","260.10","279.80"
"Block","PB19031200-01","104.82","280.02"
"Block","PB19031201-01","103.50","280.02"
"Hourly","PH19031201","265.01","282.48"
"Block","PB19031202-01","122.84","172.44"
"Hourly","PH19031202","104.00","126.59"
"Hourly","PH19031203","106.00","129.90"
"Block","PB19031203-01","105.41","195.04"
"Block","PB19031204-01","107.79","192.48"
"Hourly","PH19031204","103.00","127.00"
"Block","PB19031205-01","100.61","181.15"
"Hourly","PH19031205","106.10","129.98"
"Hourly","PH19031206","270.01","290.01"
"Block","PB19031206-01","107.95","290.01"
"Block","PB19031207-01","104.61","310.73"
"Hourly","PH19031207","291.00","310.73"
"Block","PB19031208-01","109.50","315.00"
"Hourly","PH19031208","308.50","320.00"
"Hourly","PH19031209","308.02","317.93"
"Block","PB19031209-01","104.45","312.10"
"Hourly","PH19031210","306.02","325.00"
"Block","PB19031210-01","105.31","326.00"
"Block","PB19031211-01","103.31","316.49"
"Hourly","PH19031211","301.37","321.00"
"Block","PB19031212-01","130.53","250.01"
"Hourly","PH19031212","244.00","257.50"
"Block","PB19031213-01","104.90","220.04"
"Hourly","PH19031213","213.64","225.00"
"Block","PB19031214-01","100.42","288.66"
"Hourly","PH19031214","271.87","296.00"
"Block","PB19031215-01","101.76","259.99"
"Hourly","PH19031215","247.00","269.00"
"Block","PB19031216-01","103.96","275.99"
"Block","PB19031216-02","251.41","251.41"
"Hourly","PH19031216","260.00","275.99"
"Hourly","PH19031217","219.00","232.00"
"Block","PB19031217-01","103.86","226.82"
"Block","PB19031218-01","101.65","300.00"
"Hourly","PH19031218","278.81","300.00"
"Block","PB19031219-01","110.69","313.69"
"Hourly","PH19031219","290.01","320.00"
"Block","PB19031219-05","308.00","308.00"
"Hourly","PH19031220","295.00","313.58"
"Block","PB19031220-01","103.10","313.58"
"Hourly","PH19031221","290.00","313.00"
"Block","PB19031221-01","102.96","312.47"
"Hourly","PH19031222","285.00","309.88"
"Block","PB19031222-01","101.60","311.66"
"Hourly","PH19031223","251.00","287.00"
"Block","PB19031223-01","100.87","287.46"
"Block","PB19031300-01","104.30","270.00"
"Hourly","PH19031300","250.01","270.10"
"Block","PB19031300-08","205.27","205.27"
"Block","PB19031301-01","107.80","280.05"
"Hourly","PH19031301","260.70","282.01"
"Hourly","PH19031302","129.80","155.00"
"Block","PB19031302-01","113.42","189.26"
"Hourly","PH19031303","112.69","129.00"
"Block","PB19031303-01","108.89","200.31"
"Hourly","PH19031304","106.01","139.00"
"Block","PB19031304-01","100.45","191.36"
"Block","PB19031305-01","100.62","199.82"
"Hourly","PH19031305","120.00","136.00"
"Block","PB19031306-01","112.95","269.00"
"Hourly","PH19031306","248.00","270.00"
"Block","PB19031307-01","114.75","296.00"
"Hourly","PH19031307","250.00","296.00"
"Hourly","PH19031308","293.00","320.00"
"Block","PB19031308-01","103.81","313.26"
"Block","PB19031309-01","104.40","313.48"
"Hourly","PH19031309","293.00","315.00"
"Block","PB19031310-01","103.42","312.38"
"Hourly","PH19031310","252.00","316.16"
"Hourly","PH19031311","280.00","312.63"
"Block","PB19031311-01","121.90","312.63"
"Hourly","PH19031312","240.00","275.00"
"Block","PB19031312-01","102.82","270.00"
"Block","PB19031313-01","106.39","264.06"
"Hourly","PH19031313","244.00","270.10"
"Hourly","PH19031314","299.73","315.00"
"Block","PB19031314-01","107.35","312.00"
"Block","PB19031315-01","103.14","265.99"
"Block","PB19031315-02","272.00","272.00"
"Hourly","PH19031315","257.01","270.99"
"Block","PB19031316-01","100.59","268.50"
"Hourly","PH19031316","263.00","272.00"
"Hourly","PH19031317","227.00","259.00"
"Block","PB19031317-01","106.20","252.00"
"Hourly","PH19031318","255.00","288.00"
"Block","PB19031318-01","100.90","282.99"
"Block","PB19031319-01","101.28","314.00"
"Hourly","PH19031319","285.20","315.50"
"Block","PB19031320-01","103.66","312.19"
"Hourly","PH19031320","290.00","316.98"
"Block","PB19031321-01","104.22","310.00"
"Hourly","PH19031321","210.00","315.00"
"Block","PB19031322-01","115.24","300.39"
"Hourly","PH19031322","275.00","305.00"
"Block","PB19031323-01","115.28","266.39"
"Hourly","PH19031323","254.77","272.00"
"Block","PB19031400-01","106.80","194.43"
"Hourly","PH19031400","125.00","136.99"
"Block","PB19031400-05","167.85","167.85"
"Block","PB19031401-01","103.64","266.02"
"Hourly","PH19031401","258.04","279.98"
"Hourly","PH19031402","150.01","165.10"
"Block","PB19031402-01","101.71","198.08"
"Hourly","PH19031403","125.00","139.15"
"Block","PB19031403-01","105.41","192.40"
"Block","PB19031404-01","103.25","198.38"
"Hourly","PH19031404","165.00","187.26"
"Block","PB19031405-01","106.11","310.00"
"Hourly","PH19031405","296.53","310.00"
"Block","PB19031406-01","106.05","300.00"
"Hourly","PH19031406","285.00","299.98"
"Hourly","PH19031407","270.00","281.86"
"Block","PB19031407-01","107.92","282.90"
"Hourly","PH19031408","303.27","322.08"
"Block","PB19031408-01","118.88","312.65"
"Hourly","PH19031409","304.31","332.90"
"Block","PB19031409-01","105.62","315.00"
"Hourly","PH19031410","295.00","325.00"
"Block","PB19031410-01","101.30","312.70"
"Block","PB19031411-01","100.18","314.19"
"Hourly","PH19031411","308.00","330.00"
"Hourly","PH19031412","282.05","319.99"
"Block","PB19031412-02","302.41","302.42"
"Block","PB19031412-06","308.00","308.00"
"Block","PB19031412-01","104.08","308.83"
"Hourly","PH19031413","295.85","324.00"
"Block","PB19031413-01","106.23","315.91"
"Block","PB19031414-01","106.55","316.00"
"Hourly","PH19031414","304.11","329.50"
"Block","PB19031415-01","100.14","316.00"
"Hourly","PH19031415","304.13","325.00"
"Block","PB19031416-01","101.90","320.04"
"Hourly","PH19031416","311.01","325.00"
"Block","PB19031417-01","101.97","324.99"
"Hourly","PH19031417","304.05","325.00"
"Block","PB19031418-01","104.77","324.30"
"Hourly","PH19031418","304.66","329.00"
"Hourly","PH19031419","316.94","327.00"
"Block","PB19031419-01","102.92","324.08"
"Block","PB19031419-05","311.00","311.00"
"Hourly","PH19031420","306.27","325.21"
"Block","PB19031420-01","110.77","323.99"
"Hourly","PH19031421","305.13","322.00"
"Block","PB19031421-01","123.95","314.12"
"Hourly","PH19031422","300.00","318.00"
"Block","PB19031422-01","104.42","310.04"
"Block","PB19031423-01","107.01","299.49"
"Hourly","PH19031423","285.00","299.49"
"Block","PB19031500-01","110.48","299.48"
"Hourly","PH19031500","102.00","301.40"
"Block","PB19031500-03","288.00","288.00"
"Block","PB19031501-01","100.36","305.95"
"Hourly","PH19031501","299.00","308.47"
"Hourly","PH19031502","240.00","264.16"
"Block","PB19031502-01","101.07","264.00"
"Hourly","PH19031503","122.00","143.00"
"Block","PB19031503-02","128.00","128.00"
"Block","PB19031503-01","118.16","196.61"
"Hourly","PH19031504","100.00","127.01"
"Block","PB19031504-01","104.61","195.44"
"Hourly","PH19031508","313.27","317.97"
"Block","PB19031508-01","109.31","314.83"
"Block","PB19031509-01","103.53","386.00"
"Hourly","PH19031509","308.00","318.82"
"Hourly","PH19031510","308.00","322.99"
"Block","PB19031510-01","103.04","323.99"
"Hourly","PH19031511","310.11","323.00"
"Block","PB19031511-01","110.18","318.89"
"Block","PB19031512-01","101.65","309.84"
"Hourly","PH19031512","305.00","325.05"
"Block","PB19031513-01","92.42","209.52"
"Hourly","PH19031513","199.09","218.01"
"Block","PB19031514-01","71.41","318.00"
"Hourly","PH19031514","300.11","335.00"
"Block","PB19031515-01","92.75","315.63"
"Block","PB19031515-09","305.00","305.00"
"Hourly","PH19031515","303.21","335.00"
"Block","PB19031516-01","86.02","318.33"
"Hourly","PH19031516","302.00","325.00"
"Hourly","PH19031517","303.30","340.00"
"Block","PB19031517-01","74.73","318.85"
"Hourly","PH19031518","305.20","338.00"
"Block","PB19031518-01","86.77","312.99"
"Block","PB19031519-01","93.67","321.00"
"Hourly","PH19031519","306.11","338.00"
"Block","PB19031520-01","72.61","320.97"
"Hourly","PH19031520","307.20","337.00"
"Block","PB19031521-01","82.49","319.88"
"Hourly","PH19031521","302.12","334.00"
"Block","PB19031522-01","92.77","300.06"
"Hourly","PH19031522","280.10","320.00"
"Hourly","PH19031523","262.11","293.00"
"Block","PB19031523-01","71.73","278.04"
"Hourly","PH19031600","280.00","294.00"
"Block","PB19031600-02","295.00","295.00"
"Block","PB19031600-01","77.69","295.00"
"Block","PB19031601-01","75.02","295.01"
"Hourly","PH19031601","280.00","295.00"
"Block","PB19031602-03","126.50","126.50"
"Hourly","PH19031602","106.50","127.00"
"Block","PB19031602-22","246.68","246.68"
"Block","PB19031602-01","95.06","181.90"
"Hourly","PH19031603","120.00","126.50"
"Block","PB19031603-01","89.00","196.79"
"Block","PB19031604-01","80.73","187.26"
"Hourly","PH19031604","111.00","126.50"
"Block","PB19031605-01","80.80","188.28"
"Hourly","PH19031605","140.01","156.98"
"Block","PB19031606-01","88.97","209.05"
"Hourly","PH19031606","205.00","210.06"
"Block","PB19031607-01","87.32","187.52"
"Hourly","PH19031607","2.00","158.00"
"Block","PB19031608-01","83.67","313.99"
"Hourly","PH19031608","311.00","320.00"
"Block","PB19031609-01","70.08","310.71"
"Block","PB19031609-06","299.04","299.04"
"Hourly","PH19031609","200.01","310.00"
"Block","PB19031610-01","71.43","312.15"
"Hourly","PH19031610","212.00","310.30"
"Hourly","PH19031611","219.01","309.99"
"Block","PB19031611-01","86.98","313.35"
"Block","PB19031612-01","81.84","308.01"
"Block","PB19031612-05","",""
"Hourly","PH19031612","208.05","307.00"
"Hourly","PH19031613","275.05","289.80"
"Block","PB19031613-01","80.78","289.99"
"Block","PB19031614-01","103.82","265.00"
"Hourly","PH19031614","250.00","267.85"
"Block","PB19031615-01","73.38","194.31"
"Hourly","PH19031615","152.28","170.00"
"Hourly","PH19031616","110.00","211.50"
"Block","PB19031616-08","282.87","282.87"
