"Contract Type","Contract Name","Trade Value (TL)"
"Block","PB19040902-01","45,409.85"
"Hourly","PH19040903","13,808.81"
"Block","PB19040903-01","38,755.66"
"Block","PB19040904-01","35,749.65"
"Hourly","PH19040904","18,479.32"
"Block","PB19040905-01","39,844.48"
"Hourly","PH19040905","21,948.40"
"Block","PB19040906-01","47,334.61"
"Hourly","PH19040906","26,420.81"
"Block","PB19040907-01","35,011.41"
"Hourly","PH19040907","44,685.47"
"Block","PB19040907-03","7,210.50"
"Block","PB19040908-01","69,875.73"
"Hourly","PH19040908","91,751.52"
"Hourly","PH19040909","127,138.24"
"Block","PB19040909-01","65,151.97"
"Hourly","PH19040910","164,582.79"
"Block","PB19040910-01","62,440.20"
"Block","PB19040911-01","64,889.27"
"Hourly","PH19040911","210,709.63"
"Hourly","PH19040912","134,956.22"
"Block","PB19040912-02","5,600.00"
"Block","PB19040912-01","49,176.80"
"Block","PB19040912-05","75,912.20"
"Block","PB19040913-01","36,424.01"
"Hourly","PH19040913","133,069.80"
"Block","PB19040914-02","2,535.00"
"Block","PB19040914-03","15,889.65"
"Block","PB19040914-01","39,104.71"
"Hourly","PH19040914","149,911.87"
"Block","PB19040915-01","36,498.90"
"Hourly","PH19040915","168,116.75"
"Block","PB19040916-01","63,038.80"
"Block","PB19040916-02","1,512.00"
"Hourly","PH19040916","227,842.67"
"Hourly","PH19040917","198,284.12"
"Block","PB19040917-01","67,688.63"
"Block","PB19040918-01","83,470.61"
"Hourly","PH19040918","239,395.28"
"Block","PB19040919-01","93,599.19"
"Block","PB19040919-03","4,050.00"
"Hourly","PH19040919","285,707.37"
"Block","PB19040920-01","89,338.40"
"Hourly","PH19040920","207,866.40"
"Block","PB19040921-01","95,119.89"
"Hourly","PH19040921","234,161.58"
"Block","PB19040922-01","184,630.87"
"Hourly","PH19040922","246,404.91"
"Hourly","PH19040923","169,576.02"
"Block","PB19040923-01","60,384.91"
"Block","PB19041000-24","3,615.94"
"Block","PB19041000-01","2,828.00"
"Hourly","PH19041000","2,212.62"
"Block","PB19041001-01","6,826.99"
"Hourly","PH19041001","9,052.53"
"Block","PB19041002-01","25,292.78"
"Hourly","PH19041002","18,077.89"
"Block","PB19041003-01","8,606.77"
"Hourly","PH19041003","6,295.99"
"Block","PB19041004-01","15,475.00"
"Hourly","PH19041004","10,091.46"
"Block","PB19041005-01","36,976.51"
"Block","PB19041005-06","0.00"
"Hourly","PH19041005","13,397.62"
"Block","PB19041005-02","680.00"
"Block","PB19041006-01","58,276.00"
"Hourly","PH19041006","18,232.68"
"Block","PB19041007-01","44,706.58"
"Hourly","PH19041007","25,224.16"
"Block","PB19041008-01","60,225.40"
"Hourly","PH19041008","54,784.06"
"Block","PB19041009-01","71,860.60"
"Hourly","PH19041009","49,344.72"
"Block","PB19041010-01","66,423.63"
"Hourly","PH19041010","84,654.98"
"Block","PB19041011-01","67,896.71"
"Block","PB19041011-06","3,547.62"
"Hourly","PH19041011","173,890.86"
"Block","PB19041012-04","326.00"
"Block","PB19041012-01","34,598.32"
"Hourly","PH19041012","91,903.07"
"Block","PB19041013-01","42,063.84"
"Hourly","PH19041013","107,296.29"
"Block","PB19041014-01","49,411.44"
"Hourly","PH19041014","90,727.61"
"Block","PB19041015-01","42,327.84"
"Hourly","PH19041015","88,137.62"
"Block","PB19041016-02","258.00"
"Block","PB19041016-01","59,908.02"
"Hourly","PH19041016","176,154.09"
"Block","PB19041017-01","67,626.00"
"Block","PB19041017-02","5,674.24"
"Hourly","PH19041017","249,182.54"
"Block","PB19041018-01","48,933.31"
"Hourly","PH19041018","248,227.53"
"Block","PB19041019-01","29,759.01"
"Block","PB19041019-05","12,190.00"
"Hourly","PH19041019","282,453.52"
"Block","PB19041020-01","38,400.97"
"Hourly","PH19041020","289,752.98"
"Block","PB19041021-01","74,009.59"
"Hourly","PH19041021","187,346.81"
"Block","PB19041022-01","60,899.05"
"Hourly","PH19041022","136,897.12"
"Block","PB19041023-01","43,072.93"
"Hourly","PH19041023","114,802.86"
"Block","PB19041100-01","6,522.04"
"Block","PB19041100-24","91,423.49"
"Hourly","PH19041100","13,592.92"
"Block","PB19041101-01","31,515.42"
"Hourly","PH19041101","32,858.07"
"Hourly","PH19041102","34,298.94"
"Block","PB19041102-01","27,262.06"
"Block","PB19041103-01","6,934.63"
"Hourly","PH19041103","11,884.43"
"Block","PB19041104-01","5,450.67"
"Hourly","PH19041104","10,045.15"
"Hourly","PH19041105","20,805.11"
"Block","PB19041105-01","15,010.75"
"Hourly","PH19041106","15,004.86"
"Block","PB19041106-01","14,606.84"
"Block","PB19041107-01","22,616.38"
"Hourly","PH19041107","40,820.27"
"Block","PB19041108-01","64,107.87"
"Hourly","PH19041108","46,435.62"
"Hourly","PH19041109","45,904.30"
"Block","PB19041109-01","51,793.18"
"Hourly","PH19041110","40,599.78"
"Block","PB19041110-06","14,857.20"
"Block","PB19041110-01","44,505.06"
"Block","PB19041111-03","3,099.90"
"Block","PB19041111-07","395,488.80"
"Block","PB19041111-01","61,457.06"
"Hourly","PH19041111","53,527.06"
"Block","PB19041112-01","17,706.80"
"Hourly","PH19041112","39,135.26"
"Block","PB19041113-03","2,039.40"
"Block","PB19041113-05","16,800.00"
"Hourly","PH19041113","53,969.96"
"Block","PB19041113-01","28,207.13"
"Block","PB19041114-03","1,019.70"
"Block","PB19041114-10","0.00"
"Block","PB19041114-01","35,225.20"
"Hourly","PH19041114","53,241.95"
"Hourly","PH19041115","58,553.99"
"Block","PB19041115-01","31,988.21"
"Block","PB19041116-01","29,842.71"
"Hourly","PH19041116","65,631.16"
"Block","PB19041116-02","1,320.00"
"Hourly","PH19041117","104,778.73"
"Block","PB19041117-01","37,314.67"
"Block","PB19041118-01","41,859.45"
"Hourly","PH19041118","161,704.56"
"Block","PB19041119-01","61,144.70"
"Hourly","PH19041119","282,086.28"
"Hourly","PH19041120","317,021.64"
"Block","PB19041120-01","92,058.25"
"Hourly","PH19041121","232,930.45"
"Block","PB19041121-01","74,341.89"
"Block","PB19041122-01","46,543.85"
"Block","PB19041122-02","8,400.00"
"Hourly","PH19041122","177,913.00"
"Hourly","PH19041123","104,186.12"
"Block","PB19041123-01","36,908.13"
"Hourly","PH19041200","14,994.49"
"Block","PB19041200-24","3,720.96"
"Block","PB19041200-01","14,803.43"
"Block","PB19041201-01","33,006.58"
"Hourly","PH19041201","34,483.09"
"Block","PB19041202-01","34,726.47"
"Hourly","PH19041202","35,197.77"
"Block","PB19041203-01","22,481.86"
"Hourly","PH19041203","12,543.08"
"Block","PB19041204-01","20,240.63"
"Hourly","PH19041204","12,670.48"
"Block","PB19041205-01","30,239.54"
"Hourly","PH19041205","25,459.75"
"Hourly","PH19041206","41,043.84"
"Block","PB19041206-01","52,830.57"
"Block","PB19041207-01","64,695.94"
"Hourly","PH19041207","53,087.36"
"Block","PB19041208-01","64,567.56"
"Hourly","PH19041208","50,896.66"
"Block","PB19041209-01","43,215.10"
"Hourly","PH19041209","99,245.75"
"Hourly","PH19041210","107,995.65"
"Block","PB19041210-03","900.00"
"Block","PB19041210-01","36,810.24"
"Block","PB19041211-01","46,871.08"
"Block","PB19041211-02","33,600.00"
"Hourly","PH19041211","161,950.95"
"Block","PB19041212-01","26,778.43"
"Hourly","PH19041212","59,481.27"
"Block","PB19041213-01","1,867.66"
"Hourly","PH19041213","6,669.08"
"Block","PB19041214-01","37,377.09"
"Block","PB19041214-02","19,965.00"
"Hourly","PH19041214","106,640.40"
"Block","PB19041215-01","49,625.28"
"Hourly","PH19041215","90,149.21"
"Hourly","PH19041216","69,238.66"
"Block","PB19041216-01","53,556.14"
"Block","PB19041217-01","74,774.25"
"Hourly","PH19041217","218,612.70"
"Block","PB19041218-01","56,631.57"
"Hourly","PH19041218","186,005.03"
"Block","PB19041219-01","74,338.30"
"Hourly","PH19041219","287,968.49"
"Block","PB19041220-01","78,203.60"
"Hourly","PH19041220","332,785.31"
"Hourly","PH19041221","301,191.69"
"Block","PB19041221-01","87,430.17"
"Hourly","PH19041222","389,507.84"
"Block","PB19041222-01","80,640.21"
"Block","PB19041223-01","79,998.98"
"Hourly","PH19041223","223,956.62"
"Hourly","PH19041300","6,594.12"
"Block","PB19041300-01","23,358.75"
"Block","PB19041300-24","2,624.45"
"Hourly","PH19041301","22,013.72"
"Block","PB19041301-01","35,395.93"
"Block","PB19041302-01","31,080.11"
"Hourly","PH19041302","30,696.52"
"Block","PB19041303-01","19,571.27"
"Hourly","PH19041303","9,201.93"
"Block","PB19041304-01","24,313.79"
"Hourly","PH19041304","19,820.22"
"Hourly","PH19041305","22,647.85"
"Block","PB19041305-01","26,723.47"
"Block","PB19041306-01","24,181.58"
"Hourly","PH19041306","24,368.61"
"Block","PB19041307-01","8,621.01"
"Hourly","PH19041307","5,276.61"
"Hourly","PH19041308","47,266.17"
"Block","PB19041308-01","37,205.64"
"Block","PB19041309-01","22,587.63"
"Hourly","PH19041309","29,008.47"
"Block","PB19041310-02","495.00"
"Block","PB19041310-01","27,490.82"
"Hourly","PH19041310","33,753.06"
"Block","PB19041311-01","31,256.69"
"Hourly","PH19041311","42,743.19"
"Hourly","PH19041312","5,188.47"
"Block","PB19041312-01","5,974.93"
"Block","PB19041312-06","3,294.00"
"Hourly","PH19041313","4,373.91"
"Block","PB19041313-01","1,476.95"
"Block","PB19041313-04","480.00"
"Block","PB19041314-01","1,479.50"
"Hourly","PH19041314","5,752.64"
"Block","PB19041315-01","285.25"
"Hourly","PH19041315","3,785.67"
"Hourly","PH19041316","5,810.73"
"Block","PB19041316-01","1,546.00"
"Hourly","PH19041317","9,009.06"
"Block","PB19041317-01","7,531.40"
"Block","PB19041318-01","57,550.49"
"Block","PB19041318-02","705.00"
"Hourly","PH19041318","90,136.31"
"Block","PB19041319-01","89,401.08"
"Hourly","PH19041319","145,561.13"
"Hourly","PH19041320","122,885.49"
"Block","PB19041320-01","82,838.83"
"Hourly","PH19041321","112,535.14"
"Block","PB19041321-01","57,688.07"
"Hourly","PH19041322","86,441.25"
"Block","PB19041322-01","61,712.82"
"Block","PB19041323-01","30,697.67"
"Hourly","PH19041323","38,254.48"
"Hourly","PH19041400","4,657.44"
"Block","PB19041400-24","752.88"
"Block","PB19041400-01","11,221.35"
"Block","PB19041400-08","123.70"
"Hourly","PH19041401","13,578.51"
"Block","PB19041401-01","31,299.71"
"Block","PB19041402-01","24,325.90"
"Hourly","PH19041402","12,298.86"
"Hourly","PH19041403","912.19"
"Block","PB19041403-01","2,369.00"
"Block","PB19041404-01","2,316.00"
"Hourly","PH19041404","1,077.77"
"Block","PB19041405-01","3,327.03"
"Hourly","PH19041405","1,937.95"
"Hourly","PH19041406","579.35"
"Block","PB19041406-01","798.39"
"Block","PB19041406-05","200.00"
"Hourly","PH19041407","259.04"
"Block","PB19041407-01","236.00"
"Hourly","PH19041408","85.79"
"Block","PB19041408-11","191.81"
"Block","PB19041408-01","135.71"
"Block","PB19041409-01","32.93"
"Hourly","PH19041409","69.49"
"Hourly","PH19041410","38.34"
"Block","PB19041410-01","32.32"
"Hourly","PH19041411","131.30"
"Block","PB19041411-07","0.00"
"Block","PB19041411-01","209.65"
"Block","PB19041412-01","122.83"
"Hourly","PH19041412","330.19"
"Hourly","PH19041413","1,434.80"
"Block","PB19041413-05","2.50"
"Block","PB19041413-01","33.45"
"Hourly","PH19041414","1,256.37"
"Block","PB19041414-01","2.40"
"Hourly","PH19041415","935.70"
"Block","PB19041415-01","3.05"
"Block","PB19041416-01","2.99"
"Hourly","PH19041416","1,842.87"
"Hourly","PH19041417","4,000.54"
"Block","PB19041417-01","246.48"
"Hourly","PH19041418","10,038.85"
"Block","PB19041418-01","10,596.50"
"Block","PB19041419-01","55,147.56"
"Hourly","PH19041419","122,309.99"
"Hourly","PH19041420","144,461.47"
"Block","PB19041420-01","58,906.23"
"Hourly","PH19041421","135,208.91"
"Block","PB19041421-01","54,279.80"
"Hourly","PH19041422","109,899.38"
"Block","PB19041422-01","40,238.52"
"Block","PB19041423-01","4,261.99"
"Hourly","PH19041423","11,626.70"
"Block","PB19041500-01","30,206.00"
"Block","PB19041500-24","2,706.48"
"Hourly","PH19041500","14,005.24"
"Block","PB19041501-01","29,166.04"
"Hourly","PH19041501","28,885.00"
"Block","PB19041502-01","34,743.96"
"Hourly","PH19041502","15,867.17"
"Hourly","PH19041503","20,244.35"
"Block","PB19041503-01","26,181.79"
"Block","PB19041504-01","18,239.73"
"Hourly","PH19041504","12,524.55"
"Hourly","PH19041505","14,864.63"
"Block","PB19041505-06","105,000.00"
"Block","PB19041505-01","29,931.69"
"Block","PB19041506-01","32,328.57"
"Hourly","PH19041506","18,650.58"
"Block","PB19041507-01","40,944.21"
"Hourly","PH19041507","21,649.51"
"Block","PB19041508-01","48,164.58"
"Hourly","PH19041508","27,026.64"
"Hourly","PH19041509","29,281.62"
"Block","PB19041509-01","43,825.87"
"Block","PB19041510-01","48,250.29"
"Hourly","PH19041510","85,692.43"
"Block","PB19041511-01","57,455.87"
"Hourly","PH19041511","93,143.79"
"Hourly","PH19041512","54,628.06"
"Block","PB19041512-01","79,356.07"
"Block","PB19041513-01","68,301.50"
"Hourly","PH19041513","60,563.04"
"Block","PB19041514-01","71,413.00"
"Hourly","PH19041514","113,217.78"
"Hourly","PH19041515","60,907.93"
"Block","PB19041515-01","30,213.57"
"Hourly","PH19041516","88,842.60"
"Block","PB19041516-01","38,410.93"
"Block","PB19041517-01","70,445.96"
"Hourly","PH19041517","123,631.86"
"Hourly","PH19041518","76,513.56"
"Block","PB19041518-01","49,215.81"
"Block","PB19041519-01","82,087.45"
"Hourly","PH19041519","126,534.30"
"Block","PB19041520-01","96,877.62"
"Hourly","PH19041520","113,345.26"
"Block","PB19041521-01","82,189.02"
"Hourly","PH19041521","80,606.07"
"Hourly","PH19041522","78,453.11"
"Block","PB19041522-01","78,549.85"
"Block","PB19041523-01","59,037.41"
"Hourly","PH19041523","39,787.37"
"Block","PB19041600-24","3,537.22"
"Block","PB19041600-01","6,807.81"
"Hourly","PH19041600","1,479.89"
"Block","PB19041601-01","12,585.99"
"Hourly","PH19041601","3,429.47"
"Block","PB19041602-01","34,595.52"
"Hourly","PH19041602","31,216.34"
"Block","PB19041603-01","11,595.92"
"Hourly","PH19041603","2,266.51"
"Block","PB19041604-01","6,447.29"
"Hourly","PH19041604","1,085.38"
"Block","PB19041605-01","11,743.28"
"Hourly","PH19041605","2,654.37"
"Block","PB19041606-01","23,209.68"
"Hourly","PH19041606","5,967.46"
"Block","PB19041607-01","27,495.46"
"Hourly","PH19041607","17,555.91"
"Block","PB19041608-01","48,502.72"
"Hourly","PH19041608","83,763.38"
"Block","PB19041609-01","39,560.51"
"Hourly","PH19041609","40,630.24"
"Block","PB19041610-01","45,914.76"
"Hourly","PH19041610","116,041.17"
"Block","PB19041611-05","142,188.00"
"Block","PB19041611-01","48,364.07"
"Hourly","PH19041611","153,291.24"
"Block","PB19041612-01","33,087.95"
"Block","PB19041612-04","0.00"
"Hourly","PH19041612","114,144.05"
"Block","PB19041613-01","42,520.87"
"Hourly","PH19041613","117,968.25"
"Block","PB19041614-01","50,931.78"
"Hourly","PH19041614","199,088.15"
"Block","PB19041615-01","45,376.56"
"Hourly","PH19041615","90,513.99"
"Block","PB19041616-01","39,288.38"
"Block","PB19041616-08","0.00"
"Hourly","PH19041616","63,419.52"
"Block","PB19041617-01","45,206.99"
"Hourly","PH19041617","87,370.65"
"Block","PB19041618-01","46,695.74"
"Hourly","PH19041618","79,374.13"
"Block","PB19041619-01","60,333.34"
"Hourly","PH19041619","105,483.67"
"Block","PB19041620-01","58,435.56"
"Hourly","PH19041620","77,840.42"
"Block","PB19041621-01","60,105.48"
"Hourly","PH19041621","48,561.75"
"Block","PB19041622-01","46,108.98"
"Hourly","PH19041622","80,480.26"
"Block","PB19041623-01","44,442.33"
"Hourly","PH19041623","95,445.84"
"Block","PB19041700-01","2,229.93"
"Hourly","PH19041700","648.71"
"Block","PB19041701-02","480.00"
"Hourly","PH19041701","1,834.84"
"Block","PB19041701-01","3,166.00"
"Block","PB19041701-23","3,411.91"
"Hourly","PH19041702","2,429.68"
"Block","PB19041702-01","7,548.88"
"Block","PB19041703-02","238.56"
"Hourly","PH19041703","876.38"
"Block","PB19041703-01","1,387.66"
"Block","PB19041704-01","1,852.56"
"Hourly","PH19041704","894.94"
"Block","PB19041705-01","4,114.94"
"Hourly","PH19041705","1,707.36"
"Hourly","PH19041706","3,852.44"
"Block","PB19041706-01","7,050.74"
"Hourly","PH19041707","28,077.33"
"Block","PB19041707-01","30,509.54"
"Hourly","PH19041708","37,588.45"
"Block","PB19041708-01","35,052.51"
"Hourly","PH19041709","38,357.11"
"Block","PB19041709-01","36,832.79"
"Block","PB19041710-01","40,001.31"
"Hourly","PH19041710","67,497.38"
"Hourly","PH19041711","94,032.38"
"Block","PB19041711-01","33,906.23"
"Block","PB19041712-01","23,374.50"
"Hourly","PH19041712","75,484.30"
"Block","PB19041713-01","29,934.26"
"Hourly","PH19041713","97,344.18"
"Block","PB19041714-01","38,774.13"
"Hourly","PH19041714","189,475.33"
"Block","PB19041715-03","1,560.00"
"Hourly","PH19041715","235,806.04"
"Block","PB19041715-09","7,030.53"
"Block","PB19041715-01","49,134.97"
"Block","PB19041716-01","67,166.83"
"Hourly","PH19041716","198,241.42"
"Block","PB19041717-01","73,644.43"
"Hourly","PH19041717","196,343.94"
"Hourly","PH19041718","171,226.96"
"Block","PB19041718-01","74,570.26"
"Block","PB19041719-01","81,272.23"
"Hourly","PH19041719","163,577.83"
"Block","PB19041719-05","657.50"
"Block","PB19041720-01","167,553.34"
"Hourly","PH19041720","152,058.58"
"Hourly","PH19041721","121,918.29"
"Block","PB19041721-03","2,121.21"
"Block","PB19041721-01","76,604.83"
"Hourly","PH19041722","125,307.44"
"Block","PB19041722-01","57,481.60"
"Block","PB19041723-01","43,117.38"
"Hourly","PH19041723","74,268.76"
"Block","PB19041800-07","1,023.12"
"Block","PB19041800-01","1,999.95"
"Hourly","PH19041800","1,966.50"
"Block","PB19041800-24","2,802.05"
"Block","PB19041801-01","4,353.18"
"Hourly","PH19041801","5,284.63"
"Block","PB19041802-01","10,960.95"
"Hourly","PH19041802","11,252.82"
"Block","PB19041803-01","1,324.12"
"Hourly","PH19041803","1,105.66"
"Hourly","PH19041804","733.76"
"Block","PB19041804-01","1,295.50"
"Block","PB19041805-01","3,675.09"
"Hourly","PH19041805","2,173.74"
"Hourly","PH19041806","8,840.56"
"Block","PB19041806-01","10,122.48"
"Block","PB19041807-01","29,754.47"
"Hourly","PH19041807","31,693.84"
"Block","PB19041808-01","40,338.16"
"Hourly","PH19041808","82,778.00"
"Hourly","PH19041809","70,513.94"
"Block","PB19041809-01","30,519.00"
"Hourly","PH19041810","102,715.31"
"Block","PB19041810-01","39,722.76"
"Hourly","PH19041811","112,347.25"
"Block","PB19041811-02","8,509.20"
"Block","PB19041811-03","9,575.52"
"Block","PB19041811-01","43,322.80"
"Block","PB19041812-01","37,146.85"
"Block","PB19041812-02","0.00"
"Hourly","PH19041812","66,515.25"
"Hourly","PH19041813","68,033.77"
"Block","PB19041813-01","45,252.25"
"Hourly","PH19041814","176,476.39"
"Block","PB19041814-01","51,728.91"
"Hourly","PH19041815","107,587.84"
"Block","PB19041815-01","46,076.94"
"Hourly","PH19041816","80,394.67"
"Block","PB19041816-01","49,053.03"
"Block","PB19041817-01","56,962.03"
"Hourly","PH19041817","88,357.36"
"Block","PB19041818-01","35,363.45"
"Hourly","PH19041818","61,735.72"
"Block","PB19041819-01","49,487.97"
"Hourly","PH19041819","68,358.06"
"Hourly","PH19041820","145,020.12"
"Block","PB19041820-01","55,964.27"
"Block","PB19041821-01","36,611.01"
"Hourly","PH19041821","69,312.91"
"Block","PB19041822-01","38,707.15"
"Hourly","PH19041822","52,206.65"
"Block","PB19041823-01","1,681.59"
"Hourly","PH19041823","5,367.76"
"Block","PB19041900-01","1,325.29"
"Block","PB19041900-24","2,397.12"
"Hourly","PH19041900","474.78"
"Block","PB19041901-01","1,370.60"
"Hourly","PH19041901","583.95"
"Hourly","PH19041902","614.53"
"Block","PB19041902-01","1,393.33"
"Block","PB19041903-01","349.79"
"Hourly","PH19041903","508.19"
"Hourly","PH19041904","521.83"
"Block","PB19041904-01","353.50"
"Block","PB19041905-01","365.58"
"Hourly","PH19041905","478.55"
"Block","PB19041906-01","848.00"
"Hourly","PH19041906","415.13"
"Hourly","PH19041907","4,341.83"
"Block","PB19041907-01","11,147.73"
"Block","PB19041908-01","37,165.03"
"Hourly","PH19041908","76,665.42"
"Hourly","PH19041909","89,430.99"
"Block","PB19041909-01","44,266.61"
"Hourly","PH19041910","119,378.36"
"Block","PB19041910-01","40,042.43"
"Hourly","PH19041911","126,165.78"
"Block","PB19041911-01","41,460.49"
"Hourly","PH19041912","14,765.23"
"Block","PB19041912-01","7,095.49"
"Hourly","PH19041913","6,270.90"
"Block","PB19041913-01","601.91"
"Hourly","PH19041914","64,009.51"
"Block","PB19041914-01","41,779.44"
"Block","PB19041915-01","39,076.16"
"Hourly","PH19041915","46,679.00"
"Hourly","PH19041916","54,344.22"
"Block","PB19041916-01","31,088.15"
"Block","PB19041917-01","59,436.05"
"Block","PB19041917-07","2,362.50"
"Hourly","PH19041917","165,118.83"
"Block","PB19041918-01","48,826.68"
"Hourly","PH19041918","213,758.94"
"Block","PB19041919-01","49,035.17"
"Hourly","PH19041919","243,631.83"
"Block","PB19041920-01","48,312.12"
"Hourly","PH19041920","222,911.31"
"Block","PB19041921-01","41,554.09"
"Hourly","PH19041921","140,987.07"
"Hourly","PH19041922","105,329.93"
"Block","PB19041922-02","3,929.80"
"Block","PB19041922-01","56,124.59"
"Block","PB19041923-01","54,591.07"
"Hourly","PH19041923","153,867.44"
"Block","PB19042000-01","43,336.14"
"Block","PB19042000-24","2,731.58"
"Hourly","PH19042000","60,763.56"
"Hourly","PH19042001","103,197.22"
"Block","PB19042001-01","60,176.20"
"Block","PB19042002-01","60,320.60"
"Hourly","PH19042002","87,511.72"
"Block","PB19042003-01","52,019.81"
"Hourly","PH19042003","66,166.57"
"Hourly","PH19042004","22,501.33"
"Block","PB19042004-01","34,954.49"
"Block","PB19042005-01","48,385.23"
"Hourly","PH19042005","28,819.50"
"Hourly","PH19042006","8,539.52"
"Block","PB19042006-01","15,792.39"
"Hourly","PH19042007","8,802.78"
"Block","PB19042007-01","19,970.87"
"Block","PB19042008-01","55,888.99"
"Hourly","PH19042008","36,946.99"
"Hourly","PH19042009","24,639.73"
"Block","PB19042009-01","39,806.58"
"Hourly","PH19042010","38,601.42"
"Block","PB19042010-01","39,833.21"
"Block","PB19042011-01","51,007.51"
"Hourly","PH19042011","57,531.73"
"Hourly","PH19042012","56,822.43"
"Block","PB19042012-01","43,995.27"
"Block","PB19042013-01","34,331.26"
"Hourly","PH19042013","40,576.85"
"Block","PB19042014-03","675.00"
"Hourly","PH19042014","34,650.89"
"Block","PB19042014-01","32,336.28"
"Hourly","PH19042015","6,888.73"
"Block","PB19042015-01","9,066.80"
"Block","PB19042015-02","1,000.00"
"Hourly","PH19042016","5,322.18"
"Block","PB19042016-01","7,053.49"
"Hourly","PH19042017","18,007.24"
"Block","PB19042017-01","23,898.00"
"Block","PB19042017-02","700.00"
"Block","PB19042018-01","20,622.00"
"Hourly","PH19042018","14,775.50"
"Hourly","PH19042019","62,035.39"
"Block","PB19042019-05","925.00"
"Block","PB19042019-01","57,421.64"
"Hourly","PH19042020","61,118.82"
"Block","PB19042020-01","48,672.94"
"Hourly","PH19042021","48,985.19"
"Block","PB19042021-01","46,623.87"
"Hourly","PH19042022","43,303.70"
"Block","PB19042022-01","39,879.51"
"Block","PB19042023-01","32,811.88"
"Hourly","PH19042023","26,943.47"
"Block","PB19042100-24","846.36"
"Block","PB19042100-01","20,575.01"
"Hourly","PH19042100","14,622.49"
"Block","PB19042100-19","193.17"
"Block","PB19042101-01","29,968.72"
"Hourly","PH19042101","30,901.19"
"Block","PB19042102-01","37,759.34"
"Hourly","PH19042102","31,204.65"
"Hourly","PH19042103","6,982.03"
"Block","PB19042103-01","9,024.00"
"Block","PB19042104-01","2,117.01"
"Hourly","PH19042104","1,944.03"
"Hourly","PH19042105","4,531.09"
"Block","PB19042105-01","4,848.31"
"Block","PB19042106-11","735.13"
"Hourly","PH19042106","1,140.94"
"Block","PB19042106-01","1,235.50"
"Block","PB19042107-01","1,295.50"
"Hourly","PH19042107","1,082.19"
"Block","PB19042108-01","264.10"
"Hourly","PH19042108","531.59"
"Block","PB19042109-01","3.45"
"Block","PB19042109-08","320.00"
"Hourly","PH19042109","328.43"
"Hourly","PH19042110","508.28"
"Block","PB19042110-01","220.57"
"Block","PB19042111-01","241.79"
"Hourly","PH19042111","568.84"
"Block","PB19042112-01","232.84"
"Hourly","PH19042112","865.30"
"Hourly","PH19042113","956.94"
"Block","PB19042113-01","244.75"
"Block","PB19042114-02","4.00"
"Block","PB19042114-08","12,050.40"
"Block","PB19042114-01","237.21"
"Hourly","PH19042114","823.22"
"Hourly","PH19042115","553.22"
"Block","PB19042115-01","416.44"
"Block","PB19042116-01","238.10"
"Hourly","PH19042116","922.32"
"Hourly","PH19042117","3,635.41"
"Block","PB19042117-01","3,243.10"
"Hourly","PH19042118","47,665.57"
"Block","PB19042118-01","31,137.44"
"Block","PB19042119-01","64,358.22"
"Hourly","PH19042119","84,062.83"
"Block","PB19042120-01","55,553.44"
"Block","PB19042120-04","245.47"
"Hourly","PH19042120","77,748.62"
"Block","PB19042121-01","56,987.27"
"Hourly","PH19042121","64,089.32"
"Hourly","PH19042122","49,094.27"
"Block","PB19042122-01","50,189.19"
"Block","PB19042123-01","48,094.43"
"Hourly","PH19042123","52,291.68"
"Block","PB19042200-01","16,628.32"
"Block","PB19042200-24","3,721.73"
"Hourly","PH19042200","7,231.88"
"Block","PB19042201-01","16,408.28"
"Hourly","PH19042201","9,146.39"
"Hourly","PH19042202","9,553.62"
"Block","PB19042202-01","17,074.40"
"Block","PB19042203-01","3,646.64"
"Hourly","PH19042203","2,130.69"
"Block","PB19042204-01","5,259.76"
"Hourly","PH19042204","3,435.13"
"Hourly","PH19042205","3,061.95"
"Block","PB19042205-01","4,818.34"
"Block","PB19042206-01","12,605.00"
"Hourly","PH19042206","8,532.06"
"Block","PB19042207-01","54,274.89"
"Hourly","PH19042207","54,814.14"
"Hourly","PH19042208","64,906.21"
"Block","PB19042208-01","65,188.12"
"Block","PB19042208-04","4,272.05"
"Hourly","PH19042209","69,767.86"
"Block","PB19042209-01","64,875.72"
"Hourly","PH19042210","116,293.10"
"Block","PB19042210-01","51,830.77"
"Hourly","PH19042211","197,665.96"
"Block","PB19042211-01","58,179.95"
"Hourly","PH19042212","61,442.81"
"Block","PB19042212-01","34,615.53"
"Hourly","PH19042213","83,104.70"
"Block","PB19042213-01","37,715.85"
"Hourly","PH19042214","174,221.70"
"Block","PB19042214-01","43,389.17"
"Block","PB19042214-09","8,884.40"
"Hourly","PH19042215","152,683.08"
"Block","PB19042215-01","34,146.12"
"Block","PB19042216-01","30,837.10"
"Hourly","PH19042216","174,398.75"
"Hourly","PH19042217","383,576.40"
"Block","PB19042217-01","58,398.93"
"Block","PB19042218-01","53,603.73"
"Hourly","PH19042218","359,386.31"
"Hourly","PH19042219","333,683.07"
"Block","PB19042219-01","63,905.35"
"Block","PB19042219-02","3,050.00"
"Block","PB19042220-01","35,505.66"
"Hourly","PH19042220","344,347.50"
"Block","PB19042221-01","43,169.12"
"Hourly","PH19042221","240,026.94"
"Hourly","PH19042222","224,772.06"
"Block","PB19042222-01","48,838.03"
"Hourly","PH19042223","91,264.07"
"Block","PB19042223-01","40,460.00"
