"Contract Type","Contract Name","Trade Value (TL)"
"Hourly","PH19010406","25,473.56"
"Block","PB19010407-01","22,289.86"
"Hourly","PH19010407","34,521.34"
"Hourly","PH19010408","50,315.60"
"Block","PB19010408-01","26,407.77"
"Block","PB19010409-01","21,128.85"
"Hourly","PH19010409","75,640.47"
"Block","PB19010410-01","33,517.22"
"Hourly","PH19010410","112,345.72"
"Hourly","PH19010411","220,545.33"
"Block","PB19010411-01","33,988.22"
"Hourly","PH19010412","246,436.30"
"Block","PB19010412-01","16,226.26"
"Block","PB19010413-01","21,963.52"
"Hourly","PH19010413","287,776.10"
"Hourly","PH19010414","235,930.69"
"Block","PB19010414-01","17,729.65"
"Block","PB19010414-03","17,760.00"
"Block","PB19010415-01","19,973.61"
"Hourly","PH19010415","261,144.90"
"Block","PB19010416-01","20,607.32"
"Hourly","PH19010416","229,151.36"
"Hourly","PH19010417","246,445.50"
"Block","PB19010417-01","31,228.09"
"Block","PB19010417-02","11,960.00"
"Block","PB19010418-04","6,480.00"
"Block","PB19010418-02","2,582.71"
"Block","PB19010418-05","0.00"
"Block","PB19010418-01","32,379.43"
"Hourly","PH19010418","182,571.36"
"Hourly","PH19010419","190,814.96"
"Block","PB19010419-01","29,230.32"
"Block","PB19010419-05","410.22"
"Block","PB19010419-02","692.88"
"Hourly","PH19010420","174,498.83"
"Block","PB19010420-02","2,264.00"
"Block","PB19010420-01","31,562.73"
"Block","PB19010420-03","1,653.48"
"Block","PB19010421-03","15,009.81"
"Block","PB19010421-01","45,774.50"
"Hourly","PH19010421","172,941.51"
"Hourly","PH19010422","117,770.04"
"Block","PB19010422-02","51.00"
"Block","PB19010422-01","52,769.95"
"Block","PB19010423-01","56,239.33"
"Hourly","PH19010423","104,522.87"
"Block","PB19010500-01","13,950.34"
"Block","PB19010500-10","5,673.00"
"Block","PB19010500-24","2,345.66"
"Hourly","PH19010500","33,131.65"
"Block","PB19010501-01","16,620.00"
"Block","PB19010501-09","2,568.92"
"Hourly","PH19010501","36,672.16"
"Block","PB19010502-01","11,186.81"
"Block","PB19010502-22","1,096.13"
"Hourly","PH19010502","21,220.56"
"Block","PB19010503-01","12,095.65"
"Hourly","PH19010503","19,446.59"
"Block","PB19010504-01","9,167.83"
"Hourly","PH19010504","25,399.68"
"Block","PB19010505-01","9,518.44"
"Hourly","PH19010505","26,269.47"
"Block","PB19010506-01","14,409.43"
"Hourly","PH19010506","68,939.35"
"Block","PB19010507-01","28,289.60"
