"Contract Type","Contract Name","Min. Offer Price (TL/MWh)","Max. Offer Price (TL/MWh)"
"Block","PB19010512-04","277.00","277.00"
"Block","PB19010512-06","282.42","282.42"
"Block","PB19010512-01","260.90","286.41"
"Hourly","PH19010512","201.00","366.00"
"Block","PB19010513-01","265.85","290.00"
"Block","PB19010513-02","290.00","290.00"
"Block","PB19010513-11","275.00","275.00"
"Hourly","PH19010513","250.00","307.92"
"Hourly","PH19010514","250.00","309.24"
"Block","PB19010514-10","275.00","275.00"
"Block","PB19010514-01","269.12","285.36"
"Block","PB19010515-09","282.00","288.00"
"Hourly","PH19010515","0.00","282.76"
"Block","PB19010515-01","250.00","260.00"
"Block","PB19010516-04","285.00","285.00"
"Block","PB19010516-01","264.01","286.19"
"Hourly","PH19010516","220.00","313.58"
"Hourly","PH19010517","251.00","320.55"
"Block","PB19010517-01","267.00","291.41"
"Block","PB19010517-06","270.00","270.00"
"Block","PB19010517-03","292.00","292.00"
"Block","PB19010518-01","262.01","293.00"
"Hourly","PH19010518","251.00","322.30"
"Block","PB19010519-01","264.00","290.74"
"Hourly","PH19010519","173.00","319.81"
"Hourly","PH19010520","200.00","316.48"
"Block","PB19010520-01","255.02","287.71"
"Block","PB19010520-04","275.00","275.00"
"Block","PB19010521-01","251.00","286.07"
"Hourly","PH19010521","210.00","314.68"
"Block","PB19010522-01","209.00","285.18"
"Hourly","PH19010522","210.00","313.70"
"Block","PB19010522-02","271.59","271.59"
"Hourly","PH19010523","201.00","283.79"
"Block","PB19010523-01","200.00","257.99"
"Hourly","PH19010600","250.00","285.54"
"Block","PB19010600-01","199.10","285.54"
"Block","PB19010601-01","271.00","285.75"
"Hourly","PH19010601","100.02","287.38"
"Block","PB19010602-01","230.99","253.01"
"Hourly","PH19010602","225.00","350.00"
"Block","PB19010603-01","246.41","253.00"
"Hourly","PH19010603","220.01","330.00"
"Block","PB19010604-01","195.00","221.00"
"Hourly","PH19010604","160.00","300.00"
"Hourly","PH19010605","101.00","300.00"
"Block","PB19010605-01","123.00","129.00"
"Block","PB19010606-01","123.00","136.00"
"Hourly","PH19010606","101.00","300.00"
"Hourly","PH19010607","205.00","353.02"
"Block","PB19010607-01","253.01","340.99"
"Block","PB19010608-01","98.89","101.00"
"Hourly","PH19010608","95.00","300.00"
"Hourly","PH19010609","25.00","300.00"
"Block","PB19010609-01","105.00","110.97"
"Block","PB19010610-01","244.00","250.69"
"Hourly","PH19010610","220.00","330.00"
"Block","PB19010611-01","259.98","260.00"
"Hourly","PH19010611","233.00","340.00"
"Block","PB19010611-03","258.00","258.00"
"Hourly","PH19010612","215.00","340.00"
"Block","PB19010612-01","239.00","253.01"
"Block","PB19010613-01","235.02","259.99"
"Hourly","PH19010613","221.00","340.00"
"Block","PB19010614-01","205.02","221.00"
"Hourly","PH19010614","205.00","320.00"
"Block","PB19010614-03","211.00","211.00"
"Block","PB19010615-01","162.33","301.00"
"Hourly","PH19010615","145.00","300.00"
"Hourly","PH19010616","235.00","350.00"
"Block","PB19010616-01","249.50","269.99"
"Block","PB19010617-01","290.69","306.00"
"Hourly","PH19010617","265.20","350.00"
"Hourly","PH19010618","268.20","365.00"
"Block","PB19010618-03","293.00","293.00"
"Block","PB19010618-01","289.00","295.66"
"Block","PB19010619-01","293.25","294.19"
"Hourly","PH19010619","267.20","363.00"
"Block","PB19010619-02","293.00","293.00"
"Hourly","PH19010620","269.97","361.00"
"Block","PB19010620-01","281.01","291.64"
"Block","PB19010621-01","285.10","290.16"
"Hourly","PH19010621","269.88","360.00"
"Block","PB19010621-03","288.00","288.00"
"Block","PB19010622-01","287.79","301.00"
"Hourly","PH19010622","259.01","357.00"
"Block","PB19010623-01","285.78","301.00"
"Hourly","PH19010623","277.21","355.00"
"Block","PB19010700-01","193.01","202.00"
"Hourly","PH19010700","190.00","1,999.99"
"Hourly","PH19010701","181.01","1,987.00"
"Block","PB19010701-01","198.74","204.00"
"Block","PB19010702-01","113.79","113.79"
"Hourly","PH19010702","100.00","300.00"
"Block","PB19010703-01","198.75","200.00"
"Hourly","PH19010703","181.01","320.00"
"Block","PB19010704-01","73.99","76.27"
"Hourly","PH19010704","50.12","400.00"
"Hourly","PH19010705","100.12","2,000.00"
"Block","PB19010705-01","112.00","112.29"
"Hourly","PH19010706","220.13","345.00"
"Block","PB19010706-01","250.00","251.24"
"Block","PB19010707-01","285.00","285.24"
"Hourly","PH19010707","261.21","2,000.00"
"Hourly","PH19010708","270.00","360.00"
"Block","PB19010708-01","289.90","290.00"
"Block","PB19010709-01","291.00","291.34"
"Hourly","PH19010709","271.11","2,000.00"
"Hourly","PH19010710","284.58","363.00"
"Block","PB19010710-01","293.38","294.00"
"Block","PB19010711-02","293.25","293.25"
"Block","PB19010711-13","0.00","0.00"
"Hourly","PH19010711","287.12","2,000.00"
"Block","PB19010711-01","296.00","306.00"
"Hourly","PH19010712","281.79","2,000.00"
"Block","PB19010712-01","290.50","290.50"
"Block","PB19010712-12","275.98","275.98"
"Block","PB19010712-02","295.00","295.00"
"Block","PB19010713-01","290.38","291.00"
"Hourly","PH19010713","281.67","2,000.00"
"Block","PB19010713-03","291.00","291.00"
"Block","PB19010714-03","292.00","292.00"
"Hourly","PH19010714","282.70","2,000.00"
"Block","PB19010714-01","291.44","295.00"
"Hourly","PH19010715","240.00","2,000.00"
"Block","PB19010715-01","290.15","320.00"
"Block","PB19010716-02","293.20","293.20"
"Hourly","PH19010716","282.43","2,000.00"
"Block","PB19010716-01","291.16","325.00"
"Hourly","PH19010717","286.38","2,000.00"
"Block","PB19010717-01","295.00","329.13"
"Block","PB19010718-01","292.95","325.00"
"Hourly","PH19010718","284.13","2,000.00"
"Block","PB19010718-02","289.89","300.00"
"Hourly","PH19010719","278.21","2,000.00"
"Block","PB19010719-01","286.84","319.00"
"Block","PB19010720-01","285.89","329.00"
"Hourly","PH19010720","277.28","2,000.00"
"Block","PB19010720-03","285.59","285.59"
"Block","PB19010720-02","286.88","286.88"
"Hourly","PH19010721","277.25","2,000.00"
"Block","PB19010721-01","285.00","306.01"
"Block","PB19010722-01","285.00","300.90"
"Hourly","PH19010722","276.47","2,000.00"
"Block","PB19010723-01","126.34","140.69"
"Hourly","PH19010723","122.54","500.00"
"Hourly","PH19010800","185.00","212.99"
"Block","PB19010800-01","184.02","198.75"
"Block","PB19010801-01","184.70","185.00"
"Hourly","PH19010801","161.06","320.00"
"Block","PB19010802-01","91.11","108.45"
"Block","PB19010802-02","115.00","115.00"
"Hourly","PH19010802","90.00","300.00"
"Block","PB19010803-01","117.02","121.74"
"Hourly","PH19010803","115.00","500.00"
"Block","PB19010804-01","89.01","96.87"
"Hourly","PH19010804","75.00","300.00"
"Block","PB19010805-01","126.33","126.33"
"Hourly","PH19010805","106.00","310.00"
"Block","PB19010806-01","198.00","198.74"
"Hourly","PH19010806","190.00","320.00"
"Block","PB19010807-01","249.24","258.00"
"Hourly","PH19010807","210.16","350.00"
"Block","PB19010808-01","274.20","285.00"
"Hourly","PH19010808","261.36","375.00"
"Block","PB19010809-01","285.15","296.01"
"Hourly","PH19010809","280.00","395.00"
"Block","PB19010810-01","288.88","310.00"
"Hourly","PH19010810","280.21","350.00"
"Block","PB19010811-02","295.00","295.00"
"Block","PB19010811-01","293.40","305.00"
"Hourly","PH19010811","284.60","363.00"
"Block","PB19010812-01","288.84","310.99"
"Hourly","PH19010812","280.15","360.00"
"Block","PB19010813-01","290.56","319.00"
"Hourly","PH19010813","281.84","357.00"
"Block","PB19010814-01","293.00","320.87"
"Hourly","PH19010814","284.31","363.00"
"Block","PB19010815-01","293.00","320.00"
"Hourly","PH19010815","284.30","360.00"
"Block","PB19010816-02","0.00","0.00"
"Block","PB19010816-01","296.22","316.99"
"Hourly","PH19010816","287.30","366.00"
"Block","PB19010817-01","296.52","328.00"
"Hourly","PH19010817","31.04","2,000.00"
"Block","PB19010818-06","284.40","289.43"
"Block","PB19010818-01","298.00","322.99"
"Hourly","PH19010818","289.66","500.00"
