"Contract Type","Contract Name","Min. Offer Price (TL/MWh)","Max. Offer Price (TL/MWh)"
"Block","PB19020220-01","301.17","325.39"
"Hourly","PH19020221","280.00","380.00"
"Block","PB19020221-01","290.00","290.99"
"Block","PB19020222-01","266.00","270.50"
"Hourly","PH19020222","261.90","370.00"
"Hourly","PH19020223","169.76","300.00"
"Block","PB19020223-01","169.40","202.00"
"Block","PB19020300-01","148.20","163.99"
"Hourly","PH19020300","120.00","170.00"
"Hourly","PH19020301","180.10","259.06"
"Block","PB19020301-01","195.05","205.51"
"Hourly","PH19020302","180.00","300.00"
"Block","PB19020302-01","189.01","201.49"
"Hourly","PH19020303","183.51","300.00"
"Block","PB19020303-01","184.18","205.19"
"Block","PB19020304-01","139.05","168.42"
"Hourly","PH19020304","120.00","300.00"
"Block","PB19020305-01","157.06","186.87"
"Hourly","PH19020305","130.00","365.00"
"Block","PB19020306-01","189.49","207.94"
"Hourly","PH19020306","160.00","500.01"
"Hourly","PH19020307","120.00","360.00"
"Block","PB19020307-01","153.95","167.65"
"Hourly","PH19020308","80.00","500.00"
"Block","PB19020308-01","122.01","126.76"
"Block","PB19020309-01","119.54","128.90"
"Hourly","PH19020309","80.00","500.00"
"Hourly","PH19020310","110.00","500.00"
"Block","PB19020310-01","115.20","122.50"
"Block","PB19020311-01","115.60","124.83"
"Hourly","PH19020311","110.00","500.00"
"Hourly","PH19020312","80.00","500.00"
"Block","PB19020312-01","109.25","127.42"
"Block","PB19020313-01","106.50","126.77"
"Hourly","PH19020313","80.00","500.00"
"Hourly","PH19020314","85.00","500.00"
"Block","PB19020314-01","108.19","127.31"
"Hourly","PH19020315","95.00","300.00"
"Block","PB19020315-01","105.02","124.06"
"Hourly","PH19020316","86.00","300.00"
"Block","PB19020316-01","113.70","127.57"
"Block","PB19020317-07","274.08","274.08"
"Block","PB19020317-01","155.20","168.51"
"Hourly","PH19020317","140.00","300.00"
"Block","PB19020318-06","292.51","292.51"
"Block","PB19020318-01","315.00","329.84"
"Hourly","PH19020318","291.00","380.00"
"Block","PB19020319-01","312.50","323.09"
"Hourly","PH19020319","300.00","380.00"
"Block","PB19020320-01","311.16","321.28"
"Hourly","PH19020320","293.00","380.00"
"Hourly","PH19020321","250.00","360.00"
"Block","PB19020321-01","271.80","280.50"
"Block","PB19020322-01","257.21","276.21"
"Hourly","PH19020322","240.00","352.00"
"Hourly","PH19020323","0.00","300.00"
"Block","PB19020323-01","232.95","245.59"
"Hourly","PH19020400","80.01","158.60"
"Block","PB19020400-01","92.00","94.45"
"Hourly","PH19020401","170.13","320.00"
"Block","PB19020401-01","179.41","186.78"
"Block","PB19020402-01","189.01","205.01"
"Hourly","PH19020402","195.00","320.00"
"Hourly","PH19020403","5.02","250.00"
"Block","PB19020403-01","4.84","6.00"
"Block","PB19020404-01","154.00","167.20"
"Hourly","PH19020404","140.00","300.00"
"Hourly","PH19020405","87.01","999.00"
"Block","PB19020405-01","176.98","185.76"
"Block","PB19020406-01","255.02","284.19"
"Hourly","PH19020406","255.48","350.00"
"Hourly","PH19020407","275.00","380.00"
"Block","PB19020407-01","301.00","321.02"
"Block","PB19020408-01","314.20","333.68"
"Hourly","PH19020408","218.98","500.00"
"Hourly","PH19020409","300.00","500.00"
"Block","PB19020409-01","320.00","332.38"
"Block","PB19020410-01","201.00","321.98"
"Hourly","PH19020410","200.00","390.00"
"Hourly","PH19020411","305.00","390.00"
"Block","PB19020411-01","322.66","331.65"
"Block","PB19020412-01","262.34","263.84"
"Hourly","PH19020412","0.00","350.00"
"Hourly","PH19020413","220.00","340.00"
"Block","PB19020413-01","240.51","263.95"
"Block","PB19020413-05","251.60","251.60"
"Block","PB19020413-04","234.15","234.15"
"Block","PB19020414-01","245.90","276.66"
"Hourly","PH19020414","230.00","340.00"
"Hourly","PH19020415","180.00","320.00"
"Block","PB19020415-01","190.48","220.00"
"Hourly","PH19020416","155.00","300.00"
"Block","PB19020416-01","188.09","324.85"
"Hourly","PH19020417","31.00","385.00"
"Block","PB19020417-01","290.01","322.00"
"Block","PB19020417-02","323.14","323.14"
"Block","PB19020418-01","251.01","325.38"
"Hourly","PH19020418","252.00","390.00"
"Hourly","PH19020419","270.00","390.00"
"Block","PB19020419-01","269.01","322.27"
"Block","PB19020420-01","277.66","290.49"
"Hourly","PH19020420","205.50","360.00"
"Block","PB19020421-03","297.18","297.18"
"Hourly","PH19020421","266.00","365.00"
"Block","PB19020421-01","286.01","305.13"
"Block","PB19020422-02","293.50","293.50"
"Block","PB19020422-01","273.03","298.00"
"Hourly","PH19020422","274.35","360.00"
"Block","PB19020423-01","295.73","305.00"
"Hourly","PH19020423","268.50","360.00"
"Block","PB19020500-02","310.00","310.00"
"Block","PB19020500-24","250.00","250.00"
"Hourly","PH19020500","237.32","265.00"
"Block","PB19020500-01","245.44","255.50"
"Block","PB19020501-01","299.14","310.49"
"Hourly","PH19020501","300.00","390.00"
"Block","PB19020502-01","194.25","201.50"
"Hourly","PH19020502","192.00","317.00"
"Block","PB19020503-01","79.02","201.49"
"Hourly","PH19020503","180.00","310.00"
"Hourly","PH19020504","192.00","310.00"
"Block","PB19020504-01","193.04","203.51"
"Block","PB19020505-01","196.68","201.50"
"Hourly","PH19020505","184.94","310.00"
"Block","PB19020506-01","200.49","311.00"
"Hourly","PH19020506","184.94","1,500.00"
"Block","PB19020507-01","246.73","258.00"
"Hourly","PH19020507","246.38","350.00"
"Hourly","PH19020508","300.00","390.00"
"Block","PB19020508-01","311.35","323.09"
"Hourly","PH19020509","270.00","385.00"
"Block","PB19020509-01","296.52","305.90"
"Block","PB19020510-01","293.09","316.00"
"Hourly","PH19020510","290.00","385.00"
"Block","PB19020511-01","299.35","310.00"
"Hourly","PH19020511","290.67","380.00"
"Block","PB19020512-01","242.00","249.99"
"Hourly","PH19020512","220.01","350.00"
"Hourly","PH19020513","170.00","310.00"
"Block","PB19020513-01","190.18","202.47"
"Block","PB19020514-01","244.20","257.90"
"Hourly","PH19020514","231.00","498.22"
"Block","PB19020515-01","191.00","201.00"
"Hourly","PH19020515","181.00","310.00"
"Block","PB19020516-01","236.00","251.63"
"Hourly","PH19020516","225.00","2,000.00"
"Block","PB19020517-01","280.01","310.00"
"Hourly","PH19020517","255.01","380.00"
"Block","PB19020518-06","273.17","273.17"
"Block","PB19020518-01","319.90","324.77"
"Hourly","PH19020518","230.00","390.00"
"Hourly","PH19020519","284.95","604.52"
"Block","PB19020519-01","303.80","313.65"
"Block","PB19020519-05","263.13","263.14"
"Block","PB19020520-01","302.78","315.00"
"Hourly","PH19020520","285.46","380.00"
"Block","PB19020521-01","208.03","225.00"
"Hourly","PH19020521","193.67","310.00"
"Hourly","PH19020522","231.01","340.00"
"Block","PB19020522-01","246.67","264.03"
"Block","PB19020523-01","247.55","259.89"
"Hourly","PH19020523","231.00","340.00"
"Hourly","PH19020600","148.57","174.99"
"Block","PB19020600-01","163.49","163.49"
"Block","PB19020600-24","257.15","257.15"
"Block","PB19020601-01","200.00","210.99"
"Hourly","PH19020601","184.95","320.00"
"Block","PB19020601-23","280.00","280.00"
"Hourly","PH19020602","130.00","320.00"
"Block","PB19020602-01","200.00","201.98"
"Block","PB19020602-22","278.15","278.15"
"Block","PB19020603-01","119.99","122.00"
"Hourly","PH19020603","108.33","300.00"
"Block","PB19020604-01","139.20","160.00"
"Hourly","PH19020604","139.00","320.00"
"Block","PB19020605-01","150.20","201.00"
"Hourly","PH19020605","150.00","320.00"
"Hourly","PH19020606","271.13","390.00"
"Block","PB19020606-01","295.50","320.50"
"Block","PB19020607-01","300.00","321.00"
"Hourly","PH19020607","300.00","390.00"
"Block","PB19020608-01","324.20","325.20"
"Block","PB19020608-02","0.00","0.00"
"Block","PB19020608-11","270.85","270.85"
"Hourly","PH19020608","304.44","390.00"
"Block","PB19020609-01","326.86","327.64"
"Hourly","PH19020609","307.02","390.00"
"Block","PB19020610-01","326.28","331.84"
"Hourly","PH19020610","307.03","500.00"
"Block","PB19020611-01","324.99","327.69"
"Hourly","PH19020611","315.24","500.00"
"Hourly","PH19020612","310.66","500.00"
"Block","PB19020612-01","320.00","321.25"
"Block","PB19020613-01","256.00","300.99"
"Hourly","PH19020613","238.51","340.00"
"Block","PB19020614-01","300.00","315.89"
"Hourly","PH19020614","280.98","750.00"
"Hourly","PH19020615","26.99","650.00"
"Block","PB19020615-01","268.00","292.00"
"Block","PB19020616-01","281.56","293.01"
"Hourly","PH19020616","263.52","485.00"
"Block","PB19020617-03","324.00","324.00"
"Hourly","PH19020617","302.07","1,500.00"
"Block","PB19020617-01","320.30","346.00"
"Block","PB19020618-01","324.03","341.00"
"Hourly","PH19020618","304.28","390.00"
"Hourly","PH19020619","303.09","390.00"
"Block","PB19020619-01","322.81","334.00"
"Block","PB19020620-01","318.99","323.62"
"Hourly","PH19020620","302.07","390.00"
"Block","PB19020621-01","303.00","312.97"
"Hourly","PH19020621","284.70","500.00"
"Block","PB19020622-01","269.55","278.10"
"Hourly","PH19020622","251.87","340.00"
"Hourly","PH19020623","2.00","500.00"
"Block","PB19020623-01","198.50","206.00"
"Block","PB19020700-02","182.00","182.00"
"Block","PB19020700-24","0.00","0.00"
"Hourly","PH19020700","148.58","183.00"
"Block","PB19020700-01","158.77","164.82"
"Hourly","PH19020701","180.00","320.00"
"Block","PB19020701-01","184.20","201.39"
"Hourly","PH19020702","179.00","320.00"
"Block","PB19020702-01","180.98","202.38"
"Block","PB19020702-03","170.00","170.00"
"Hourly","PH19020703","160.00","310.00"
"Block","PB19020703-01","174.57","180.19"
"Block","PB19020704-01","126.86","129.75"
"Hourly","PH19020704","0.12","300.00"
"Block","PB19020705-01","141.18","154.40"
"Hourly","PH19020705","131.01","300.00"
"Block","PB19020706-01","165.19","201.55"
"Hourly","PH19020706","71.00","325.00"
"Block","PB19020706-18","0.00","0.00"
"Block","PB19020707-01","228.20","254.99"
"Hourly","PH19020707","210.00","340.00"
"Hourly","PH19020708","270.00","385.00"
"Block","PB19020708-01","290.20","320.97"
"Hourly","PH19020709","280.00","380.00"
"Block","PB19020709-01","292.95","302.21"
"Hourly","PH19020710","287.00","380.00"
"Block","PB19020710-01","300.00","307.50"
"Hourly","PH19020711","299.60","390.00"
"Block","PB19020711-01","319.21","331.00"
"Hourly","PH19020712","183.49","310.00"
"Block","PB19020712-12","0.00","0.00"
"Block","PB19020712-01","197.78","216.00"
"Block","PB19020713-01","249.48","265.58"
"Hourly","PH19020713","232.47","2,000.00"
"Block","PB19020714-10","0.00","0.00"
"Block","PB19020714-01","259.72","275.34"
"Hourly","PH19020714","176.27","350.00"
"Hourly","PH19020715","243.35","350.00"
"Block","PB19020715-01","260.99","280.00"
"Block","PB19020716-01","274.99","290.00"
"Hourly","PH19020716","256.71","350.00"
"Block","PB19020717-05","325.30","325.30"
"Block","PB19020717-01","320.00","329.51"
"Hourly","PH19020717","300.37","390.00"
"Block","PB19020718-01","322.00","336.50"
"Hourly","PH19020718","302.48","390.00"
"Hourly","PH19020719","300.83","999.00"
"Block","PB19020719-01","320.00","337.00"
"Block","PB19020720-02","0.00","0.00"
"Block","PB19020720-01","303.00","304.00"
"Hourly","PH19020720","284.69","380.00"
"Hourly","PH19020721","257.40","370.00"
"Block","PB19020721-01","300.00","303.00"
"Hourly","PH19020722","261.55","350.00"
"Block","PB19020722-01","279.22","291.98"
"Block","PB19020722-02","270.00","270.00"
"Block","PB19020723-01","258.21","276.00"
"Hourly","PH19020723","235.25","340.00"
"Block","PB19020800-01","12.49","18.16"
"Hourly","PH19020800","13.92","999.00"
"Block","PB19020800-13","240.65","240.65"
"Block","PB19020801-01","248.50","258.45"
"Hourly","PH19020801","232.48","340.00"
"Block","PB19020802-01","200.00","207.98"
"Hourly","PH19020802","184.95","330.00"
"Hourly","PH19020803","124.19","310.00"
"Block","PB19020803-01","138.35","163.00"
"Block","PB19020804-01","162.99","170.99"
"Hourly","PH19020804","148.57","310.00"
"Hourly","PH19020805","194.97","330.00"
"Block","PB19020805-05","285.00","285.00"
"Block","PB19020805-01","200.27","203.62"
"Hourly","PH19020806","270.99","350.00"
"Block","PB19020806-01","274.00","280.08"
"Block","PB19020807-01","299.98","306.15"
"Hourly","PH19020807","289.99","380.00"
"Block","PB19020808-01","299.00","321.88"
"Hourly","PH19020808","300.00","390.00"
"Hourly","PH19020809","201.50","390.00"
"Block","PB19020809-01","309.91","320.00"
"Hourly","PH19020810","201.10","390.00"
"Block","PB19020810-01","314.19","322.83"
"Block","PB19020811-01","309.00","325.42"
"Hourly","PH19020811","201.00","390.00"
"Block","PB19020812-01","282.11","290.87"
"Hourly","PH19020812","257.00","1,000.00"
"Hourly","PH19020813","161.00","310.00"
"Block","PB19020813-01","196.00","207.03"
"Hourly","PH19020814","200.00","365.00"
"Block","PB19020814-01","200.00","312.96"
"Block","PB19020815-01","304.58","340.90"
"Hourly","PH19020815","285.10","365.00"
"Hourly","PH19020816","231.61","1,000.00"
"Block","PB19020816-01","268.47","278.98"
"Hourly","PH19020817","291.84","371.00"
"Block","PB19020817-01","308.00","313.15"
"Hourly","PH19020818","300.93","385.00"
"Block","PB19020818-01","318.85","331.95"
"Block","PB19020819-01","303.85","312.00"
"Hourly","PH19020819","284.70","370.00"
"Block","PB19020820-04","0.00","0.00"
"Block","PB19020820-01","283.62","291.01"
"Hourly","PH19020820","271.25","360.00"
"Block","PB19020821-01","265.01","271.01"
"Block","PB19020821-03","288.00","288.00"
"Hourly","PH19020821","251.88","350.00"
"Hourly","PH19020822","284.68","380.00"
"Block","PB19020822-01","295.01","304.83"
"Block","PB19020823-01","280.71","290.01"
"Hourly","PH19020823","265.00","360.00"
"Block","PB19020900-01","162.11","164.50"
"Hourly","PH19020900","25.00","300.00"
"Block","PB19020900-10","0.00","0.00"
"Block","PB19020900-24","0.00","0.00"
"Hourly","PH19020901","294.99","380.00"
"Block","PB19020901-02","320.00","320.00"
"Block","PB19020901-01","315.00","322.00"
"Hourly","PH19020902","300.36","380.00"
"Block","PB19020902-01","319.40","340.00"
"Hourly","PH19020903","200.00","400.00"
"Block","PB19020903-03","235.00","235.00"
"Block","PB19020903-01","233.95","240.99"
"Hourly","PH19020904","200.00","340.00"
"Block","PB19020904-01","217.63","223.33"
"Block","PB19020905-01","230.25","239.02"
"Hourly","PH19020905","205.06","999.00"
"Hourly","PH19020906","278.27","2,000.00"
"Block","PB19020906-18","289.80","289.80"
"Block","PB19020906-01","287.97","297.22"
"Hourly","PH19020907","280.00","2,000.00"
"Block","PB19020907-01","274.03","300.48"
"Block","PB19020908-01","250.19","268.40"
"Hourly","PH19020908","203.00","368.00"
"Hourly","PH19020909","227.00","265.00"
"Block","PB19020909-01","229.20","250.01"
"Block","PB19020910-01","300.19","319.89"
"Hourly","PH19020910","265.00","335.00"
"Hourly","PH19020911","284.69","319.00"
"Block","PB19020911-01","301.86","304.00"
"Block","PB19020912-01","258.00","276.94"
"Hourly","PH19020912","55.00","300.00"
"Block","PB19020913-06","282.10","282.10"
"Hourly","PH19020913","230.00","295.00"
"Block","PB19020913-01","285.20","287.95"
"Hourly","PH19020914","260.00","310.00"
"Block","PB19020914-01","278.90","281.58"
"Block","PB19020915-09","291.17","291.17"
"Hourly","PH19020915","250.00","300.00"
"Block","PB19020915-01","267.75","270.35"
"Hourly","PH19020916","246.27","999.00"
"Block","PB19020916-01","260.00","265.60"
"Block","PB19020916-05","293.71","293.71"
"Block","PB19020917-01","268.00","275.99"
"Hourly","PH19020917","250.00","999.00"
"Hourly","PH19020918","302.26","999.00"
"Block","PB19020918-01","316.10","322.89"
"Block","PB19020919-01","317.01","323.17"
"Hourly","PH19020919","273.94","999.00"
"Hourly","PH19020920","272.45","999.00"
"Block","PB19020920-01","289.24","291.70"
"Hourly","PH19020921","280.20","2,000.00"
"Block","PB19020921-01","297.71","308.19"
"Hourly","PH19020922","280.00","999.00"
"Block","PB19020922-01","297.57","300.00"
"Block","PB19020923-01","289.20","299.22"
"Hourly","PH19020923","100.00","999.00"
"Hourly","PH19021000","194.97","261.00"
"Block","PB19021000-24","260.00","260.00"
"Block","PB19021000-08","262.14","262.14"
"Block","PB19021000-01","201.00","260.00"
"Block","PB19021001-01","320.10","321.58"
"Hourly","PH19021001","310.50","380.00"
"Hourly","PH19021002","261.91","350.00"
"Block","PB19021002-01","270.01","284.80"
"Block","PB19021003-01","200.00","208.81"
"Hourly","PH19021003","194.97","325.00"
"Hourly","PH19021004","223.67","325.00"
"Block","PB19021004-01","229.38","244.00"
"Block","PB19021005-01","230.00","264.00"
"Hourly","PH19021005","245.00","350.00"
"Hourly","PH19021006","294.72","380.00"
"Block","PB19021006-01","290.00","315.60"
"Hourly","PH19021007","302.89","380.00"
"Block","PB19021007-01","300.00","321.08"
"Block","PB19021008-01","129.66","135.10"
"Block","PB19021008-16","246.44","246.44"
"Hourly","PH19021008","129.82","350.00"
"Block","PB19021009-01","0.10","2.50"
"Hourly","PH19021009","1.94","999.00"
"Hourly","PH19021010","163.00","300.00"
"Block","PB19021010-01","161.59","174.11"
"Block","PB19021011-01","268.45","284.00"
"Hourly","PH19021011","261.89","500.00"
"Hourly","PH19021012","261.90","500.00"
"Block","PB19021012-01","268.33","279.26"
"Hourly","PH19021013","259.38","500.00"
"Block","PB19021013-01","267.37","275.39"
"Block","PB19021014-01","248.24","255.02"
"Hourly","PH19021014","241.02","500.00"
"Block","PB19021015-01","199.01","207.03"
"Hourly","PH19021015","200.73","500.00"
"Block","PB19021016-01","235.00","250.49"
"Hourly","PH19021016","235.00","340.00"
"Hourly","PH19021017","250.00","460.00"
"Block","PB19021017-01","258.94","262.00"
"Hourly","PH19021018","311.92","499.00"
"Block","PB19021018-01","319.57","321.46"
"Block","PB19021018-04","322.30","322.30"
"Hourly","PH19021019","38.00","499.00"
"Block","PB19021019-01","324.00","333.47"
"Block","PB19021019-05","265.00","265.00"
"Block","PB19021020-01","322.67","332.99"
"Hourly","PH19021020","312.99","499.00"
"Block","PB19021021-01","320.69","332.99"
"Hourly","PH19021021","311.18","499.00"
"Hourly","PH19021022","307.59","380.00"
"Block","PB19021022-01","317.10","326.11"
"Block","PB19021023-01","272.84","282.22"
"Hourly","PH19021023","174.00","340.00"
"Block","PB19021100-02","255.00","255.00"
"Block","PB19021100-24","270.00","270.00"
"Hourly","PH19021100","225.00","380.00"
"Block","PB19021100-01","238.88","239.99"
"Hourly","PH19021101","260.00","368.99"
"Block","PB19021101-01","269.37","270.85"
"Hourly","PH19021102","190.00","300.00"
"Block","PB19021102-01","201.00","202.93"
"Block","PB19021103-05","261.00","261.00"
"Block","PB19021103-01","270.20","281.51"
"Block","PB19021103-04","246.60","246.60"
"Hourly","PH19021103","260.00","350.00"
"Hourly","PH19021104","175.00","298.00"
"Block","PB19021104-01","189.19","199.00"
"Hourly","PH19021105","153.00","310.00"
"Block","PB19021105-01","189.33","205.50"
"Hourly","PH19021106","270.00","393.00"
"Block","PB19021106-01","289.20","305.04"
"Hourly","PH19021107","285.00","390.59"
"Block","PB19021107-01","290.20","320.59"
"Block","PB19021108-01","312.76","324.12"
"Block","PB19021108-04","280.00","280.00"
"Block","PB19021108-16","280.00","280.00"
"Hourly","PH19021108","210.00","393.32"
"Hourly","PH19021109","305.61","385.00"
"Block","PB19021109-01","323.99","326.45"
"Hourly","PH19021110","32.98","394.27"
"Block","PB19021110-01","321.22","327.20"
"Hourly","PH19021111","290.00","383.00"
"Block","PB19021111-03","270.90","270.90"
"Block","PB19021111-01","309.01","323.23"
"Hourly","PH19021112","201.00","360.00"
"Block","PB19021112-01","252.95","260.03"
"Block","PB19021113-01","239.98","250.00"
"Hourly","PH19021113","224.01","350.00"
"Hourly","PH19021114","1.00","320.00"
"Block","PB19021114-01","239.99","251.98"
"Hourly","PH19021115","170.02","300.00"
"Block","PB19021115-01","185.99","206.01"
"Hourly","PH19021116","1.00","330.00"
"Block","PB19021116-01","233.78","260.24"
"Block","PB19021117-05","279.21","279.21"
"Hourly","PH19021117","1.00","350.00"
"Block","PB19021117-01","248.51","270.00"
"Hourly","PH19021118","1.00","380.00"
"Block","PB19021118-01","264.00","306.48"
"Block","PB19021119-01","293.00","297.00"
"Hourly","PH19021119","1.00","389.99"
"Block","PB19021120-04","250.00","280.00"
"Hourly","PH19021120","1.00","370.00"
"Block","PB19021120-01","264.26","271.83"
"Hourly","PH19021121","1.00","300.00"
"Block","PB19021121-01","257.41","259.59"
"Hourly","PH19021122","1.00","340.00"
"Block","PB19021122-01","259.92","261.56"
"Block","PB19021123-01","198.00","200.56"
"Hourly","PH19021123","1.00","299.48"
"Block","PB19021200-01","20.00","26.49"
"Hourly","PH19021200","15.00","100.00"
"Block","PB19021200-07","146.64","146.64"
"Block","PB19021201-01","198.98","214.00"
"Hourly","PH19021201","193.01","999.00"
"Block","PB19021202-01","198.29","199.00"
"Hourly","PH19021202","193.02","999.00"
"Hourly","PH19021203","150.00","300.00"
"Block","PB19021203-01","153.10","160.65"
"Hourly","PH19021204","79.98","191.00"
"Block","PB19021204-01","1.00","92.86"
"Block","PB19021205-01","149.54","150.00"
"Hourly","PH19021205","120.00","300.00"
"Block","PB19021206-01","195.00","206.54"
"Hourly","PH19021206","190.00","320.00"
"Block","PB19021207-01","194.97","201.55"
"Hourly","PH19021207","193.00","320.00"
"Block","PB19021208-01","319.61","320.06"
"Hourly","PH19021208","310.46","380.00"
"Block","PB19021209-11","0.00","0.00"
"Block","PB19021209-01","258.10","350.19"
"Hourly","PH19021209","252.20","400.00"
"Hourly","PH19021210","240.00","499.00"
"Block","PB19021210-01","243.12","251.98"
"Block","PB19021211-01","249.44","290.00"
"Hourly","PH19021211","240.00","1,999.00"
"Block","PB19021212-01","54.90","120.00"
"Hourly","PH19021212","53.02","264.00"
"Block","PB19021213-01","196.00","204.99"
"Hourly","PH19021213","191.00","320.00"
"Block","PB19021214-01","265.89","269.02"
"Hourly","PH19021214","250.01","350.00"
"Block","PB19021215-01","191.00","211.00"
"Hourly","PH19021215","184.95","304.00"
"Block","PB19021216-01","291.06","303.00"
"Hourly","PH19021216","284.21","394.00"
"Block","PB19021217-02","322.75","322.75"
"Block","PB19021217-01","310.10","330.00"
"Hourly","PH19021217","310.00","390.00"
"Hourly","PH19021218","315.00","390.00"
"Block","PB19021218-01","319.00","326.51"
"Block","PB19021219-01","319.00","326.46"
"Hourly","PH19021219","315.00","390.00"
"Block","PB19021220-01","324.29","326.53"
"Block","PB19021220-04","0.00","0.00"
"Hourly","PH19021220","314.56","380.00"
"Block","PB19021221-01","303.58","312.20"
"Hourly","PH19021221","294.73","352.00"
"Block","PB19021222-01","299.77","313.71"
"Hourly","PH19021222","292.00","350.00"
"Block","PB19021223-01","275.10","293.01"
"Hourly","PH19021223","275.00","343.00"
"Hourly","PH19021300","242.51","400.00"
"Block","PB19021300-08","0.00","0.00"
"Block","PB19021300-01","250.01","261.00"
"Hourly","PH19021301","300.75","400.00"
"Block","PB19021301-01","318.81","331.00"
"Hourly","PH19021302","252.00","350.00"
"Block","PB19021302-01","258.47","276.00"
"Block","PB19021303-01","203.24","256.00"
"Hourly","PH19021303","198.86","300.00"
"Block","PB19021304-01","200.57","210.99"
"Hourly","PH19021304","184.95","322.00"
"Hourly","PH19021305","20.00","322.00"
"Block","PB19021305-01","200.23","210.00"
"Block","PB19021306-01","276.02","357.00"
"Hourly","PH19021306","204.00","356.00"
"Block","PB19021307-01","281.44","290.93"
"Hourly","PH19021307","271.20","359.00"
"Hourly","PH19021308","302.71","420.00"
"Block","PB19021308-05","295.00","295.00"
"Block","PB19021308-01","320.00","335.99"
"Hourly","PH19021309","301.69","420.00"
"Block","PB19021309-01","321.04","331.00"
"Block","PB19021310-01","303.85","317.98"
"Hourly","PH19021310","284.70","400.00"
"Block","PB19021311-01","321.25","330.60"
"Hourly","PH19021311","301.58","380.00"
"Block","PB19021312-01","199.50","241.00"
"Hourly","PH19021312","183.50","299.00"
"Block","PB19021313-01","199.50","216.00"
"Hourly","PH19021313","183.50","299.00"
"Block","PB19021314-01","240.99","260.25"
"Hourly","PH19021314","204.99","330.00"
"Block","PB19021315-01","200.57","218.00"
"Hourly","PH19021315","194.97","330.00"
"Hourly","PH19021316","235.00","340.00"
"Block","PB19021316-01","250.00","266.00"
"Hourly","PH19021317","295.85","375.00"
"Block","PB19021317-05","313.93","313.93"
"Block","PB19021317-01","303.71","330.00"
"Block","PB19021317-03","318.00","318.00"
"Hourly","PH19021318","313.33","385.00"
"Block","PB19021318-01","300.00","349.00"
"Block","PB19021319-01","321.00","362.65"
"Hourly","PH19021319","312.00","380.00"
"Block","PB19021319-05","269.33","269.33"
"Hourly","PH19021320","271.60","350.00"
"Block","PB19021320-02","280.00","280.00"
"Block","PB19021320-01","278.18","325.00"
"Hourly","PH19021321","271.60","360.00"
"Block","PB19021321-01","280.00","297.00"
"Block","PB19021321-02","270.00","270.00"
"Hourly","PH19021322","260.00","350.00"
"Block","PB19021322-01","260.00","289.00"
"Block","PB19021323-01","203.89","233.00"
"Hourly","PH19021323","198.84","310.00"
"Hourly","PH19021400","192.03","250.00"
"Block","PB19021400-01","197.56","210.00"
"Hourly","PH19021401","200.00","350.00"
"Block","PB19021401-01","243.47","250.99"
"Block","PB19021402-01","200.83","221.00"
"Hourly","PH19021402","194.97","330.00"
"Block","PB19021403-01","200.99","210.80"
"Hourly","PH19021403","161.31","330.00"
"Block","PB19021404-01","154.05","159.92"
"Hourly","PH19021404","116.00","999.00"
"Hourly","PH19021405","160.00","500.00"
"Block","PB19021405-01","174.36","184.61"
"Block","PB19021406-06","284.00","284.00"
"Block","PB19021406-01","200.39","202.30"
"Hourly","PH19021406","172.00","999.00"
"Hourly","PH19021407","268.72","900.00"
"Block","PB19021407-01","275.49","291.00"
"Hourly","PH19021408","313.00","385.00"
"Block","PB19021408-01","314.09","324.69"
"Hourly","PH19021409","291.00","375.00"
"Block","PB19021409-01","298.40","318.12"
"Block","PB19021410-01","298.76","317.99"
"Hourly","PH19021410","291.00","375.00"
"Block","PB19021411-05","0.00","0.00"
"Block","PB19021411-06","284.00","284.00"
"Block","PB19021411-01","319.12","333.23"
"Hourly","PH19021411","310.94","999.00"
"Hourly","PH19021412","252.19","999.00"
"Block","PB19021412-01","259.14","277.97"
"Block","PB19021413-05","340.00","340.00"
"Hourly","PH19021413","247.05","999.00"
"Block","PB19021413-01","263.18","273.98"
"Block","PB19021414-01","275.93","278.77"
"Hourly","PH19021414","176.99","1,999.00"
"Hourly","PH19021415","200.00","676.77"
"Block","PB19021415-01","200.00","278.77"
"Hourly","PH19021416","294.72","380.00"
"Block","PB19021416-01","302.09","308.00"
"Hourly","PH19021417","300.49","1,999.00"
"Block","PB19021417-01","318.69","338.29"
"Hourly","PH19021418","300.59","392.18"
"Block","PB19021418-02","300.11","300.11"
"Block","PB19021418-01","318.78","336.00"
"Block","PB19021419-01","280.00","286.99"
"Hourly","PH19021419","261.57","360.00"
"Hourly","PH19021420","285.84","380.00"
"Block","PB19021420-01","301.02","306.42"
"Block","PB19021420-04","289.70","289.70"
"Block","PB19021421-03","284.50","284.50"
"Block","PB19021421-01","300.00","309.00"
"Hourly","PH19021421","280.97","380.00"
"Hourly","PH19021422","258.44","999.00"
"Block","PB19021422-01","270.00","276.77"
"Block","PB19021423-01","276.71","282.22"
"Hourly","PH19021423","258.68","500.03"
"Block","PB19021500-24","0.00","0.00"
"Hourly","PH19021500","145.05","300.00"
"Block","PB19021500-01","149.01","163.50"
"Block","PB19021500-18","256.23","256.23"
"Block","PB19021501-01","40.00","258.97"
"Hourly","PH19021501","226.14","350.00"
"Hourly","PH19021502","177.00","300.00"
"Block","PB19021502-01","40.00","229.00"
"Block","PB19021503-01","40.00","300.00"
"Hourly","PH19021503","170.00","300.00"
