"","make","pass_local","pass_imp","pass_total","lcv_local","lcv_imp","lcv_total","total_local","total_imp","total_total","year","month"
"480","DACIA",0,4.282,4.282,0,125,125,0,4.407,4.407,2020,7
"481","DS",0,80,80,0,0,0,0,80,80,2020,7
"482","FERRARI",0,2,2,0,0,0,0,2,2,2020,7
"483","FIAT",12.161,102,12.263,3.892,795,4.687,16.053,897,16.95,2020,7
"484","FORD",346,3.098,3.444,7.546,72,7.618,7.892,3.17,11.062,2020,7
"485","HONDA",1.903,298,2.201,0,0,0,1.903,298,2.201,2020,7
"486","HYUNDAI",650,2.465,3.115,0,0,0,650,2.465,3.115,2020,7
"487","INFINITI",0,0,0,0,0,0,0,0,0,2020,7
"488","ISUZU",0,0,0,24,4,28,24,4,28,2020,7
"489","IVECO",0,0,0,0,129,129,0,129,129,2020,7
"490","JAGUAR",0,7,7,0,0,0,0,7,7,2020,7
"491","JEEP",0,713,713,0,0,0,0,713,713,2020,7
"492","KARSAN",0,0,0,56,0,56,56,0,56,2020,7
"493","KIA",0,1.379,1.379,0,83,83,0,1.462,1.462,2020,7
"494","LAMBORGHINI",0,3,3,0,0,0,0,3,3,2020,7
"495","LAND ROVER",0,134,134,0,0,0,0,134,134,2020,7
"496","LEXUS",0,22,22,0,0,0,0,22,22,2020,7
"497","MASERATI",0,6,6,0,0,0,0,6,6,2020,7
"498","MAZDA",0,20,20,0,0,0,0,20,20,2020,7
"499","MERCEDES-BENZ",0,1.257,1.257,0,433,433,0,1.69,1.69,2020,7
"500","MINI",0,37,37,0,0,0,0,37,37,2020,7
"501","MITSUBISHI",0,273,273,0,1.084,1.084,0,1.357,1.357,2020,7
"502","NISSAN",0,770,770,0,2,2,0,772,772,2020,7
"503","OPEL",0,4.233,4.233,0,336,336,0,4.569,4.569,2020,7
"504","PEUGEOT",0,2.929,2.929,0,431,431,0,3.36,3.36,2020,7
"505","PORSCHE",0,42,42,0,0,0,0,42,42,2020,7
"506","RENAULT",9.96,1.229,11.189,0,271,271,9.96,1.5,11.46,2020,7
"507","SEAT",0,1.567,1.567,0,0,0,0,1.567,1.567,2020,7
"508","SKODA",0,2.599,2.599,0,0,0,0,2.599,2.599,2020,7
"509","SMART",0,2,2,0,0,0,0,2,2,2020,7
"510","SSANGYONG",0,1,1,0,39,39,0,40,40,2020,7
"511","SUBARU",0,83,83,0,0,0,0,83,83,2020,7
"512","SUZUKI",0,275,275,0,0,0,0,275,275,2020,7
"513","TOYOTA",2.89,280,3.17,0,90,90,2.89,370,3.26,2020,7
"514","VOLKSWAGEN",0,4.589,4.589,0,2.151,2.151,0,6.74,6.74,2020,7
"515","VOLVO",0,1.545,1.545,0,0,0,0,1.545,1.545,2020,7
"516",NA,0,0,0,0,0,0,0,0,0,2020,7
"517","ALFA ROMEO",0,29,29,0,0,0,0,29,29,2020,7
"518","ASTON MARTIN",0,5,5,0,0,0,0,5,5,2020,8
"519","AUDI",0,2.617,2.617,0,0,0,0,2.617,2.617,2020,8
"520","BENTLEY",0,0,0,0,0,0,0,0,0,2020,8
"521","BMW",0,2.124,2.124,0,0,0,0,2.124,2.124,2020,8
"522","CITROEN",0,905,905,0,600,600,0,1.505,1.505,2020,8
"523","DACIA",0,930,930,0,54,54,0,984,984,2020,8
"524","DS",0,52,52,0,0,0,0,52,52,2020,8
"525","FERRARI",0,2,2,0,0,0,0,2,2,2020,8
"526","FIAT",8.16,131,8.291,4.756,422,5.178,12.916,553,13.469,2020,8
"527","FORD",437,2.08,2.517,5.982,115,6.097,6.419,2.195,8.614,2020,8
"528","HONDA",955,267,1.222,0,0,0,955,267,1.222,2020,8
"529","HYUNDAI",319,2.225,2.544,0,108,108,319,2.333,2.652,2020,8
"530","INFINITI",0,0,0,0,0,0,0,0,0,2020,8
"531","ISUZU",0,0,0,11,1,12,11,1,12,2020,8
"532","IVECO",0,0,0,0,183,183,0,183,183,2020,8
"533","JAGUAR",0,15,15,0,0,0,0,15,15,2020,8
"534","JEEP",0,279,279,0,0,0,0,279,279,2020,8
"535","KARSAN",0,0,0,94,0,94,94,0,94,2020,8
"536","KIA",0,1.317,1.317,0,264,264,0,1.581,1.581,2020,8
"537","LAMBORGHINI",0,2,2,0,0,0,0,2,2,2020,8
"538","LAND ROVER",0,128,128,0,0,0,0,128,128,2020,8
"539","LEXUS",0,14,14,0,0,0,0,14,14,2020,8
"540","MASERATI",0,4,4,0,0,0,0,4,4,2020,8
"541","MAZDA",0,16,16,0,0,0,0,16,16,2020,8
"542","MERCEDES-BENZ",0,1.229,1.229,0,628,628,0,1.857,1.857,2020,8
"543","MINI",0,191,191,0,0,0,0,191,191,2020,8
"544","MITSUBISHI",0,78,78,0,1.185,1.185,0,1.263,1.263,2020,8
"545","NISSAN",0,2.16,2.16,0,1,1,0,2.161,2.161,2020,8
"546","OPEL",0,803,803,0,303,303,0,1.106,1.106,2020,8
"547","PEUGEOT",0,1.341,1.341,0,396,396,0,1.737,1.737,2020,8
"548","PORSCHE",0,11,11,0,0,0,0,11,11,2020,8
"549","RENAULT",4.013,241,4.254,0,115,115,4.013,356,4.369,2020,8
"550","SEAT",0,1.417,1.417,0,0,0,0,1.417,1.417,2020,8
"551","SKODA",0,1.839,1.839,0,0,0,0,1.839,1.839,2020,8
"552","SMART",0,0,0,0,0,0,0,0,0,2020,8
"553","SSANGYONG",0,72,72,0,7,7,0,79,79,2020,8
"554","SUBARU",0,96,96,0,0,0,0,96,96,2020,8
"555","SUZUKI",0,175,175,0,0,0,0,175,175,2020,8
"556","TOYOTA",2.608,119,2.727,0,58,58,2.608,177,2.785,2020,8
"557","VOLKSWAGEN",0,4.459,4.459,0,1.878,1.878,0,6.337,6.337,2020,8
"558","VOLVO",0,507,507,0,0,0,0,507,507,2020,8
"559",NA,0,0,0,0,0,0,0,0,0,2020,8
"560","TOTAL",16.492,27.88,44.372,10.843,6.318,17.161,27.335,34.198,61.533,2020,8
