"Contract Type","Contract Name","Bid Quantity (MWh)","Offer Quantity (MWh)"
"Block","PB19020903-01","68.80","68.80"
"Hourly","PH19020904","576.60","342.30"
"Block","PB19020904-01","80.10","80.10"
"Block","PB19020905-01","95.90","95.90"
"Hourly","PH19020905","529.00","355.50"
"Hourly","PH19020906","15,029.60","1,673.80"
"Block","PB19020906-18","3.80","3.80"
"Block","PB19020906-01","80.10","74.50"
"Hourly","PH19020907","13,200.00","14,449.10"
"Block","PB19020907-01","109.80","109.80"
"Block","PB19020908-01","109.00","109.00"
"Hourly","PH19020908","284.40","629.10"
"Hourly","PH19020909","1,835.10","793.40"
"Block","PB19020909-01","117.40","128.40"
"Block","PB19020910-01","158.30","158.30"
"Hourly","PH19020910","481.10","898.50"
"Hourly","PH19020911","797.80","634.30"
"Block","PB19020911-01","121.00","121.00"
"Block","PB19020912-01","152.20","152.20"
"Hourly","PH19020912","387.30","581.80"
"Block","PB19020913-06","110.00","85.00"
"Hourly","PH19020913","12,126.00","705.00"
"Block","PB19020913-01","133.80","133.80"
"Hourly","PH19020914","5,726.30","767.60"
"Block","PB19020914-01","121.90","121.90"
"Block","PB19020915-09","0.60","0.60"
"Hourly","PH19020915","496.70","619.80"
"Block","PB19020915-01","106.60","106.60"
"Hourly","PH19020916","623.30","1,110.10"
"Block","PB19020916-01","86.80","86.80"
"Block","PB19020916-05","17.70","17.70"
"Block","PB19020917-01","56.70","56.70"
"Hourly","PH19020917","669.70","926.00"
"Hourly","PH19020918","962.60","763.60"
"Block","PB19020918-01","73.40","73.40"
"Block","PB19020919-01","89.50","89.50"
"Hourly","PH19020919","905.50","725.80"
"Hourly","PH19020920","619.20","713.00"
"Block","PB19020920-01","97.00","97.00"
"Hourly","PH19020921","785.10","672.10"
"Block","PB19020921-01","130.30","130.30"
"Hourly","PH19020922","557.90","20,245.70"
"Block","PB19020922-01","173.50","173.50"
"Block","PB19020923-01","101.20","101.20"
"Hourly","PH19020923","1,025.10","24,072.40"
"Hourly","PH19021000","280.00","111.20"
"Block","PB19021000-24","2.00","2.00"
"Block","PB19021000-08","0.90","0.90"
"Block","PB19021000-01","44.90","46.90"
"Block","PB19021001-01","96.10","96.10"
"Hourly","PH19021001","7,974.90","389.30"
"Hourly","PH19021002","1,962.20","293.10"
"Block","PB19021002-01","60.40","60.40"
"Block","PB19021003-01","66.90","66.90"
"Hourly","PH19021003","790.70","409.00"
"Hourly","PH19021004","476.60","1,436.30"
"Block","PB19021004-01","56.60","56.60"
"Block","PB19021005-01","70.20","70.20"
"Hourly","PH19021005","450.70","1,909.40"
"Hourly","PH19021006","2,873.00","2,016.90"
"Block","PB19021006-01","90.90","90.90"
"Hourly","PH19021007","3,066.20","2,447.20"
"Block","PB19021007-01","78.80","78.80"
"Block","PB19021008-01","68.70","65.80"
"Block","PB19021008-16","0.40","0.40"
"Hourly","PH19021008","11,208.40","96.10"
"Block","PB19021009-01","108.80","103.30"
"Hourly","PH19021009","12,740.30","646.00"
"Hourly","PH19021010","13,594.00","165.00"
"Block","PB19021010-01","71.40","71.40"
"Block","PB19021011-01","62.00","62.00"
"Hourly","PH19021011","8,040.50","402.90"
"Hourly","PH19021012","12,251.40","692.60"
"Block","PB19021012-01","52.50","55.20"
"Hourly","PH19021013","10,706.70","664.40"
"Block","PB19021013-01","51.40","51.40"
"Block","PB19021014-01","44.70","44.70"
"Hourly","PH19021014","10,668.70","603.40"
"Block","PB19021015-01","46.60","46.60"
"Hourly","PH19021015","10,241.50","587.50"
"Block","PB19021016-01","49.60","49.30"
"Hourly","PH19021016","5,474.30","1,560.00"
"Hourly","PH19021017","6,576.30","890.30"
"Block","PB19021017-01","46.60","46.60"
"Hourly","PH19021018","6,001.10","497.70"
"Block","PB19021018-01","51.70","51.70"
"Block","PB19021018-04","40.00","40.00"
"Hourly","PH19021019","1,909.70","394.90"
"Block","PB19021019-01","78.90","78.90"
"Block","PB19021019-05","1.00","1.00"
"Block","PB19021020-01","61.90","61.90"
"Hourly","PH19021020","3,049.50","425.10"
"Block","PB19021021-01","56.20","56.20"
"Hourly","PH19021021","3,094.60","359.50"
"Hourly","PH19021022","3,485.70","393.30"
"Block","PB19021022-01","56.20","56.20"
"Block","PB19021023-01","63.20","63.20"
"Hourly","PH19021023","1,962.00","551.10"
"Block","PB19021100-02","0.50","0.50"
"Block","PB19021100-24","4.00","4.00"
"Hourly","PH19021100","193.70","329.90"
"Block","PB19021100-01","40.50","40.50"
"Hourly","PH19021101","538.20","221.50"
"Block","PB19021101-01","38.40","38.40"
"Hourly","PH19021102","937.60","239.80"
"Block","PB19021102-01","39.70","39.70"
"Block","PB19021103-05","0.50","0.50"
"Block","PB19021103-01","50.80","50.80"
"Block","PB19021103-04","20.00","20.00"
"Hourly","PH19021103","5,134.60","450.40"
"Hourly","PH19021104","493.20","450.60"
"Block","PB19021104-01","58.00","58.00"
"Hourly","PH19021105","1,427.30","2,446.70"
"Block","PB19021105-01","70.80","70.80"
"Hourly","PH19021106","329.40","4,199.30"
"Block","PB19021106-01","73.60","73.60"
"Hourly","PH19021107","539.60","1,653.90"
"Block","PB19021107-01","85.50","85.50"
"Block","PB19021108-01","92.40","188.70"
"Block","PB19021108-04","3.00","3.00"
"Block","PB19021108-16","4.00","4.00"
"Hourly","PH19021108","368.80","5,092.20"
"Hourly","PH19021109","547.10","3,503.90"
"Block","PB19021109-01","87.40","87.40"
"Hourly","PH19021110","859.60","745.70"
"Block","PB19021110-01","57.70","57.70"
"Hourly","PH19021111","813.10","2,353.10"
"Block","PB19021111-03","1.00","0.50"
"Block","PB19021111-01","53.50","53.00"
"Hourly","PH19021112","2,772.00","1,625.70"
"Block","PB19021112-01","88.60","88.60"
"Block","PB19021113-01","258.30","318.30"
"Hourly","PH19021113","5,943.60","1,483.00"
"Hourly","PH19021114","4,861.90","2,214.20"
"Block","PB19021114-01","265.10","320.10"
"Hourly","PH19021115","8,026.70","1,542.20"
"Block","PB19021115-01","475.70","575.70"
"Hourly","PH19021116","1,993.60","1,477.50"
"Block","PB19021116-01","294.40","416.40"
"Block","PB19021117-05","0.00","50.00"
"Hourly","PH19021117","3,252.20","1,399.00"
"Block","PB19021117-01","268.70","318.70"
"Hourly","PH19021118","6,450.30","1,367.40"
"Block","PB19021118-01","101.90","101.90"
"Block","PB19021119-01","170.80","170.80"
"Hourly","PH19021119","3,758.70","1,232.40"
"Block","PB19021120-04","0.00","33.00"
"Hourly","PH19021120","3,478.80","1,466.10"
"Block","PB19021120-01","82.40","82.40"
"Hourly","PH19021121","4,359.90","1,065.40"
"Block","PB19021121-01","88.60","88.60"
"Hourly","PH19021122","4,263.70","1,133.80"
"Block","PB19021122-01","82.90","82.90"
"Block","PB19021123-01","81.30","81.30"
"Hourly","PH19021123","7,025.20","1,266.50"
"Block","PB19021200-01","79.80","79.80"
"Hourly","PH19021200","263.10","200.40"
"Block","PB19021200-07","151.00","151.00"
"Block","PB19021201-01","92.50","92.50"
"Hourly","PH19021201","381.00","181.50"
"Block","PB19021202-01","77.00","77.00"
"Hourly","PH19021202","286.50","248.30"
"Hourly","PH19021203","219.00","599.90"
"Block","PB19021203-01","67.10","67.10"
"Hourly","PH19021204","231.20","397.30"
"Block","PB19021204-01","86.60","86.60"
"Block","PB19021205-01","70.00","70.00"
"Hourly","PH19021205","172.10","463.10"
"Block","PB19021206-01","87.40","87.40"
"Hourly","PH19021206","417.90","376.70"
"Block","PB19021207-01","85.20","85.20"
"Hourly","PH19021207","1,906.60","1,114.40"
"Block","PB19021208-01","66.30","66.30"
"Hourly","PH19021208","20,025.90","651.80"
"Block","PB19021209-11","6.00","0.00"
"Block","PB19021209-01","58.20","58.20"
"Hourly","PH19021209","4,051.90","327.10"
"Hourly","PH19021210","3,416.90","503.50"
"Block","PB19021210-01","46.10","46.10"
"Block","PB19021211-01","178.70","178.70"
"Hourly","PH19021211","4,636.70","556.80"
"Block","PB19021212-01","112.20","105.80"
"Hourly","PH19021212","4,993.40","1,047.10"
"Block","PB19021213-01","83.40","83.40"
"Hourly","PH19021213","5,575.70","1,471.50"
"Block","PB19021214-01","61.80","61.80"
"Hourly","PH19021214","13,631.90","1,408.40"
"Block","PB19021215-01","142.40","142.40"
"Hourly","PH19021215","18,631.80","976.00"
"Block","PB19021216-01","78.20","78.20"
"Hourly","PH19021216","10,426.00","1,109.80"
"Block","PB19021217-02","18.00","18.00"
"Block","PB19021217-01","82.90","82.90"
"Hourly","PH19021217","3,231.20","834.90"
"Hourly","PH19021218","3,386.40","725.90"
"Block","PB19021218-01","90.90","90.90"
"Block","PB19021219-01","94.30","94.30"
"Hourly","PH19021219","3,525.30","848.20"
"Block","PB19021220-01","71.20","71.20"
"Block","PB19021220-04","3.00","0.00"
"Hourly","PH19021220","4,624.40","821.40"
"Block","PB19021221-01","85.30","85.30"
"Hourly","PH19021221","6,497.60","472.90"
"Block","PB19021222-01","104.80","104.80"
"Hourly","PH19021222","6,617.90","423.90"
"Block","PB19021223-01","126.60","126.60"
"Hourly","PH19021223","782.00","994.80"
"Hourly","PH19021300","430.40","684.20"
"Block","PB19021300-08","3.00","0.00"
"Block","PB19021300-01","64.40","64.40"
"Hourly","PH19021301","9,520.40","538.80"
"Block","PB19021301-01","68.90","67.90"
"Hourly","PH19021302","766.30","795.10"
"Block","PB19021302-01","66.20","66.20"
"Block","PB19021303-01","95.00","89.00"
"Hourly","PH19021303","679.30","589.30"
"Block","PB19021304-01","113.90","113.90"
"Hourly","PH19021304","727.60","617.70"
"Hourly","PH19021305","1,725.10","443.70"
"Block","PB19021305-01","115.30","115.30"
"Block","PB19021306-01","120.70","120.70"
"Hourly","PH19021306","6,339.40","590.40"
"Block","PB19021307-01","127.10","127.10"
"Hourly","PH19021307","601.50","3,276.50"
"Hourly","PH19021308","1,349.70","372.00"
"Block","PB19021308-05","3.00","3.00"
"Block","PB19021308-01","88.00","88.00"
"Hourly","PH19021309","1,353.20","244.40"
"Block","PB19021309-01","84.10","84.10"
"Block","PB19021310-01","64.00","64.00"
"Hourly","PH19021310","1,600.70","333.70"
"Block","PB19021311-01","79.60","79.60"
"Hourly","PH19021311","1,821.40","476.70"
"Block","PB19021312-01","186.20","86.20"
"Hourly","PH19021312","3,536.70","495.90"
"Block","PB19021313-01","191.60","91.60"
"Hourly","PH19021313","3,712.50","710.40"
"Block","PB19021314-01","108.20","108.20"
"Hourly","PH19021314","5,806.30","461.80"
"Block","PB19021315-01","143.50","143.50"
"Hourly","PH19021315","3,729.50","642.00"
"Hourly","PH19021316","3,597.00","428.60"
"Block","PB19021316-01","349.20","345.20"
"Hourly","PH19021317","1,264.10","348.80"
"Block","PB19021317-05","630.00","630.00"
"Block","PB19021317-01","319.40","296.40"
"Block","PB19021317-03","3.00","3.00"
"Hourly","PH19021318","782.30","401.20"
"Block","PB19021318-01","255.10","255.10"
"Block","PB19021319-01","303.00","303.00"
"Hourly","PH19021319","809.20","367.20"
"Block","PB19021319-05","60.00","60.00"
"Hourly","PH19021320","973.40","446.60"
"Block","PB19021320-02","1.00","1.00"
"Block","PB19021320-01","190.10","188.90"
"Hourly","PH19021321","1,176.50","797.20"
"Block","PB19021321-01","111.80","111.80"
"Block","PB19021321-02","18.00","18.00"
"Hourly","PH19021322","2,240.90","591.50"
"Block","PB19021322-01","239.60","239.60"
"Block","PB19021323-01","120.80","120.80"
"Hourly","PH19021323","3,390.80","388.60"
"Hourly","PH19021400","577.30","317.90"
"Block","PB19021400-01","44.50","44.50"
"Hourly","PH19021401","605.20","481.40"
"Block","PB19021401-01","89.00","89.00"
"Block","PB19021402-01","77.70","77.00"
"Hourly","PH19021402","770.10","480.90"
"Block","PB19021403-01","89.60","89.60"
"Hourly","PH19021403","559.00","527.60"
"Block","PB19021404-01","95.20","95.20"
"Hourly","PH19021404","566.20","691.00"
"Hourly","PH19021405","593.40","437.40"
"Block","PB19021405-01","100.00","100.00"
"Block","PB19021406-06","0.00","1.20"
"Block","PB19021406-01","88.30","88.30"
"Hourly","PH19021406","415.40","408.90"
"Hourly","PH19021407","731.60","573.00"
"Block","PB19021407-01","88.90","88.90"
"Hourly","PH19021408","618.70","2,917.40"
"Block","PB19021408-01","109.50","109.50"
"Hourly","PH19021409","612.70","3,287.80"
"Block","PB19021409-01","96.90","79.20"
"Block","PB19021410-01","104.00","104.00"
"Hourly","PH19021410","1,071.60","702.10"
"Block","PB19021411-05","10.00","0.00"
"Block","PB19021411-06","1.20","1.20"
"Block","PB19021411-01","135.30","135.30"
"Hourly","PH19021411","2,525.60","849.20"
"Hourly","PH19021412","1,458.20","895.20"
"Block","PB19021412-01","121.90","121.90"
"Block","PB19021413-05","0.10","1.10"
"Hourly","PH19021413","1,579.60","1,163.10"
"Block","PB19021413-01","131.80","131.80"
"Block","PB19021414-01","118.20","118.20"
"Hourly","PH19021414","10,035.60","1,258.70"
"Hourly","PH19021415","10,195.70","1,293.50"
"Block","PB19021415-01","115.70","115.70"
"Hourly","PH19021416","1,856.30","869.20"
"Block","PB19021416-01","98.80","98.80"
"Hourly","PH19021417","1,480.50","651.90"
"Block","PB19021417-01","112.30","112.30"
"Hourly","PH19021418","1,622.30","541.80"
"Block","PB19021418-02","0.80","0.80"
"Block","PB19021418-01","121.60","115.00"
"Block","PB19021419-01","150.90","150.90"
"Hourly","PH19021419","523.40","516.50"
"Hourly","PH19021420","1,496.90","795.90"
"Block","PB19021420-01","142.80","142.80"
"Block","PB19021420-04","0.90","0.90"
"Block","PB19021421-03","1.20","0.60"
"Block","PB19021421-01","150.60","150.60"
"Hourly","PH19021421","1,773.40","6,466.80"
"Hourly","PH19021422","1,969.80","482.50"
"Block","PB19021422-01","81.60","81.60"
"Block","PB19021423-01","109.80","109.80"
"Hourly","PH19021423","2,263.80","433.70"
"Block","PB19021500-24","1.00","0.00"
"Hourly","PH19021500","784.10","465.50"
"Block","PB19021500-01","124.20","123.80"
"Block","PB19021500-18","0.80","0.80"
"Block","PB19021501-01","101.20","101.20"
"Hourly","PH19021501","1,290.40","123.70"
"Hourly","PH19021502","1,123.40","141.50"
"Block","PB19021502-01","139.40","139.40"
"Block","PB19021503-01","94.40","94.40"
"Hourly","PH19021503","1,636.50","129.70"
"Hourly","PH19021504","478.10","452.60"
"Block","PB19021504-01","89.80","89.80"
"Hourly","PH19021505","1,633.70","149.80"
"Block","PB19021505-01","123.30","123.30"
"Block","PB19021506-01","114.10","114.10"
"Hourly","PH19021506","1,616.50","336.50"
"Block","PB19021506-04","0.20","0.20"
"Block","PB19021507-01","86.90","86.90"
"Hourly","PH19021507","2,059.40","654.70"
"Block","PB19021508-01","92.10","92.10"
"Hourly","PH19021508","3,428.10","146.00"
"Block","PB19021509-01","150.10","150.10"
"Hourly","PH19021509","3,770.20","190.70"
"Hourly","PH19021510","4,150.00","273.60"
"Block","PB19021510-01","164.10","148.30"
"Block","PB19021511-01","166.20","143.40"
"Hourly","PH19021511","4,901.60","498.50"
"Hourly","PH19021512","7,359.60","585.50"
"Block","PB19021512-01","203.30","153.30"
"Block","PB19021513-01","236.80","183.80"
"Hourly","PH19021513","3,802.20","768.70"
"Hourly","PH19021514","9,504.60","550.70"
"Block","PB19021514-01","144.90","144.90"
"Hourly","PH19021515","10,517.20","937.40"
"Block","PB19021515-01","171.70","171.70"
"Hourly","PH19021516","885.20","638.60"
"Block","PB19021516-01","167.30","147.30"
"Block","PB19021517-04","7.50","0.00"
"Hourly","PH19021517","848.50","783.40"
"Block","PB19021517-01","143.30","143.30"
"Block","PB19021518-01","131.90","131.90"
"Block","PB19021518-03","44.80","22.30"
"Block","PB19021518-04","0.70","0.70"
"Hourly","PH19021518","1,167.90","1,143.20"
"Block","PB19021519-01","118.80","118.80"
"Hourly","PH19021519","1,162.20","1,053.00"
"Block","PB19021520-01","117.00","117.00"
"Hourly","PH19021520","4,368.90","901.50"
"Hourly","PH19021521","16,486.80","836.00"
"Block","PB19021521-01","163.90","163.90"
"Hourly","PH19021522","6,776.70","812.20"
"Block","PB19021522-01","136.80","136.80"
"Block","PB19021522-02","18.50","18.50"
"Hourly","PH19021523","8,087.40","932.30"
"Block","PB19021523-01","127.90","127.90"
"Block","PB19021600-01","56.20","56.20"
"Hourly","PH19021600","714.50","463.70"
"Block","PB19021601-01","58.70","58.70"
"Hourly","PH19021601","11,549.60","462.60"
"Block","PB19021602-01","53.00","52.00"
"Hourly","PH19021602","758.50","503.60"
"Hourly","PH19021603","877.40","522.00"
"Block","PB19021603-01","63.00","63.00"
"Hourly","PH19021604","653.20","710.30"
"Block","PB19021604-01","67.10","66.10"
"Block","PB19021605-01","55.20","54.20"
"Hourly","PH19021605","743.30","775.10"
"Block","PB19021606-01","57.50","56.50"
"Hourly","PH19021606","711.10","459.00"
"Block","PB19021607-03","1.00","1.00"
"Hourly","PH19021607","868.90","1,062.90"
"Block","PB19021607-01","69.60","73.60"
"Block","PB19021608-01","66.70","65.70"
"Hourly","PH19021608","5,592.80","719.00"
"Hourly","PH19021609","838.50","796.00"
"Block","PB19021609-01","87.50","86.50"
"Block","PB19021610-05","20.00","0.00"
"Hourly","PH19021610","600.50","2,721.90"
"Block","PB19021610-01","90.00","90.00"
"Block","PB19021611-01","83.40","83.40"
"Hourly","PH19021611","659.50","2,810.80"
"Block","PB19021612-01","50.50","49.00"
"Hourly","PH19021612","650.60","3,790.50"
"Block","PB19021613-01","93.20","93.20"
"Hourly","PH19021613","643.70","4,132.00"
"Block","PB19021614-01","331.00","331.00"
"Hourly","PH19021614","812.10","3,861.30"
"Block","PB19021615-01","330.20","330.20"
"Hourly","PH19021615","790.60","1,011.90"
"Block","PB19021616-01","240.70","240.70"
"Hourly","PH19021616","1,059.00","825.90"
"Block","PB19021617-01","141.90","140.60"
"Hourly","PH19021617","784.30","774.50"
"Hourly","PH19021618","5,792.10","351.50"
"Block","PB19021618-01","135.60","133.60"
"Block","PB19021619-01","177.00","175.50"
"Hourly","PH19021619","7,107.20","291.60"
"Block","PB19021620-02","6.40","6.40"
"Block","PB19021620-01","176.90","164.90"
"Hourly","PH19021620","6,954.50","284.60"
"Block","PB19021621-01","135.90","123.90"
"Hourly","PH19021621","6,819.20","245.90"
"Block","PB19021622-02","17.40","17.40"
"Block","PB19021622-01","150.00","116.80"
"Hourly","PH19021622","7,240.80","193.30"
"Hourly","PH19021623","6,423.90","1,252.50"
"Block","PB19021623-01","125.80","123.80"
"Block","PB19021700-01","85.00","85.00"
"Hourly","PH19021700","930.00","997.70"
"Block","PB19021701-01","147.10","147.10"
"Hourly","PH19021701","5,723.80","697.70"
"Block","PB19021702-01","81.60","81.60"
"Hourly","PH19021702","742.60","444.40"
"Block","PB19021703-01","101.30","101.30"
"Hourly","PH19021703","939.30","467.00"
"Hourly","PH19021704","1,136.90","206.30"
"Block","PB19021704-01","107.00","104.90"
"Hourly","PH19021705","1,023.20","171.90"
"Block","PB19021705-01","90.50","90.50"
"Hourly","PH19021706","2,902.50","194.40"
"Block","PB19021706-01","91.40","91.40"
"Hourly","PH19021707","7,421.20","158.30"
"Block","PB19021707-01","83.50","83.50"
"Block","PB19021708-01","83.90","76.90"
"Hourly","PH19021708","12,875.60","144.30"
"Block","PB19021709-01","110.30","103.80"
"Hourly","PH19021709","1,951.50","438.80"
"Hourly","PH19021710","12,265.40","176.30"
"Block","PB19021710-01","91.20","91.20"
"Hourly","PH19021711","21,275.00","335.20"
"Block","PB19021711-01","82.70","82.70"
"Block","PB19021712-01","84.30","83.10"
"Hourly","PH19021712","19,107.50","216.00"
"Hourly","PH19021713","18,331.20","354.80"
"Block","PB19021713-01","71.90","71.90"
"Hourly","PH19021714","18,025.80","278.40"
"Block","PB19021714-01","67.80","67.80"
"Block","PB19021715-01","79.40","79.40"
"Hourly","PH19021715","18,005.80","273.70"
"Block","PB19021716-03","1.00","1.00"
"Block","PB19021716-01","117.60","117.60"
"Hourly","PH19021716","8,210.80","1,287.00"
"Hourly","PH19021717","2,546.20","190.90"
"Block","PB19021717-01","134.90","134.90"
"Block","PB19021718-06","0.10","0.10"
"Block","PB19021718-01","134.70","128.70"
"Hourly","PH19021718","4,055.30","223.10"
"Hourly","PH19021719","4,437.90","233.30"
"Block","PB19021719-01","108.00","107.00"
"Block","PB19021720-01","107.50","106.20"
"Hourly","PH19021720","4,349.30","145.30"
"Block","PB19021721-01","396.50","71.40"
"Block","PB19021721-02","11.00","11.00"
"Hourly","PH19021721","5,723.20","178.50"
"Hourly","PH19021722","5,353.20","230.70"
"Block","PB19021722-01","414.70","84.20"
"Block","PB19021723-01","399.80","83.00"
"Hourly","PH19021723","3,444.00","760.80"
"Block","PB19021800-01","61.50","61.50"
"Hourly","PH19021800","373.80","641.30"
"Block","PB19021800-08","0.40","0.40"
"Block","PB19021801-01","71.90","71.90"
"Block","PB19021801-05","0.10","0.10"
"Hourly","PH19021801","4,207.60","384.90"
"Block","PB19021802-01","49.80","49.80"
"Hourly","PH19021802","2,728.40","488.50"
"Block","PB19021803-01","42.20","42.20"
"Hourly","PH19021803","2,962.20","541.70"
"Hourly","PH19021804","3,205.90","576.90"
"Block","PB19021804-01","48.10","48.10"
"Block","PB19021805-01","31.30","31.30"
"Hourly","PH19021805","3,416.30","543.70"
"Hourly","PH19021806","485.10","5,761.70"
"Block","PB19021806-01","74.40","74.40"
"Hourly","PH19021807","475.70","8,323.60"
"Block","PB19021807-01","68.50","72.20"
"Hourly","PH19021808","307.10","2,449.00"
"Block","PB19021808-16","0.00","0.50"
"Block","PB19021808-01","61.40","61.40"
"Block","PB19021809-01","68.50","68.50"
"Hourly","PH19021809","552.90","2,478.90"
"Block","PB19021810-01","57.70","57.70"
"Hourly","PH19021810","526.20","4,179.20"
"Hourly","PH19021811","638.80","1,233.20"
"Block","PB19021811-01","60.30","60.30"
"Hourly","PH19021812","1,311.60","1,064.10"
"Block","PB19021812-01","76.00","76.00"
"Block","PB19021813-01","86.20","86.20"
"Hourly","PH19021813","1,445.90","1,171.60"
"Block","PB19021814-01","92.50","92.50"
"Hourly","PH19021814","9,632.70","1,220.50"
"Block","PB19021815-01","85.50","86.00"
"Hourly","PH19021815","12,313.20","851.70"
"Block","PB19021816-01","58.40","58.40"
"Hourly","PH19021816","6,968.70","1,341.30"
"Block","PB19021817-01","188.80","131.10"
"Hourly","PH19021817","4,953.00","1,037.40"
"Block","PB19021818-01","98.60","111.20"
"Hourly","PH19021818","4,885.50","1,138.70"
"Hourly","PH19021819","6,259.90","1,252.60"
"Block","PB19021819-01","86.80","86.80"
"Hourly","PH19021820","7,033.80","1,199.60"
"Block","PB19021820-01","90.00","90.00"
"Block","PB19021821-01","96.70","96.20"
"Hourly","PH19021821","7,269.90","1,155.60"
"Block","PB19021822-01","123.10","122.60"
"Hourly","PH19021822","5,884.30","1,393.70"
"Hourly","PH19021823","6,411.70","1,550.90"
"Block","PB19021823-01","148.20","146.10"
"Block","PB19021900-01","103.50","99.00"
"Hourly","PH19021900","129.30","764.90"
"Block","PB19021901-01","133.90","128.50"
"Hourly","PH19021901","4,961.50","594.60"
"Block","PB19021902-01","135.80","113.40"
"Hourly","PH19021902","5,224.90","1,077.10"
"Block","PB19021903-01","124.80","105.60"
"Hourly","PH19021903","717.50","775.10"
"Block","PB19021904-01","126.40","112.40"
"Hourly","PH19021904","1,314.30","939.70"
"Block","PB19021905-01","145.50","132.50"
"Hourly","PH19021905","1,555.60","1,057.80"
"Block","PB19021906-01","137.60","140.30"
"Hourly","PH19021906","3,550.30","1,634.70"
"Block","PB19021907-01","224.90","199.10"
"Hourly","PH19021907","2,178.60","1,574.30"
"Block","PB19021908-01","171.60","171.60"
"Hourly","PH19021908","2,299.10","788.00"
"Block","PB19021909-01","158.80","158.70"
"Hourly","PH19021909","2,474.90","844.30"
"Block","PB19021910-01","143.10","143.10"
"Hourly","PH19021910","3,768.10","888.20"
"Block","PB19021911-01","139.70","165.10"
"Hourly","PH19021911","17,281.30","1,007.60"
"Block","PB19021912-03","0.80","0.80"
"Block","PB19021912-01","122.60","122.40"
"Hourly","PH19021912","7,803.00","1,139.70"
"Block","PB19021913-01","119.40","119.40"
"Hourly","PH19021913","8,071.40","1,365.60"
"Block","PB19021914-01","138.30","158.30"
"Hourly","PH19021914","8,241.70","1,191.60"
"Block","PB19021915-01","153.50","153.40"
"Hourly","PH19021915","8,261.50","1,212.30"
"Block","PB19021916-03","0.00","13.00"
"Block","PB19021916-01","171.00","193.00"
"Hourly","PH19021916","8,550.00","1,099.90"
"Block","PB19021917-02","3.00","3.00"
"Block","PB19021917-01","210.50","157.30"
"Hourly","PH19021917","2,468.40","1,162.40"
"Block","PB19021918-01","196.50","207.50"
"Hourly","PH19021918","2,599.50","1,191.20"
"Block","PB19021919-05","0.00","6.50"
"Block","PB19021919-01","171.20","185.80"
"Hourly","PH19021919","2,554.20","1,064.50"
"Block","PB19021920-01","128.80","133.50"
"Hourly","PH19021920","2,502.80","1,152.60"
"Block","PB19021921-01","135.70","136.40"
"Hourly","PH19021921","2,473.10","851.20"
"Block","PB19021922-01","417.30","91.10"
"Hourly","PH19021922","2,692.60","1,182.60"
"Block","PB19021923-01","413.20","87.90"
"Hourly","PH19021923","4,197.60","1,002.60"
"Block","PB19022000-01","122.30","96.20"
"Hourly","PH19022000","566.50","379.20"
"Hourly","PH19022001","3,054.00","230.30"
"Block","PB19022001-01","430.90","105.70"
"Hourly","PH19022002","3,229.40","555.00"
"Block","PB19022002-01","82.20","81.00"
"Hourly","PH19022003","3,687.90","375.50"
"Block","PB19022003-01","73.30","71.90"
"Block","PB19022004-01","82.50","81.00"
"Hourly","PH19022004","454.60","460.10"
"Hourly","PH19022005","709.20","789.20"
"Block","PB19022005-01","86.10","84.60"
"Block","PB19022006-01","98.00","101.50"
"Hourly","PH19022006","898.60","1,037.00"
"Block","PB19022007-01","92.70","90.50"
"Hourly","PH19022007","1,386.10","277.40"
"Hourly","PH19022008","6,191.40","110.50"
"Block","PB19022008-01","88.60","87.20"
"Block","PB19022009-01","77.60","76.30"
"Hourly","PH19022009","7,601.30","137.00"
"Block","PB19022010-01","90.90","89.50"
"Hourly","PH19022010","6,388.10","380.20"
"Block","PB19022010-02","1.20","1.20"
"Block","PB19022011-01","132.80","131.60"
"Hourly","PH19022011","6,338.50","517.40"
"Block","PB19022012-01","360.40","112.80"
"Hourly","PH19022012","8,197.80","795.60"
"Hourly","PH19022013","9,123.60","536.00"
"Block","PB19022013-01","101.80","98.30"
"Block","PB19022014-01","160.30","100.50"
"Hourly","PH19022014","6,882.10","557.30"
"Block","PB19022015-01","118.90","117.40"
"Hourly","PH19022015","6,941.10","628.20"
"Block","PB19022016-01","324.50","129.80"
"Hourly","PH19022016","10,230.00","594.50"
"Hourly","PH19022017","17,800.90","818.90"
"Block","PB19022017-01","160.20","124.80"
"Block","PB19022018-01","525.80","143.60"
"Hourly","PH19022018","4,680.50","1,717.60"
"Block","PB19022019-01","908.60","147.90"
"Hourly","PH19022019","5,994.00","549.30"
"Block","PB19022020-01","522.90","120.50"
"Hourly","PH19022020","7,292.10","664.70"
"Hourly","PH19022021","8,144.60","515.70"
"Block","PB19022021-01","153.90","132.40"
"Hourly","PH19022022","3,206.60","460.30"
"Block","PB19022022-01","171.90","166.40"
"Block","PB19022023-01","134.10","134.10"
"Hourly","PH19022023","16,057.80","570.40"
"Block","PB19022100-01","795.80","60.90"
"Hourly","PH19022100","454.30","152.30"
"Block","PB19022101-01","125.40","125.40"
"Hourly","PH19022101","3,220.70","466.60"
"Block","PB19022102-01","74.20","74.20"
"Hourly","PH19022102","2,211.40","353.90"
"Block","PB19022103-01","63.70","63.70"
"Hourly","PH19022103","319.60","241.20"
"Block","PB19022104-01","62.90","62.90"
"Hourly","PH19022104","501.80","110.10"
