"Contract Type","Contract Name","Bid Quantity (MWh)","Offer Quantity (MWh)"
"Hourly","PH19010318","7,562.10","1,183.30"
"Block","PB19010319-01","85.80","81.50"
"Hourly","PH19010319","11,304.40","898.50"
"Block","PB19010320-01","125.20","120.40"
"Hourly","PH19010320","15,444.60","951.90"
"Block","PB19010321-01","120.10","120.10"
"Hourly","PH19010321","24,887.10","808.80"
"Block","PB19010322-01","90.70","113.80"
"Hourly","PH19010322","12,264.60","1,037.40"
"Block","PB19010323-01","103.30","103.30"
"Hourly","PH19010323","12,679.50","781.80"
"Hourly","PH19010400","429.60","455.10"
"Block","PB19010400-01","66.70","66.70"
"Hourly","PH19010401","423.30","526.00"
"Block","PB19010401-01","108.00","108.00"
"Block","PB19010402-01","88.30","88.30"
"Hourly","PH19010402","584.30","551.30"
"Hourly","PH19010403","855.50","1,112.30"
"Block","PB19010403-01","78.10","73.70"
"Block","PB19010404-01","86.80","75.50"
"Hourly","PH19010404","782.60","1,031.80"
"Block","PB19010404-02","3.00","3.00"
"Block","PB19010405-01","97.20","92.40"
"Hourly","PH19010405","554.70","497.30"
"Block","PB19010406-01","92.70","93.10"
"Hourly","PH19010406","331.20","864.50"
"Block","PB19010407-01","111.70","111.70"
"Hourly","PH19010407","285.20","914.20"
"Hourly","PH19010408","285.00","724.60"
"Block","PB19010408-01","93.50","94.00"
"Block","PB19010409-01","73.40","74.00"
"Hourly","PH19010409","366.00","595.40"
"Block","PB19010410-01","115.90","115.90"
"Hourly","PH19010410","657.60","510.60"
"Hourly","PH19010411","1,201.70","965.40"
"Block","PB19010411-01","115.80","116.70"
"Hourly","PH19010412","1,408.30","1,374.00"
"Block","PB19010412-01","56.40","56.40"
"Block","PB19010413-01","76.20","78.70"
"Hourly","PH19010413","1,489.40","1,340.90"
"Hourly","PH19010414","1,218.80","1,241.30"
"Block","PB19010414-01","62.90","62.90"
"Block","PB19010414-03","20.00","20.00"
"Block","PB19010415-01","68.30","75.30"
"Hourly","PH19010415","1,253.70","1,389.30"
"Block","PB19010416-01","71.50","75.50"
"Hourly","PH19010416","1,000.80","1,367.00"
"Hourly","PH19010417","1,330.10","1,611.60"
"Block","PB19010417-01","108.70","110.70"
"Block","PB19010417-02","20.00","20.00"
"Block","PB19010418-04","6.00","6.00"
"Block","PB19010418-02","4.40","4.40"
"Block","PB19010418-05","0.00","2.00"
"Block","PB19010418-01","116.60","116.60"
"Hourly","PH19010418","1,132.30","1,228.50"
"Hourly","PH19010419","979.40","1,626.50"
"Block","PB19010419-01","105.50","107.50"
"Block","PB19010419-05","0.30","0.30"
"Block","PB19010419-02","1.20","1.20"
"Hourly","PH19010420","911.20","1,768.10"
"Block","PB19010420-02","4.00","4.00"
"Block","PB19010420-01","114.30","112.30"
"Block","PB19010420-03","2.00","2.00"
"Block","PB19010421-03","19.00","19.00"
"Block","PB19010421-01","183.10","165.10"
"Hourly","PH19010421","803.60","1,630.00"
"Hourly","PH19010422","708.40","3,737.70"
"Block","PB19010422-02","0.10","0.10"
"Block","PB19010422-01","203.80","203.80"
"Block","PB19010423-01","232.90","227.90"
"Hourly","PH19010423","758.30","4,416.30"
"Block","PB19010500-01","78.30","78.30"
"Block","PB19010500-10","3.00","3.00"
"Block","PB19010500-24","0.40","0.40"
"Hourly","PH19010500","325.40","491.60"
"Block","PB19010501-01","81.20","81.20"
"Block","PB19010501-09","1.50","1.50"
"Hourly","PH19010501","394.20","504.40"
"Block","PB19010502-01","91.20","91.30"
"Block","PB19010502-22","0.20","0.20"
"Hourly","PH19010502","338.60","1,385.30"
"Block","PB19010503-01","96.60","96.60"
"Hourly","PH19010503","312.00","1,522.20"
"Block","PB19010504-01","83.50","83.50"
"Hourly","PH19010504","495.00","1,738.10"
"Block","PB19010505-01","59.50","59.50"
"Hourly","PH19010505","318.20","1,952.90"
"Block","PB19010506-01","86.00","86.00"
"Hourly","PH19010506","757.50","2,409.30"
"Block","PB19010507-01","112.80","112.80"
"Hourly","PH19010507","467.50","8,937.60"
"Block","PB19010508-16","0.10","0.10"
"Hourly","PH19010508","328.60","2,218.60"
"Block","PB19010508-15","0.00","8.30"
"Block","PB19010508-01","136.20","139.70"
"Block","PB19010508-04","0.00","8.30"
"Block","PB19010509-01","191.80","191.80"
"Block","PB19010509-02","6.00","6.00"
"Hourly","PH19010509","347.80","2,293.00"
"Hourly","PH19010510","329.60","2,027.90"
"Block","PB19010510-01","96.40","96.40"
"Block","PB19010511-03","40.00","40.00"
"Block","PB19010511-13","0.10","0.10"
"Block","PB19010511-08","1.40","1.40"
"Block","PB19010511-01","98.60","98.60"
"Hourly","PH19010511","353.60","2,207.70"
"Block","PB19010512-12","0.00","41.00"
"Block","PB19010512-04","0.00","8.30"
"Block","PB19010512-06","5.00","5.00"
"Block","PB19010512-01","126.90","127.90"
"Hourly","PH19010512","373.30","2,572.10"
"Block","PB19010513-01","173.30","256.80"
"Block","PB19010513-02","10.00","10.00"
"Block","PB19010513-11","0.00","41.00"
"Hourly","PH19010513","607.00","2,515.00"
"Hourly","PH19010514","1,124.50","1,795.50"
"Block","PB19010514-10","0.00","41.00"
"Block","PB19010514-01","107.20","217.70"
"Block","PB19010515-09","10.00","12.50"
"Hourly","PH19010515","670.10","3,905.80"
"Block","PB19010515-01","134.00","135.50"
"Block","PB19010516-04","0.00","8.30"
"Block","PB19010516-01","115.50","113.50"
"Hourly","PH19010516","692.30","3,798.30"
"Hourly","PH19010517","507.80","4,214.00"
"Block","PB19010517-01","81.50","122.50"
"Block","PB19010517-06","6.00","6.00"
"Block","PB19010517-03","1.50","1.50"
"Block","PB19010518-01","92.80","94.80"
"Hourly","PH19010518","541.70","4,867.60"
"Block","PB19010519-01","124.90","124.90"
"Hourly","PH19010519","568.60","4,379.20"
"Hourly","PH19010520","505.40","3,504.00"
"Block","PB19010520-01","104.70","106.70"
"Block","PB19010520-04","0.00","8.30"
"Block","PB19010521-01","85.80","85.80"
"Hourly","PH19010521","583.90","3,759.60"
"Block","PB19010522-01","94.40","94.40"
"Hourly","PH19010522","596.30","4,867.10"
"Block","PB19010522-02","4.30","4.30"
"Hourly","PH19010523","573.20","7,990.40"
"Block","PB19010523-01","162.30","162.30"
"Hourly","PH19010600","421.00","3,104.70"
"Block","PB19010600-01","127.20","127.20"
"Block","PB19010601-01","133.80","133.80"
"Hourly","PH19010601","459.20","3,375.20"
"Block","PB19010602-01","75.40","75.40"
"Hourly","PH19010602","429.40","4,107.40"
"Block","PB19010603-01","74.90","74.90"
"Hourly","PH19010603","597.90","4,325.80"
"Block","PB19010604-01","75.20","75.20"
"Hourly","PH19010604","539.90","2,106.70"
"Hourly","PH19010605","482.00","387.30"
"Block","PB19010605-01","77.90","77.90"
"Block","PB19010606-01","73.90","73.90"
"Hourly","PH19010606","433.80","509.40"
"Hourly","PH19010607","1,153.50","6,207.70"
"Block","PB19010607-01","75.70","75.70"
"Block","PB19010608-01","64.20","64.20"
"Hourly","PH19010608","2,102.60","440.70"
"Hourly","PH19010609","1,738.70","1,708.80"
"Block","PB19010609-01","61.70","61.70"
"Block","PB19010610-01","47.70","47.70"
"Hourly","PH19010610","541.50","2,577.40"
"Block","PB19010611-01","60.70","70.70"
"Hourly","PH19010611","931.40","2,673.00"
"Block","PB19010611-03","1.00","1.00"
"Hourly","PH19010612","517.80","3,200.20"
"Block","PB19010612-01","77.30","77.30"
"Block","PB19010613-01","67.50","67.50"
"Hourly","PH19010613","1,020.90","2,793.40"
"Block","PB19010614-01","51.40","51.40"
"Hourly","PH19010614","1,075.20","3,306.90"
"Block","PB19010614-03","1.50","1.50"
"Block","PB19010615-01","48.40","48.40"
"Hourly","PH19010615","1,926.10","2,138.90"
"Hourly","PH19010616","2,092.90","2,251.00"
"Block","PB19010616-01","77.70","77.70"
"Block","PB19010617-01","45.90","45.90"
"Hourly","PH19010617","1,757.40","2,420.70"
"Hourly","PH19010618","1,745.30","2,215.50"
"Block","PB19010618-03","0.50","0.50"
"Block","PB19010618-01","34.30","34.30"
"Block","PB19010619-01","36.00","36.00"
"Hourly","PH19010619","1,550.70","3,013.90"
"Block","PB19010619-02","0.50","0.50"
"Hourly","PH19010620","1,630.40","3,265.90"
"Block","PB19010620-01","46.60","46.60"
"Block","PB19010621-01","55.00","55.00"
"Hourly","PH19010621","1,554.10","3,231.40"
"Block","PB19010621-03","2.00","2.00"
"Block","PB19010622-01","67.80","67.80"
"Hourly","PH19010622","1,730.70","4,244.00"
"Block","PB19010623-01","74.60","74.60"
"Hourly","PH19010623","799.50","6,734.90"
"Block","PB19010700-01","34.80","34.80"
"Hourly","PH19010700","512.60","851.40"
"Hourly","PH19010701","1,032.30","754.30"
"Block","PB19010701-01","64.80","64.80"
"Block","PB19010702-01","15.60","15.60"
"Hourly","PH19010702","358.10","347.10"
"Block","PB19010703-01","20.80","20.80"
"Hourly","PH19010703","627.90","346.30"
"Block","PB19010704-01","67.30","67.30"
"Hourly","PH19010704","520.10","243.10"
"Hourly","PH19010705","487.00","336.00"
"Block","PB19010705-01","22.90","22.90"
